,COMPANY,date,SDG_1
385605,american express co,2017-07-15,-2.567821393425585
386235,american express co,2017-07-16,-1.3928280348104167
386397,american express co,2017-07-17,0.5948619691300163
387010,american express co,2017-07-18,-0.52750565184627
387464,american express co,2017-07-19,0.23069135618643571
387932,american express co,2017-07-20,0.066767024737484
388373,american express co,2017-07-21,1.5553594646986202
388888,american express co,2017-07-22,1.406758875799122
389347,american express co,2017-07-23,1.6292940504186886
389702,american express co,2017-07-24,3.508634169323945
390219,american express co,2017-07-25,-0.8991472005932533
390643,american express co,2017-07-26,0.15207231442283695
391274,american express co,2017-07-27,2.4116191584093625
391821,american express co,2017-07-28,-0.31969197044049996
392214,american express co,2017-07-29,
392578,american express co,2017-07-30,
393071,american express co,2017-07-31,0.851956809930941
393594,american express co,2017-08-01,5.53820472425614
394148,american express co,2017-08-02,-0.08794651458550021
394608,american express co,2017-08-03,0.7213021287751321
395174,american express co,2017-08-04,-7.1076904642702665
395579,american express co,2017-08-05,-7.301664715421664
396097,american express co,2017-08-06,-4.943614752361137
396410,american express co,2017-08-07,3.4454092273563
396988,american express co,2017-08-08,-4.175589912048203
397458,american express co,2017-08-09,-3.836589414817952
397981,american express co,2017-08-10,1.302088119974575
398463,american express co,2017-08-11,-1.5128060119306532
398940,american express co,2017-08-12,
399357,american express co,2017-08-13,-0.696517412935324
399850,american express co,2017-08-14,3.353893734707931
400246,american express co,2017-08-15,-0.834724540901503
400848,american express co,2017-08-16,-1.5336666297809445
401328,american express co,2017-08-17,-4.524514651769621
401828,american express co,2017-08-18,-6.52594448594636
402245,american express co,2017-08-19,-6.702747009233893
402605,american express co,2017-08-20,-6.319215381277159
403065,american express co,2017-08-21,-1.5789810763689436
403515,american express co,2017-08-22,-3.093130646410909
404063,american express co,2017-08-23,-0.6705114049105831
404494,american express co,2017-08-24,-0.33647778414202023
