,COMPANY,date,SDG_1
183560,chevron corp,2016-04-16,-3.63036303630363
183907,chevron corp,2016-04-17,-1.728251371218128
184296,chevron corp,2016-04-18,-1.7700000238445244
184716,chevron corp,2016-04-19,-2.366714494967685
185229,chevron corp,2016-04-20,-1.6942724573688925
185769,chevron corp,2016-04-21,-1.4432959113054566
186262,chevron corp,2016-04-22,-1.511169061920728
186818,chevron corp,2016-04-23,-2.756372878258834
187088,chevron corp,2016-04-24,-0.16099896286170895
187433,chevron corp,2016-04-25,-2.1240490829562004
187967,chevron corp,2016-04-26,-0.7645843923008363
188539,chevron corp,2016-04-27,-0.8955344381062501
188960,chevron corp,2016-04-28,-0.6456308307483745
189567,chevron corp,2016-04-29,-0.7151714946211497
189981,chevron corp,2016-04-30,-1.6939482324861885
190389,chevron corp,2016-05-01,-2.212187329246757
190871,chevron corp,2016-05-02,-1.0839949480510067
191281,chevron corp,2016-05-03,-1.8276892063016412
191785,chevron corp,2016-05-04,-1.8637085049695628
192308,chevron corp,2016-05-05,-0.5548783323175344
192822,chevron corp,2016-05-06,-5.521408946841759
193379,chevron corp,2016-05-07,-3.647038544425665
193776,chevron corp,2016-05-08,-4.027473790088284
194098,chevron corp,2016-05-09,-2.3307817898190124
194574,chevron corp,2016-05-10,-5.0399101082384945
195105,chevron corp,2016-05-11,-4.403743271640031
195610,chevron corp,2016-05-12,-2.952855664861468
196092,chevron corp,2016-05-13,-5.809768132344238
196559,chevron corp,2016-05-14,-5.400929695090653
196971,chevron corp,2016-05-15,-2.689114133842364
197341,chevron corp,2016-05-16,-7.271543211084003
197913,chevron corp,2016-05-17,-3.554861305564035
198420,chevron corp,2016-05-18,-3.7003450743540482
198843,chevron corp,2016-05-19,-3.200945781798538
199313,chevron corp,2016-05-20,-3.9024467398588714
199876,chevron corp,2016-05-21,-5.459754080047557
200323,chevron corp,2016-05-22,-4.365982947608421
200600,chevron corp,2016-05-23,-3.592750794006442
201154,chevron corp,2016-05-24,-2.002270152614217
201612,chevron corp,2016-05-25,-1.1964186095864657
202072,chevron corp,2016-05-26,-5.184233834841699
