,0
0,http://www.fox8live.com/story/31297654/state-of-emergency-declared-in-st-john-parish-schools-to-remain-closed
1,http://wgno.com/2016/02/23/photos-storm-damage-in-laplace/
2,http://www.walb.com/story/31289225/first-alert-action-day-possible-tornadoes-cause-damage-in-several-parishes
3,http://www.971talk.com/news/national/latest-storms-hit-south-causing-death-and-damage
4,http://www.WSFA.com/story/31300508/the-latest-storms-hit-the-south-causing-death-and-damage
5,http://www.mercurynews.com/ci_29555771/latest-storms-hit-south-causing-death-and-damage
6,http://kdhnews.com/news/nation/the-latest-storms-hit-the-south-causing-death-and-damage/article_a7321e34-47cc-5ec7-8fed-ee2f22ad4b54.html
7,http://www.springfieldnewssun.com/ap/ap/georgia/the-latest-storms-hit-the-south-causing-death-and-/nqXCX/
8,http://www.seattlepi.com/news/us/article/The-Latest-Storms-hit-the-South-causing-death-6850935.php
9,http://www.dailymail.co.uk/wires/ap/article-3461868/The-Latest-Storms-hit-South-causing-death-damage.html
10,http://hosted.ap.org/dynamic/stories/U/US_SOUTH_SEVERE_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-02-24-07-26-49
11,http://news.yahoo.com/latest-storms-hit-south-causing-death-damage-115430863.html
12,http://wbtw.com/ap/the-latest-storms-hit-the-south-causing-death-and-damage/
13,http://www.usnews.com/news/us/articles/2016-02-24/the-latest-storms-hit-the-south-causing-death-and-damage
14,http://www.newmilfordspectrum.com/news/us/article/The-Latest-Storms-hit-the-South-causing-death-6850935.php
15,http://www.record-eagle.com/nation_world/the-latest-storms-hit-the-south-causing-death-and-damage/article_49507799-876d-5a43-bbb7-877b290ea072.html
16,http://www.springfieldnewssun.com/ap/ap/us/the-latest-storms-hit-the-south-causing-death-and-/nqXCX/
17,http://www.chron.com/news/us/article/The-Latest-Storms-hit-the-South-causing-death-6850935.php
18,http://www.nwaonline.com/news/2016/feb/24/ann-pride-20160224/
19,http://www.nwaonline.com/news/2016/feb/24/ann-pride-20160224/
20,http://www.longisland.com/news/ap-news/the-latest-storms-hit-south-causing-death-damage-022416.html
21,http://mynorthwest.com/15/2919653/The-Latest-Storms-hit-the-South-causing-death-and-damage
22,http://www.WAFB.com/story/31289225/first-alert-action-day-possible-tornadoes-cause-damage-in-several-parishes
23,http://www.thedailyreporter.com/article/ZZ/20160224/NEWS/302249958/-1/food
24,http://www.fox8live.com/story/31300515/the-latest-storms-hit-the-south-causing-death-and-damage
25,http://wishtv.com/ap/the-latest-storms-hit-the-south-causing-death-and-damage/
26,http://www.stltoday.com/news/national/the-latest-storms-hit-the-south-causing-death-and-damage/article_471a1a1a-3d64-5c36-b264-d2d09a1cba3e.html
27,http://www.salon.com/2016/02/24/the_latest_storms_hit_the_south_causing_death_and_damage/
28,http://www.nola.com/weather/index.ssf/2016/02/tornadoes_kill_2_louisiana.html
29,http://www.wbrz.com/news/thousands-without-power-in-assumption-parish-in-wake-of-tornado-storms
30,http://kdhnews.com/news/nation/the-latest-more-tornadoes-hail-possible-over-eastern-us/article_a7321e34-47cc-5ec7-8fed-ee2f22ad4b54.html
31,http://www.9and10news.com/story/31300507/the-latest-more-tornadoes-hail-possible-over-eastern-us
32,http://www.mysanantonio.com/news/us/article/The-Latest-Storms-hit-the-South-causing-death-6850935.php
33,http://www.KOB.com/article/stories/S4057261.shtml?cat=600
34,http://m.chron.com/news/us/article/The-Latest-Storms-hit-the-South-causing-death-6850935.php
35,http://hosted.ap.org/dynamic/stories/U/US_SOUTH_SEVERE_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-02-24-09-07-56
36,http://www.therepublic.com/view/story/b8c2c80edc7c446eaa6b31cee65556f6/US--South-Severe-Weather-The-Latest
37,http://gazette.com/the-latest-storms-hit-the-south-causing-death-and-damage/article/feed/319840
38,http://reviewtimes.com/national-news/2016/02/24/the-latest-storms-hit-the-south-causing-death-and-damage/
39,http://www.KAALtv.com/article/stories/S4057264.shtml?cat=10151
40,http://www.tribtown.com/view/story/b8c2c80edc7c446eaa6b31cee65556f6/US--South-Severe-Weather-The-Latest
41,http://www.tcpalm.com/mobile-topstories/369935471.xhtml
42,http://www.reporternews.com/news/369935471.xhtml
43,http://www.newspressnow.com/news/national/article_93b8a3e3-c64b-57e8-92ca-92c0f958c7c8.html
44,http://www.longisland.com/news/ap-news/the-latest-more-tornadoes-hail-possible-eastern-us-022416.html
45,http://mynorthwest.com/15/2919653/The-Latest-More-tornadoes-hail-possible-over-eastern-US
46,https://www.washingtonpost.com/national/the-latest-storms-hit-the-south-causing-death-and-damage/2016/02/24/b67a05a6-daed-11e5-8210-f0bd8de915f6_story.html
47,http://www.wsoctv.com/news/the-latest-storms-hit-the-south-causing-death-and-damage/110274748
48,http://cnsnews.com/news/article/latest-more-tornadoes-hail-possible-over-eastern-us
49,http://www.whig.com/article/20160224/AP/302249895
50,http://urbanacitizen.com/wire/national-wire/8481/the-latest-more-tornadoes-hail-possible-over-eastern-us
51,http://www.wlos.com/template/inews_wire/wires.national/227170ea-www.wlos.com.shtml
52,http://www.nujournal.com/page/content.detail/id/1071804/The-Latest--More-tornadoes--hail-possible-over-eastern-US.html?isap=1&nav=5032
53,http://www.roanoke.com/news/nation/wire/the-latest-more-tornadoes-hail-possible-over-eastern-us/article_e098858f-3a34-5097-a58c-433545fdd02c.html
54,http://www.waaytv.com/ap/domestic/the-latest-more-tornadoes-hail-possible-over-eastern-us/article_42e6a4a2-675a-514d-a136-6a1e153034ec.html
55,http://www.wlos.com/template/inews_wire/wires.national/32716a79-www.wlos.com.shtml
56,http://www.theet.com/web_exclusive/us/the-latest-more-tornadoes-hail-possible-over-eastern-us/article_3d2a8eef-831c-57a5-bbf0-feb3b2554e00.html
57,http://www.bostonherald.com/news/national/2016/02/the_latest_more_tornadoes_hail_possible_over_eastern_us
58,http://www.timesrecordnews.com/news/369935471.xhtml
59,http://hosted.ap.org/dynamic/stories/U/US_SOUTH_SEVERE_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-02-24-11-48-28
60,http://www.wrcbtv.com/story/31300513/the-latest-storms-hit-the-south-causing-death-and-damage
61,http://www.sungazette.com/page/content.detail/id/1071873/The-Latest--Governor--About-100-homes--apartments-damaged.html?isap=1&nav=5021
62,http://kdhnews.com/news/nation/the-latest-governor-about-homes-apartments-damaged/article_a7321e34-47cc-5ec7-8fed-ee2f22ad4b54.html
63,http://www.krmg.com/ap/ap/us/the-latest-storms-hit-the-south-causing-death-and-/nqXCX/
64,http://www.longisland.com/news/ap-news/the-latest-governor-about-100-homes-apartments-damaged-022416.html
65,http://www.newsradioklbj.com/news/latest-news/national-headline-news/latest-storms-hit-south-causing-death-and-damage-0
66,http://www.wtxl.com/news/the-latest-storms-hit-the-south-causing-death-and-damage/article_48dc7252-dab3-11e5-bea0-9f9d3a3b70c6.html
67,http://www.fox23.com/news/national/the-latest-storms-hit-the-south-causing-death-and-damage/110276730
68,http://www.sunherald.com/news/nation-world/article62151157.html
69,http://thetandd.com/news/national/the-latest-teams-investigate-tornadoes-in-louisiana/article_cf608b3b-c190-57e6-b45c-ce1022e93e31.html
70,http://www.dothaneagle.com/news/ap/national/the-latest-roofs-ripped-off-buildings-in-pensacola-florida/article_b55889ab-6cde-5276-827c-524d3446f9ea.html
71,http://thecourier.com/national-news/2016/02/24/the-latest-storms-hit-the-south-causing-death-and-damage/
72,http://hosted.ap.org/dynamic/stories/U/US_SOUTH_SEVERE_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-02-24-11-09-13
73,http://www.abc-7.com/story/31300507/the-latest-roofs-ripped-off-buildings-in-pensacola-florida
74,http://it.tmcnet.com/news/2016/02/24/8322439.htm
75,http://www.fox19.com/story/31300508/the-latest-storms-hit-the-south-causing-death-and-damage
76,http://www.sandiegouniontribune.com/news/2016/feb/24/the-latest-storms-hit-the-south-causing-death-and/
77,http://www.fairfieldcitizenonline.com/news/us/article/The-Latest-Storms-hit-the-South-causing-death-6850935.php
78,http://www.cadillacnews.com/ap_story/national_news/20160224_ap_b8c2c80edc7c446eaa6b31cee65556f6.html
79,http://hosted.ap.org/dynamic/stories/U/US_SOUTH_SEVERE_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-02-24-08-00-09
80,http://www.wowktv.com/story/31300507/the-latest-more-tornadoes-hail-possible-over-eastern-us
81,http://abcnews.go.com/US/wireStory/latest-storms-hit-south-causing-death-damage-37156957
82,http://www.greenwichtime.com/news/us/article/The-Latest-Storms-hit-the-South-causing-death-6850935.php
83,http://hosted.ap.org/dynamic/stories/U/US_SOUTH_SEVERE_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-02-24-15-35-57
84,http://newsok.com/the-latest-severe-storm-causing-damage-in-virginia/article/feed/971845
85,http://www.news965.com/ap/ap/us/the-latest-storms-hit-the-south-causing-death-and-/nqXCX/
86,http://dailyorange.com/2016/02/horn-battle-over-new-york-power-plants-will-prove-harmful-for-the-economy/
87,http://dailyorange.com/2016/02/horn-battle-over-new-york-power-plants-will-prove-harmful-for-the-economy/
88,http://thetandd.com/news/state-and-regional/the-latest-roofs-ripped-off-buildings-in-pensacola-florida/article_cf608b3b-c190-57e6-b45c-ce1022e93e31.html
89,http://theintermountain.com/page/content.detail/id/1071889/The-Latest--Roofs-ripped-off-buildings-in-Pensacola--Florida.html?isap=1&nav=5022
90,http://www.vcstar.com/happening-now/369935471.xhtml
91,http://www.lakeplacidnews.com/page/content.detail/id/1071914/The-Latest--Teams-investigate-tornadoes-in-Louisiana.html?isap=1&nav=5072
92,http://onenewsnow.com/ap/united-states/the-latest-more-tornadoes-hail-possible-over-eastern-us
93,http://www.walb.com/story/31300508/the-latest-roofs-ripped-off-buildings-in-pensacola-florida
94,http://www.bostonherald.com/news/national/2016/02/the_latest_roofs_ripped_off_buildings_in_pensacola_florida
95,http://pilotonline.com/news/nation-world/north-carolina/the-latest-more-tornadoes-hail-possible-over-eastern-us/article_9d5135db-bc7f-5c70-9be6-a8f474fefc03.html
96,http://mynorthwest.com/15/2919653/The-Latest-Roofs-ripped-off-buildings-in-Pensacola-Florida
97,http://lacrossetribune.com/news/national/the-latest-governor-about-homes-apartments-damaged/article_65bf0c2d-d68b-57f2-9792-492cfa48864e.html
98,http://news-sentinel.com/news/us-and-world/The-Latest--Roofs-ripped-off-buildings-in-Pensacola--Florida
99,http://news.yahoo.com/american-red-cross-responds-recent-tornadoes-shelter-food-171700499.html
100,http://thetandd.com/news/national/the-latest-governor-about-homes-apartments-damaged/article_cf608b3b-c190-57e6-b45c-ce1022e93e31.html
101,http://www.wral.com/the-latest-storms-hit-the-south-causing-death-and-damage/15417314/
102,http://news-sentinel.com/news/us-and-world/The-Latest--Teams-investigate-tornadoes-in-Louisiana
103,http://hosted.ap.org/dynamic/stories/U/US_SOUTH_SEVERE_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-02-24-12-34-02
104,http://www.my40.tv/template/inews_wire/wires.national/3a717ff5-www.wmya.com.shtml
105,http://www.my40.tv/template/inews_wire/wires.national/32716a79-www.wmya.com.shtml
106,http://www.springfieldnewssun.com/ap/ap/north-carolina/the-latest-storms-hit-the-south-causing-death-and-/nqXCX/
107,http://www.timesfreepress.com/news/national/georgia/story/2016/feb/24/latest-storms-hit-south-causing-death-and-dam/351763/
108,http://www.naplesnews.com/news/369935471.xhtml
109,http://www.wect.com/story/31300508/the-latest-severe-storm-causing-damage-in-virginia
