,COMPANY,date,SDG_1
151613,entergy corp,2016-02-04,0.728571641824971
152247,entergy corp,2016-02-05,3.24675324675325
152721,entergy corp,2016-02-06,
152969,entergy corp,2016-02-07,-3.24777370350969
153393,entergy corp,2016-02-08,-4.912087122318205
153957,entergy corp,2016-02-09,-1.0167253521126751
154331,entergy corp,2016-02-10,-3.078793434818345
154860,entergy corp,2016-02-11,-2.9099168824649673
155429,entergy corp,2016-02-12,-1.4949067799513545
155917,entergy corp,2016-02-13,-2.8266464547440506
156196,entergy corp,2016-02-14,-3.57060567579026
156591,entergy corp,2016-02-15,-3.536522867008765
157090,entergy corp,2016-02-16,-4.482726084942378
157456,entergy corp,2016-02-17,-1.5208848146974479
157990,entergy corp,2016-02-18,-0.1407809394607696
158442,entergy corp,2016-02-19,
159024,entergy corp,2016-02-20,
159313,entergy corp,2016-02-21,
159793,entergy corp,2016-02-22,
160301,entergy corp,2016-02-23,-2.1749311696426834
160746,entergy corp,2016-02-24,-6.592148618366669
161207,entergy corp,2016-02-25,-3.6734745702315648
161753,entergy corp,2016-02-26,-2.4554849421733667
162235,entergy corp,2016-02-27,
162572,entergy corp,2016-02-28,-0.776699029126213
163007,entergy corp,2016-02-29,-1.0756265059938628
163357,entergy corp,2016-03-01,0.714285714285715
163897,entergy corp,2016-03-02,-0.872570913982838
164327,entergy corp,2016-03-03,-2.7088749157469394
164796,entergy corp,2016-03-04,-2.8987323812431396
165298,entergy corp,2016-03-05,-2.1435579826276303
165799,entergy corp,2016-03-06,-1.3842675399759563
166101,entergy corp,2016-03-07,-2.173341134659855
166633,entergy corp,2016-03-08,-0.13568979615751164
167104,entergy corp,2016-03-09,-3.1697409090615616
167444,entergy corp,2016-03-10,-3.3268539398731978
167931,entergy corp,2016-03-11,-2.851874276092049
168446,entergy corp,2016-03-12,-6.74403505924363
168818,entergy corp,2016-03-13,
169210,entergy corp,2016-03-14,-3.5241707120349584
169728,entergy corp,2016-03-15,-4.1348671668282195
