,COMPANY,date,SDG_1
498067,fedex corp,2018-03-03,-1.1510038669089873
498631,fedex corp,2018-03-04,-1.7721357839613334
498972,fedex corp,2018-03-05,-2.013675159530005
499502,fedex corp,2018-03-06,-1.267001751425511
499945,fedex corp,2018-03-07,0.17991522156026196
500603,fedex corp,2018-03-08,2.05991482639423
501092,fedex corp,2018-03-09,0.3368928755273906
501597,fedex corp,2018-03-10,0.29767082959365254
502089,fedex corp,2018-03-11,0.36019124630984667
502505,fedex corp,2018-03-12,-3.280519874520757
502915,fedex corp,2018-03-13,-4.088108011569794
503403,fedex corp,2018-03-14,-0.3946697067870695
504003,fedex corp,2018-03-15,-2.0561479648008576
504398,fedex corp,2018-03-16,-1.230613473097173
504968,fedex corp,2018-03-17,-1.6272376347844997
505546,fedex corp,2018-03-18,-2.393132181343906
505857,fedex corp,2018-03-19,-1.268617902267908
506394,fedex corp,2018-03-20,-2.545606633276772
506823,fedex corp,2018-03-21,-4.62631780975949
507343,fedex corp,2018-03-22,-4.534639745778923
507848,fedex corp,2018-03-23,-5.1736286653889065
508404,fedex corp,2018-03-24,-5.085522140801541
508814,fedex corp,2018-03-25,-4.358528093996853
509287,fedex corp,2018-03-26,-3.7407170947958663
509777,fedex corp,2018-03-27,-1.0229203964505036
510294,fedex corp,2018-03-28,0.4249806977746712
510859,fedex corp,2018-03-29,-2.213940989982978
511358,fedex corp,2018-03-30,-2.088717080088953
511773,fedex corp,2018-03-31,-2.655769230769235
512169,fedex corp,2018-04-01,-1.9768738704676228
512622,fedex corp,2018-04-02,-3.690716517792709
513195,fedex corp,2018-04-03,-2.636784155853372
513644,fedex corp,2018-04-04,-0.87903186627875
514208,fedex corp,2018-04-05,1.0585872220291197
514679,fedex corp,2018-04-06,-1.851642985859571
515230,fedex corp,2018-04-07,-0.5362633694985562
515595,fedex corp,2018-04-08,-1.49812734082397
516031,fedex corp,2018-04-09,0.8787998250284845
516591,fedex corp,2018-04-10,-6.16942572819133
516983,fedex corp,2018-04-11,-2.8774785488833237
517637,fedex corp,2018-04-12,-0.868306801736613
