,COMPANY,date,SDG_1
417093,southern co,2017-09-19,-2.538487459538729
417384,southern co,2017-09-20,1.8047331276290774
417984,southern co,2017-09-21,1.22324159021407
418429,southern co,2017-09-22,-5.33333333333333
419120,southern co,2017-09-23,
419392,southern co,2017-09-24,
419761,southern co,2017-09-25,0.0
420341,southern co,2017-09-26,1.75257731958763
420666,southern co,2017-09-27,
421316,southern co,2017-09-28,4.629340442107609
421824,southern co,2017-09-29,-0.5867002321196527
422194,southern co,2017-09-30,-2.2451358486530957
422648,southern co,2017-10-01,-3.82452193475816
423046,southern co,2017-10-02,1.7220172201722
423665,southern co,2017-10-03,0.2538186334002643
424006,southern co,2017-10-04,
424647,southern co,2017-10-05,-1.1972875746582792
425089,southern co,2017-10-06,-0.5761546324690999
425510,southern co,2017-10-07,-1.9319780594255125
425974,southern co,2017-10-08,-5.406081858323188
426339,southern co,2017-10-09,-5.198770415313494
426881,southern co,2017-10-10,-4.768005494391645
427443,southern co,2017-10-11,-2.42759993593905
428033,southern co,2017-10-12,-1.3168077571329544
428499,southern co,2017-10-13,0.11708861404759337
428980,southern co,2017-10-14,2.7798191679780198
429516,southern co,2017-10-15,
429853,southern co,2017-10-16,1.154454966338315
430476,southern co,2017-10-17,-1.2702226066162134
431070,southern co,2017-10-18,-0.08118217804409011
431554,southern co,2017-10-19,0.6920887832478281
432111,southern co,2017-10-20,
432737,southern co,2017-10-21,0.318246110325318
433126,southern co,2017-10-22,-2.4234693877551
433510,southern co,2017-10-23,-1.3843203206384544
433934,southern co,2017-10-24,3.81406436233612
434532,southern co,2017-10-25,
434963,southern co,2017-10-26,3.86996904024768
435509,southern co,2017-10-27,
436074,southern co,2017-10-28,
436450,southern co,2017-10-29,-0.5080476070663403
