,COMPANY,date,SDG_1
730328,walmart inc,2019-07-15,-1.1168627709447443
730753,walmart inc,2019-07-16,-0.28167823703341155
731236,walmart inc,2019-07-17,-1.0533127765918433
731663,walmart inc,2019-07-18,-0.7743301368210086
732109,walmart inc,2019-07-19,-1.5622673581832605
732542,walmart inc,2019-07-20,-1.759672886879818
732898,walmart inc,2019-07-21,-1.1058235332043709
733240,walmart inc,2019-07-22,-0.6143319123714207
733667,walmart inc,2019-07-23,-0.4247896094940006
734125,walmart inc,2019-07-24,-0.15718935670033413
734601,walmart inc,2019-07-25,-0.13554000820392753
735091,walmart inc,2019-07-26,-0.488949438783987
735573,walmart inc,2019-07-27,-4.067798269138699
736000,walmart inc,2019-07-28,-1.0243417859126458
736401,walmart inc,2019-07-29,-2.201638932803687
736886,walmart inc,2019-07-30,-2.4468573809599903
737376,walmart inc,2019-07-31,-4.452685321341433
737881,walmart inc,2019-08-01,-2.0847337524588005
738357,walmart inc,2019-08-02,-2.2614310710494325
738839,walmart inc,2019-08-03,-2.6747921653806777
739263,walmart inc,2019-08-04,-6.547597982156278
739641,walmart inc,2019-08-05,-6.331364899157399
740104,walmart inc,2019-08-06,-5.746762655956137
740583,walmart inc,2019-08-07,-5.009811910607607
741058,walmart inc,2019-08-08,-4.245949832523277
741533,walmart inc,2019-08-09,-2.993393998988305
741993,walmart inc,2019-08-10,-3.8292353603834783
742383,walmart inc,2019-08-11,-3.1259852751844215
742800,walmart inc,2019-08-12,-2.2695740739037578
743262,walmart inc,2019-08-13,-2.3856978612578956
743732,walmart inc,2019-08-14,-3.109918500571046
744204,walmart inc,2019-08-15,-2.67510976381584
744679,walmart inc,2019-08-16,-2.321840165668673
745152,walmart inc,2019-08-17,-1.6941001382392977
745546,walmart inc,2019-08-18,-2.331436709415513
745896,walmart inc,2019-08-19,-2.164053694532999
746331,walmart inc,2019-08-20,-1.2471555524195599
