,0
0,https://www.charlotteobserver.com/news/business/national-business/article218487405.html
1,https://www.fredericksburg.com/news/news-wire/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods/article_4d568d1f-7546-5af3-ab85-b74c6f16ee2c.html
2,https://www.charlotteobserver.com/latest-news/article218483900.html
3,https://uk.reuters.com/article/uk-storm-florence/flood-waters-rise-eight-killed-as-florence-dumps-epic-rain-on-carolinas-idUKKCN1LS177
4,https://www.westernslopenow.com/news/national/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/1448852620
5,https://www.wacotrib.com/news/ap_nation/headlines/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods/article_1af4703d-b0b8-528a-baf5-11bd26db8b7c.html
6,https://www.mypalmbeachpost.com/news/local/florence-pours-the-rain-amid-fears-catastrophic-floods/HjhBQQIuqeShuTlZx0rWfM/
7,https://www.sfgate.com/news/article/Rains-from-Florence-cause-collapse-at-NC-coal-ash-13232808.php
8,https://www.greensboro.com/ap/north_carolina/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods/article_31816b25-bf41-5e2f-8709-f115eef92175.html
9,http://www.wfmz.com/news/ap-top-stories/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/795625204
10,https://www.morganton.com/news/state/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods/article_fd630de8-b919-11e8-8663-8b3375b81078.html
11,https://www.marketscreener.com/DUKE-ENERGY-CORP-11076385/news/Duke-Energy-Historic-rains-from-Hurricane-Florence-cause-water-release-at-Sutton-Power-Plant-in-Wi-27267511/
12,https://www.reuters.com/article/us-storm-florence/flood-waters-rise-eight-killed-as-florence-dumps-epic-rain-on-carolinas-idUSKCN1LV069
13,https://www.680news.com/2018/09/15/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/
14,https://www.myarklamiss.com/news/national/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/1448853851
15,http://www.wbtv.com/2018/09/15/damage-charlotte-surrounding-areas-florence-moves-through-carolinas/
16,http://www.goupstate.com/news/20180915/high-winds-heavy-rain-should-taper-off-sunday-night
17,https://nypost.com/2018/09/15/torrential-rain-from-hurricane-florence-causing-catastrophic-flooding/
18,https://www.seattlepi.com/news/article/Rains-from-Florence-cause-collapse-at-NC-coal-ash-13232808.php
19,https://qconline.com/travel/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/article_96dee031-2d1e-5372-9b40-19a0bc52f062.html
20,https://www.whas11.com/article/news/nation-world/florence-pours-on-the-rain-in-carolinas-amid-fears-of-catastrophic-floods/507-594690739
21,http://www.wandtv.com/story/39095987/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods
22,https://www.princegeorgecitizen.com/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill-1.23432527
23,https://www.greensboro.com/business/nation_world_ap/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/article_58864167-07c9-58ae-9740-6f66e20a063f.html
24,http://www.carrollcountytimes.com/news/nation-world/ct-florence-tropical-storm-carolinas-20180915-story.html
25,https://www.9and10news.com/i/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/
26,https://journalstar.com/news/national/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/article_6843fa49-1749-51b5-9415-b3fbb7a5c5e0.html
27,https://www.bozemandailychronicle.com/ap_news/business/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/article_b3e122e0-5116-53f0-a321-f3a9fa16758c.html
28,http://www.readingeagle.com/ap/article/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill
29,https://journaltimes.com/travel/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods/article_64bf9ba2-4047-57d9-b750-9c477ad5fb1d.html
30,https://www.registercitizen.com/news/article/Fearsome-new-stage-begins-as-Florence-floods-13233065.php
31,https://tucson.com/news/national/florence-s-rains-coal-ash-landfill-collapses-in-carolinas/article_23b8e46c-f2e1-59a6-a786-a29887ef091e.html
32,https://www.seattlepi.com/news/us/article/Florence-s-rains-Coal-ash-landfill-collapses-in-13233075.php
33,https://www.omaha.com/news/nation/florence-s-rains-coal-ash-landfill-collapses-in-carolinas/article_35f2ba61-b9c0-5354-ab32-f2741b6d54fd.html
34,https://www.wftv.com/news/national-news/ap-top-news/florences-rains-coal-ash-landfill-collapses-in-carolinas/835097450
35,https://www.omaha.com/weather/dead-as-florence-crawls-across-the-carolinas-dumping-more-than/article_cc72bc27-ea1d-5aa9-a484-d9430b97dfac.html
36,https://www.hickoryrecord.com/news/us/ap/florence-s-rains-coal-ash-landfill-collapses-in-carolinas/article_f27a01d2-c6f1-57ac-9687-44ba544509d5.html
37,https://www.wacotrib.com/news/ap_nation/headlines/fearsome-new-stage-begins-as-florence-floods-inland-rivers/article_854ec26d-4550-5e97-a4cc-809245648205.html
38,http://www.maryvilledailyforum.com/news/state_news/article_3cf76655-6441-589c-b490-f3477ff308e6.html
39,https://www.timesunion.com/news/us/article/Florence-s-rains-Coal-ash-landfill-collapses-in-13233075.php
40,https://www.timesunion.com/news/article/The-Latest-Florence-expected-to-weaken-as-flood-13233098.php
41,https://the-journal.com/articles/110229-fearsome-new-stage-begins-as-florence-floods-inland-rivers
42,https://www.haaretz.com/us-news/eight-killed-in-carolinas-as-tropical-storm-florence-plods-inland-1.6472007
43,https://www.wftv.com/news/fearsome-new-stage-begins-as-florence-floods-inland-rivers/835085383
44,https://www.wacotrib.com/news/ap_nation/florence-s-rains-coal-ash-landfill-collapses-in-carolinas/article_4c4eda7d-6505-5dc7-a2d3-12a58bbe48ac.html
45,https://gazette.com/news/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods/article_9e1266da-b8fc-11e8-ad48-fbd9cfa891cb.html
46,http://www.paducahsun.com/news/general/death-toll-climbs-to-as-florence-pours-on-the-rain/article_09f47df0-0473-52ad-9ec1-753a3887a12b.html
47,https://www.seattlepi.com/news/article/The-Latest-Florence-expected-to-weaken-as-flood-13233098.php
48,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12126249
49,https://www.wbir.com/article/news/nation-world/florence-pours-on-the-rain-in-carolinas-amid-fears-of-catastrophic-floods/507-594690739
50,https://www.japantimes.co.jp/?post_type=news&p=1488336
51,https://www.heraldpalladium.com/news/regional/florence-pours-on-the-rain-amid-fears-of-catastrophic-floods/article_fda6d8f5-bc46-57de-91f8-b8f4eb9159f8.html
52,http://www.mynews13.com/fl/orlando/ap-top-news/2018/09/16/florences-rains-coal-ash-landfill-collapses-in-carolinas
53,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12126245
54,http://www.kvoa.com/story/39098990/florences-rains-coal-ash-landfill-collapses-in-carolinas
55,http://www.kvoa.com/story/39098952/fearsome-new-stage-begins-as-florence-floods-inland-rivers
56,https://montrealgazette.com/pmn/news-pmn/fearsome-new-stage-begins-as-florence-floods-inland-rivers/wcm/c6640522-e143-46d3-b792-2ea274719fc7
57,https://www.journalnow.com/news/state_region_ap/fearsome-new-stage-begins-as-florence-floods-inland-rivers/article_5d109c61-7759-5160-b1e7-d7a0bbc6f1fb.html
58,http://reviewtimes.com/business-news/2018/09/15/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/
59,http://www.fox29.com/weather/hurricane-florence/several-dead-hundreds-rescued-as-florence-pounds-the-carolinas
60,http://www.mynews13.com/fl/orlando/ap-online/2018/09/16/fearsome-new-stage-begins-as-florence-floods-inland-rivers
61,https://lex18.com/ap-national-news/2018/09/16/florences-rains-coal-ash-landfill-collapses-in-carolinas/
62,http://www.kvoa.com/story/39098546/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill
63,http://www.startribune.com/rains-from-florence-cause-collapse-at-nc-coal-ash-landfill/493396941/
