,0
0,https://www.houstonchronicle.com/news/crime/article/Fake-German-heiress-faces-sentencing-in-NY-fraud-13831056.php
1,https://www.wftv.com/news/fake-german-heiress-faces-sentencing-in-ny-fraud-case/947803365
2,https://www.thehour.com/news/crime/article/Fake-German-heiress-faces-sentencing-in-NY-fraud-13831056.php
3,https://www.foxbusiness.com/markets/fake-german-heiress-faces-sentencing-in-ny-fraud-case
4,https://siouxcityjournal.com/news/state-and-regional/nebraska/fake-german-heiress-faces-sentencing-in-ny-fraud-case/article_2b8810ad-64c7-541d-879d-789576f27cf3.html
5,https://www.wacotrib.com/news/ap_nation/fake-german-heiress-faces-sentencing-in-ny-fraud-case/article_ba9ea733-f9ae-5963-8a32-8788b8f9b573.html
6,https://www.theglobeandmail.com/world/article-fake-german-heiress-anna-sorokin-to-face-sentencing-in-new-york/
7,https://www.ksl.com/article/46548717/fake-german-heiress-faces-sentencing-in-ny-fraud-case
8,https://mynorthwest.com/1379807/fake-german-heiress-faces-sentencing-in-ny-fraud-case/
9,https://www.1310news.com/2019/05/09/fake-german-heiress-faces-sentencing-in-ny-fraud-case/
10,https://www.wdtn.com/news/u-s-world/fake-german-heiress-faces-sentencing-in-ny-fraud-case/1991365329
11,https://moneyweek.com/506588/a-funny-smell-at-kraft-heinz/
12,https://meaww.com/fake-german-heiress-anna-sorokin-sentencing-ny-fraud-case
13,https://missoulian.com/news/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/article_cc2e1b28-58cb-558c-a65b-ff022d21412c.html
14,http://www.startribune.com/fake-german-heiress-faces-sentencing-in-ny-fraud-case/509680622/
15,https://www.seattletimes.com/business/fake-german-heiress-faces-sentencing-in-ny-fraud-case/
16,https://www.bozemandailychronicle.com/ap_news/us/fake-german-heiress-faces-sentencing-in-ny-fraud-case/article_88a26470-0da0-5afe-9e07-f9f0be09cfab.html
17,https://abcnews.go.com/US/wireStory/fake-german-heiress-faces-sentencing-ny-fraud-case-62924938
18,https://www.nbcsandiego.com/news/national-international/Fake-German-Heiress-Faces-Sentencing-in-NY-Fraud-Case--509682021.html
19,https://www.wrcbtv.com/story/40442752/fake-german-heiress-faces-sentencing-in-ny-fraud-case
20,https://www.ibtimes.com/kraft-heinzs-accounting-issues-raise-red-flags-2790726
21,https://www.nbcbayarea.com/news/national-international/Fake-German-Heiress-Faces-Sentencing-in-NY-Fraud-Case--509682021.html
22,https://www.business-standard.com/article/pti-stories/fake-german-heiress-faces-sentencing-in-ny-fraud-case-119050900533_1.html
23,https://news.yahoo.com/influencers-transcript-charlie-munger-105001910.html
24,http://www.arabnews.com/node/1494606/world
25,https://www.miamiherald.com/news/business/article230203804.html
26,https://www.hickoryrecord.com/news/us/ap/fake-german-heiress-faces-sentencing-in-ny-fraud-case/article_94970c7f-2db0-5812-8df6-5341a3b410b0.html
27,https://www.washingtonpost.com/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/2019/05/09/0108ac38-7219-11e9-9331-30bc5836f48e_story.html
28,https://journalstar.com/news/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/article_7e66b062-5254-5f00-90b6-6ab3e13f8477.html
29,https://kstp.com/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/5346726/
30,https://www.whec.com/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/5346743/
31,https://www.chron.com/neighborhood/news/crime/article/Fake-German-heiress-faces-sentencing-in-NY-fraud-13831056.php
32,https://www.nbcnewyork.com/news/local/Fake-German-Heiress-Faces-Sentencing-in-NY-Fraud-Case--509682021.html
33,https://www.heraldcourier.com/news/national/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing/article_7ae316e3-1b83-5bbe-9d4f-7c4dac0c80fb.html
34,https://billingsgazette.com/news/national/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing/article_582a0e54-60e2-5628-9b38-2901c5622e39.html
35,http://www.ncnewsonline.com/news/national/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing/article_a5379a81-2a91-56af-9307-46e796fb12b5.html
36,http://lufkindailynews.com/news/us/article_26dee504-9ca7-5cc6-aaed-0c3458717d04.html
37,https://www.kob.com/us-news/fake-german-heiress-faces-sentencing-in-ny-fraud-case/5346734/?cat=649
38,https://infotel.ca/newsitem/us-chevron-anadarko/cp1030357036
39,https://www.ctvnews.ca/world/fake-german-heiress-faces-sentencing-in-new-york-fraud-case-1.4414805
40,https://www.conchovalleyhomepage.com/news/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/1991401234
41,https://www.theintelligencer.com/news/crime/article/Fake-German-heiress-faces-sentencing-in-NY-fraud-13831056.php
42,https://www.nwahomepage.com/news/fake-german-heiress-faces-sentencing-in-ny-fraud-case/1991400026
43,https://www.expressnews.com/business/energy/article/Chevron-bows-out-Oxy-wins-Anadarko-13831735.php
44,https://www.krqe.com/news/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/1991399534
45,https://www.beaumontenterprise.com/business/energy/article/Chevron-bows-out-Oxy-wins-Anadarko-13831735.php
46,https://www.readingeagle.com/apps/pbcs.dll/article?AID=/20190509/AP/305099914
47,https://www.ksl.com/article/46548717/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing
48,http://www.fox34.com/story/40442752/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing
49,https://www.barrons.com/articles/chevron-stock-gains-after-ceding-anadarko-to-occidental-51557408535
50,https://www.ktsm.com/news/national/fake-german-heiress-faces-sentencing-in-ny-fraud-case/1991398328
51,https://www.chron.com/business/energy/article/Chevron-bows-out-Oxy-wins-Anadarko-13831735.php
52,http://english.alarabiya.net/en/variety/2019/05/09/Fake-German-heiress-faces-sentencing-in-New-York-fraud-case.html
53,https://www.heraldnet.com/nation-world/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing/
54,https://www.msn.com/en-za/news/other/fake-heiress-to-be-sentenced-for-swindling-new-york-banks-and-hotels/ar-AAB8VQK
55,https://www.wral.com/fake-german-heiress-faces-sentencing-in-ny-fraud-case/18375095/
56,https://www.columbian.com/news/2019/may/09/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing/
57,https://www.iol.co.za/news/world/fake-heiress-to-be-sentenced-for-swindling-new-york-banks-and-hotels-22924038
58,https://www.zerohedge.com/news/2019-05-09/all-bets-are-how-wall-street-bracing-nuclear-trade-war
59,https://www.bnnbloomberg.ca/fake-heiress-anna-sorokin-who-swindled-banks-hotels-faces-sentencing-1.1256408
60,https://www.wacotrib.com/news/ap_nation/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing/article_ba9ea733-f9ae-5963-8a32-8788b8f9b573.html
61,https://www.kxan.com/news/national-news/fake-german-heiress-faces-sentencing-in-ny-fraud-case/1991393591
62,https://www.nhregister.com/news/crime/article/Fake-German-heiress-faces-sentencing-in-NY-fraud-13831056.php
63,https://www.ksl.com/article/46548717/fake-german-heiress-sentenced-to-4-12-years-behind-bars
64,https://www.centredaily.com/news/business/article230203804.html
65,https://www.dailymail.co.uk/news/article-7010717/Fake-German-heiress-Anna-Sorokin-sentenced-four-12-years.html
66,https://www.cochranetimes.com/news/world/fake-german-heiress-anna-sorokin-sentenced-to-four-to-12-years-in-prison-for-defrauding-nyc-banks-and-hotels/wcm/cb9f3147-f27a-48ad-86c6-0adba41b9b15
67,https://abc7ny.com/fake-german-heiress-gets-4-to-12-years-behind-bars/5292805/
68,http://www.tribtown.com/2019/05/09/us-fake-heiress/
69,https://www.nytimes.com/2019/05/09/nyregion/anna-delvey-sorokin-sentenced.html
70,https://www.readingeagle.com/ap/article/fake-german-heiress-sentenced-to-4-12-years-behind-bars
71,https://www.theindependent.com/news/national/fake-german-heiress-sentenced-to---years-behind-bars/article_94d220c5-c174-550f-a77f-d440f151d6fe.html
72,https://www.keyc.com/story/40442752/fake-german-heiress-sentenced-to-4-12-years-behind-bars
73,https://www.runcornandwidnesworld.co.uk/news/national/17630398.fake-german-heiress-jailed-for-swindling-us-banks-and-hotels/
74,https://alabamanewscenter.com/2019/05/09/occidental-ceo-and-university-of-alabama-grad-on-cusp-of-outmuscling-a-rival-5-times-as-big/
75,https://www.pressandjournal.co.uk/news/world/1745448/fake-german-heiress-jailed-for-swindling-us-banks-and-hotels/
76,https://o.canada.com/news/world/fake-german-heiress-anna-sorokin-sentenced-to-four-to-12-years-in-prison-for-defrauding-nyc-banks-and-hotels/wcm/cb9f3147-f27a-48ad-86c6-0adba41b9b15
77,https://www.bignewsnetwork.com/news/260968520/fake-german-heiress-sentenced-to-4-12-years-behind-bars
78,https://www.concordmonitor.com/Fake-German-heiress-sentenced-to-4-12-years-behind-bars-25452189
79,https://jerseyeveningpost.com/news/world-news/2019/05/09/fake-german-heiress-jailed-for-swindling-us-banks-and-hotels/
80,https://www.newsday.com/news/new-york/fake-german-heiress-anna-sorokin-sentenced-1.30858100
81,https://www.cairnspost.com.au/truecrimeaustralia/fake-heiress-anna-sorokin-aka-anna-delvey-sorry-as-she-gets-sentence-of-between-four-and-12-years-jail/news-story/9d63d3ce37840a7360779a2b7b287842?nk=182d7a1277ae6a1d511a65871c15c4bd-1557436668
82,https://www.kitv.com/story/40447283/island-business-report-memorial-day-weekend-among-the-cheapest-times-to-travel
83,https://thelatestbreakingnews.com/fake-heiress-jailed-for-150000-summer-of-scam/
84,https://www.brisbanetimes.com.au/world/north-america/blinded-by-the-glitter-fake-german-heiress-sentenced-in-manhattan-20190510-p51lvs.html
85,https://www.staradvertiser.com/2019/05/09/breaking-news/fake-heiress-who-swindled-banks-and-hotels-faces-sentencing/
86,https://www.breakingnews.ie/world/fake-german-heiress-jailed-for-swindling-us-banks-and-hotels-923176.html
87,https://www.theusnews.com/news/260968520/fake-german-heiress-sentenced-to-4-12-years-behind-bars
88,https://www.abc-7.com/story/40442752/fake-german-heiress-sentenced-to-4-12-years-behind-bars
