,COMPANY,date,SDG_12
581481,consolidated edison inc,2018-08-25,
582354,consolidated edison inc,2018-08-27,
582864,consolidated edison inc,2018-08-28,
583318,consolidated edison inc,2018-08-29,
583751,consolidated edison inc,2018-08-30,
584258,consolidated edison inc,2018-08-31,
584624,consolidated edison inc,2018-09-01,
585407,consolidated edison inc,2018-09-03,
586148,consolidated edison inc,2018-09-04,
586596,consolidated edison inc,2018-09-05,
587424,consolidated edison inc,2018-09-07,
588141,consolidated edison inc,2018-09-09,
589361,consolidated edison inc,2018-09-11,
589738,consolidated edison inc,2018-09-12,
590128,consolidated edison inc,2018-09-13,
590498,consolidated edison inc,2018-09-14,-6.269357314694605
590976,consolidated edison inc,2018-09-15,-5.598058187900094
591475,consolidated edison inc,2018-09-16,-5.89830508474576
592097,consolidated edison inc,2018-09-17,-5.265029319199625
592552,consolidated edison inc,2018-09-18,-6.243393234672305
593182,consolidated edison inc,2018-09-19,-5.409343979231295
593529,consolidated edison inc,2018-09-20,-2.6747905348485763
593784,consolidated edison inc,2018-09-21,-1.4223941400020834
594486,consolidated edison inc,2018-09-22,-6.23678646934461
594995,consolidated edison inc,2018-09-23,-6.23678646934461
595335,consolidated edison inc,2018-09-24,-6.23678646934461
595758,consolidated edison inc,2018-09-25,-3.0882908866891623
596498,consolidated edison inc,2018-09-26,
596962,consolidated edison inc,2018-09-27,1.50197628458498
598068,consolidated edison inc,2018-09-30,0.339366515837104
598657,consolidated edison inc,2018-10-01,
598978,consolidated edison inc,2018-10-02,0.29502632609547
599565,consolidated edison inc,2018-10-03,-2.262535223622027
600139,consolidated edison inc,2018-10-04,
