,0
0,http://www.wfnc640am.com/news/pfizer-moves-to-block-its-drugs-from-being-used-in-lethal-injections/
1,http://www.bigcountryhomepage.com/news/pfizer-blocks-drugs-from-being-used-in-executions
2,http://www.wjcl.com/news/national-nationalinternational/pfizer-blocks-drugs-from-being-used-in-executions/196361162/story
3,http://www.capradio.org/news/npr/story?storyid=478000084
4,http://www.wfmz.com/lifestyle/health/pfizer-blocks-drugs-from-being-used-in-lethal-injections/39544070
5,http://790talknow.com/foxfeedspro/details/item_318150/pfizer-moves-to-block-its-drugs-from-being-used-in-lethal-injections-cnn/
6,http://www.westernslopenow.com/news/pfizer-blocks-drugs-from-being-used-in-executions
7,http://www.newsnow.in/news/bsf-recovers-heroin-worth-rs-10-crore-along-international-border-daily-news-analysis
8,http://nhpr.org/post/pfizer-stop-selling-drugs-use-lethal-injections
9,http://www.local10.com/news/national/pfizer-blocks-drugs-from-being-used-in-executions
10,http://www.newstalk.com/reader/47.301/72672/
11,http://wtvr.com/2016/05/13/pfizer-moves-to-block-its-drugs-from-being-used-in-lethal-injections/
12,http://nepr.net/news/2016/05/13/pfizer-to-stop-selling-drugs-for-use-in-lethal-injections/
13,http://www.kkoh.com/news/pfizer-moves-to-block-its-drugs-from-being-used-in-lethal-injections/
14,http://www.nwahomepage.com/news/pfizer-blocks-drugs-from-being-used-in-executions
15,http://www.elpasotimes.com/story/news/2016/05/13/pfizer-lethal-injection-drugs-supreme-court-executions-death/84344628/
16,http://www.nwcn.com/news/nation-now/pfizer-rules-on-lethal-injection-drugs-may-limit-death-penalty-executions/191155032
17,http://www.wfdd.org/story/pfizer-stop-selling-drugs-use-lethal-injections
18,http://www.caboolturenews.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
19,http://www.cnn.com/2016/05/13/health/pfizer-death-penalty-drugs/
20,http://www.gympietimes.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
21,http://www.pahomepage.com/news/pfizer-blocks-drugs-from-being-used-in-executions
22,https://indiankanoon.org/doc/72612521/
23,https://www.equities.com/news/pfizer-changes-policy-to-block-use-of-its-drugs-in-u-s-executions
24,https://www.equities.com/news/pfizer-changes-policy-to-block-use-of-its-drugs-in-u-s-executions
25,https://www.equities.com/news/pfizer-changes-policy-to-block-use-of-its-drugs-in-u-s-executions
26,http://www.opb.org/news/article/npr-pharmaceutical-company-pfizer-to-stop-selling-drugs-for-use-in-lethal-injections/
27,http://radio.wpsu.org/post/pfizer-stop-selling-drugs-use-lethal-injections
28,https://www.adn.com/article/20160513/pfizer-blocks-use-its-drugs-executions-1
29,http://www.news-mail.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
30,http://www.arkansasonline.com/news/2016/may/14/pfizer-blocks-use-of-its-drugs-in-letha/
31,http://uk.onlinenigeria.com/latest-additions/192702-why-a-generous-credit-card-limit-may-scupper-your-new-mortgage.html
32,http://www.theguardian.com/global-development/2016/may/14/big-pharma-cost-of-drugs-killing-us-how-can-we-foster-access-for-all
33,http://www.newstalk.com/reader/47.301/72672/0/
34,http://www.4-traders.com/PFIZER-INC-23365019/news/Pfizer-changes-policy-to-block-use-of-its-drugs-in-U-S-executions-22359065/
35,http://www.4-traders.com/PFIZER-INC-23365019/news/Pfizer-changes-policy-to-block-use-of-its-drugs-in-U-S-executions-22359065/
36,http://www.4-traders.com/PFIZER-INC-23365019/news/Pfizer-changes-policy-to-block-use-of-its-drugs-in-U-S-executions-22359065/
37,http://www.theage.com.au/world/pfizer-blocks-the-use-of-its-drugs-in-executions-20160514-gov2xk.html
38,http://www.upi.com/Business_News/2016/05/13/Pfizer-changes-policy-to-block-use-of-its-drugs-in-US-executions/9671463185940/
39,http://www.upi.com/Business_News/2016/05/13/Pfizer-changes-policy-to-block-use-of-its-drugs-in-US-executions/9671463185940/
40,http://www.upi.com/Business_News/2016/05/13/Pfizer-changes-policy-to-block-use-of-its-drugs-in-US-executions/9671463185940/
41,http://wamu.org/news/16/05/13/pharmaceutical_company_pfizer_to_stop_selling_drugs_for_use_in_lethal_injections
42,http://www.frasercoastchronicle.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
43,http://www.ibtimes.co.uk/pfizer-imposes-restrictions-use-its-drugs-lethal-injections-1560018
44,http://www.kvlu.org/pfizer-to-stop-selling-drugs-for-use-in-lethal-injections-2/
45,http://www.houstonchronicle.com/news/nation-world/nation/article/Pfizer-blocks-use-of-its-drugs-in-executions-7468067.php
46,http://www.bostonglobe.com/news/nation/2016/05/13/pfizer-blocks-use-its-drugs-executions/HthLUWSeOg51NN50OtTUbM/story.html
47,http://www.thechronicle.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
48,http://www.northernstar.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
49,http://www.ipswichadvertiser.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
50,http://www.wlrh.org/NPR-News/pfizer-stop-selling-drugs-use-lethal-injections
51,http://www.cqnews.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
52,http://knpr.org/npr/2016-05/pfizer-stop-selling-drugs-use-lethal-injections
53,http://www.presstv.ir/Detail/2016/05/14/465530/Pfizer-lethal-injections
54,http://www.fox23.com/news/national/ap-top-us-news-at-144-am-edt/281667764
55,http://www.news4jax.com/news/pfizer-blocks-drugs-from-being-used-in-executions
56,http://www.noosanews.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
57,http://www.centraltelegraph.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
58,http://www.qt.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
59,http://www.kagstv.com/news/nation-now/pfizer-rules-on-lethal-injection-drugs-may-limit-death-penalty-executions/191154244
60,http://www.heart.co.uk/news/uk-world/peru-drugs-mule-melissa-reid-to-return-to-uk/
61,http://www.heart.co.uk/news/uk-world/canadian-pm-visits-wildfire-disaster-zone/
62,http://www.heart.co.uk/news/uk-world/fake-fags-undermining-anti-smoking-efforts/
63,http://news.wgbh.org/2016/05/13/pfizer-stop-selling-drugs-use-lethal-injections
64,http://www.tweeddailynews.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
65,http://www.kpbs.org/news/2016/may/13/pfizer-to-stop-selling-drugs-for-use-in-lethal/
66,http://www.ballinaadvocate.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
67,http://www.warwickdailynews.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
68,http://www.sdjewishworld.com/2016/05/13/humoring-headlines-may-13-2016/
69,http://www.nbcnews.com/storyline/lethal-injection/pfizer-blocks-use-its-drugs-executions-n573951
70,http://www.azcentral.com/story/news/2016/05/13/pfizer-lethal-injection-drugs-supreme-court-executions-death/84344628/
71,http://www.gladstoneobserver.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
72,http://www.sunshinecoastdaily.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
73,http://www.kabc.com/news/pfizer-changes-policy-to-block-use-of-its-drugs-in-u-s-executions/
74,http://www.kabc.com/news/pfizer-changes-policy-to-block-use-of-its-drugs-in-u-s-executions/
75,http://www.kabc.com/news/pfizer-changes-policy-to-block-use-of-its-drugs-in-u-s-executions/
76,http://kansaspublicradio.org/npr-news/pharmaceutical-company-pfizer-stop-selling-drugs-use-lethal-injections
77,http://www.byronnews.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
78,http://www.gattonstar.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
79,http://www.thesatellite.com.au/news/pharmaceutical-giant-stop-supplying-death-penalty-/3026158/
80,http://www.wddoam.com/news/pfizer-moves-to-block-its-drugs-from-being-used-in-lethal-injections/
81,http://www.reuters.com/article/world-news-schedule-at-0600-gmt-2-am-et-idUSL5N18B097
82,http://www.reuters.com/article/world-news-schedule-at-0600-gmt-2-am-et-idUSL5N18B097
83,http://www.pbs.org/newshour/bb/pfizer-halts-sale-of-drugs-used-in-lethal-injection-executions/
84,http://www.euronews.com/2016/05/14/pfizer-blocks-drugs-sales-for-use-in-lethal-injections-in-us-prisons/
85,http://www.dothanfirst.com/news/pfizer-blocks-drugs-from-being-used-in-executions
86,http://www.waaytv.com/appnews/pfizer-moves-to-block-execution-drugs-from-being-used/article_2e69d3b0-196a-11e6-92bb-5757f3cb57cb.html
87,http://www.canberratimes.com.au/world/pfizer-blocks-the-use-of-its-drugs-in-executions-20160514-gov2xk.html
88,http://mobile.wnd.com/2016/05/dow-sp-post-1st-3-week-losing-streak-since-january/
89,http://accesswdun.com/article/2016/5/399668
90,http://accesswdun.com/article/2016/5/399668
91,http://www.startribune.com/pfizer-won-t-sell-its-drugs-for-use-in-executions/379466651/
92,http://www.wbir.com/news/local/pfizer-rules-on-lethal-injection-drugs-may-limit-death-penalty-executions/190897006
93,https://www.thestar.com/news/world/2016/05/13/pharmaceutical-giant-pfizer-blocks-the-use-of-its-drugs-in-executions.html
94,http://www.pbs.org/newshour/bb/the-lines-are-drawn-in-national-debate-over-transgender-bathroom-access/
95,http://jezebel.com/pfizer-blocks-its-drugs-from-being-used-in-lethal-injec-1776576488
96,http://www.inquisitr.com/3094834/pfizer-takes-a-stand-against-death-penalty-by-blocking-its-drugs-for-use-in-lethal-injection-cocktails/
97,http://www.brisbanetimes.com.au/world/pfizer-blocks-the-use-of-its-drugs-in-executions-20160514-gov2xk.html
98,http://www.smh.com.au/world/pfizer-blocks-the-use-of-its-drugs-in-executions-20160514-gov2xk.html
99,https://www.yahoo.com/news/world-news-schedule-1000-gmt-100018741.html
100,https://www.yahoo.com/news/world-news-schedule-1000-gmt-100018741.html
101,http://accesswdun.com/article/2016/5/399752/university-of-north-georgias-economic-impact-on-local-communities-up-14-percent
102,http://www.npr.org/sections/thetwo-way/2016/05/13/478000084/pharmaceutical-company-pfizer-to-stop-selling-drugs-for-use-in-lethal-injections
103,http://www.msnbc.com/msnbc/pfizer-blocks-use-its-drugs-executions
104,http://gantdaily.com/2016/05/13/pfizer-moves-to-block-its-drugs-from-being-used-in-lethal-injections/
105,http://www.rochesterfirst.com/news/pfizer-blocks-drugs-from-being-used-in-executions_
106,http://abruzzo.tv/news/2016/05/14/pharmaceutical-company-vows-to-block-use-of-drugs-for/
107,http://popherald.com/2016/05/14/pfizer-blocks-uses-of-its-drugs-in-executions.html
108,http://fait-religieux.com/2016/05/14/pfizer-blocks-use-of-drugs-for-lethal-injections.html
109,http://newsworms.com/2016/05/14/hezbollah-says-insurgents-killed-its-top-commander-in-syria.html
110,http://www.indiagazette.com/index.php/sid/244068855
111,http://newsworms.com/2016/05/14/western-officials-walk-out-of-ugandan-presidents.html
