,COMPANY,date,SDG_12
252918,tyson foods inc,2016-09-25,1.603997625173165
253437,tyson foods inc,2016-09-26,
253641,tyson foods inc,2016-09-27,-1.3435083571912723
254162,tyson foods inc,2016-09-28,-2.3071522987000765
254648,tyson foods inc,2016-09-29,-0.48469094856967193
255133,tyson foods inc,2016-09-30,3.14419857090123
255710,tyson foods inc,2016-10-01,-2.36430921052632
256083,tyson foods inc,2016-10-02,
256751,tyson foods inc,2016-10-03,
256960,tyson foods inc,2016-10-04,-0.9328038168010068
257372,tyson foods inc,2016-10-05,4.12667946257198
258081,tyson foods inc,2016-10-06,-2.61282660332542
258542,tyson foods inc,2016-10-07,-1.2820228376827822
258856,tyson foods inc,2016-10-08,-2.752050397166961
259269,tyson foods inc,2016-10-09,-3.4155006962146843
259688,tyson foods inc,2016-10-10,-0.8131049098766169
260174,tyson foods inc,2016-10-11,0.1424015509701522
260653,tyson foods inc,2016-10-12,-2.3109874117691875
261178,tyson foods inc,2016-10-13,-0.6218287483175408
261677,tyson foods inc,2016-10-14,-5.603331710728945
262106,tyson foods inc,2016-10-15,-7.2819897614997515
262512,tyson foods inc,2016-10-16,-7.100467098698416
263057,tyson foods inc,2016-10-17,-5.541434239444643
263468,tyson foods inc,2016-10-18,-5.14768203721692
264025,tyson foods inc,2016-10-19,
264520,tyson foods inc,2016-10-20,-3.405483685537793
265011,tyson foods inc,2016-10-21,1.640838650866
265406,tyson foods inc,2016-10-22,
265963,tyson foods inc,2016-10-23,3.39414970502792
266242,tyson foods inc,2016-10-24,
266616,tyson foods inc,2016-10-25,0.9000781412814339
267261,tyson foods inc,2016-10-26,1.2216232386527088
267823,tyson foods inc,2016-10-27,-0.3381290621089314
268257,tyson foods inc,2016-10-28,-1.8714718626717286
268663,tyson foods inc,2016-10-29,1.1948990714355578
269176,tyson foods inc,2016-10-30,
269440,tyson foods inc,2016-10-31,-0.5616142277370559
269981,tyson foods inc,2016-11-01,
270751,tyson foods inc,2016-11-02,0.7521984901020969
271266,tyson foods inc,2016-11-03,
271620,tyson foods inc,2016-11-04,-3.13971742543171
