,0
0,http://baltimore.cbslocal.com/2017/08/25/gas-prices-rise-flights-stall-harvey-nears/
1,https://www.onenewsnow.com/ap/united-states/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
2,https://www.therecord.com/news-story/7521893-gas-prices-rise-flights-stall-as-hurricane-harvey-nears/
3,http://naplesherald.com/2017/08/25/gas-prices-rise-flights-stall-hurricane-harvey-nears/
4,http://www.maritime-executive.com/article/gulf-oil-industry-prepares-for-hurricane-harvey
5,http://www.wsbradio.com/business/gas-prices-rise-flights-stall-hurricane-harvey-nears/4JSqwklyxTj3u58YekeolL/
6,http://www.hartfordcitynewstimes.com/news/nation/here-s-the-latest-on-hurricane-harvey/article_cb0374bf-7a70-5aec-8290-ab0bbabc7bda.html
7,http://www.livemint.com/Politics/ehW8q5X95ZW71IBRYtq91K/Harvey-category-4-hurricane-hits-Taxas-with-massive-winds.html
8,http://www.meridianstar.com/region/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_718f1bc7-649c-5c98-806e-a62341e76d37.html
9,http://www.djournal.com/news/around-mississippi/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_0005dec9-0e6f-570d-af61-aae492c0479e.html
10,http://www.dailystarjournal.com/news/national/here-s-the-latest-on-hurricane-harvey/article_c3595938-418b-5a6a-97ad-4f4c614e85a8.html
11,http://www.chieftain.com/news/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_69407b12-b6a4-5d6a-bfd1-051ea975c7a3.html
12,http://www.reporternews.com/story/weather/hurricanes/2017/08/23/harvey-2017-system-upgraded-tropical-storm/596105001/
13,http://www.15rounds.com/encountering-barrera-deregulation-bad-experiences-and-edwin-valero-053110/
14,http://www.nwitimes.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_f26ed328-6fb9-5c11-812b-01f5c0ece8c4.html
15,https://finance.yahoo.com/news/gas-prices-rise-flights-stall-212124073.html
16,http://bloomberg.finanza.repubblica.it/Notizie/Article?documentKey=1376-OV9VX46S9728-3MTEM89FB6N6V9HETV2KBASRSB
17,http://kstp.com/business/hurrican-harvey-gas-prices-flights/4587133/?cat=12685
18,http://www.times-news.com/news/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_6c951626-536d-56f3-a7e9-1ae83c8226c2.html
19,http://kstp.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/4587127/?cat=140
20,http://kstp.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/4587128/?cat=140
21,http://cbsaustin.com/news/local/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
22,http://www.fbherald.com/free/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_dfb481db-8235-58e0-9c01-549a1adf5938.html
23,http://www.thepampanews.com/news/national/article_11b337de-d3ed-55f7-b7d1-f49ec260cc44.html
24,http://westchester.news12.com/story/36220215/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
25,http://kdow.biz/news/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
26,http://www.wohfradio.com/business-news/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/
27,http://www.stltoday.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_fa36deed-e8cc-555b-b2ab-d3740d0d8d3c.html
28,http://livenewscentral.com/2017/08/26/gas-prices-rise-flights-stall-as-hurricane-harvey-nears-2/
29,http://www.bostonherald.com/news/national/2017/08/gas_prices_rise_flights_stall_as_hurricane_harvey_nears
30,http://accesswdun.com/article/2017/8/574297
31,http://www.seattletimes.com/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
32,http://www.sfgate.com/news/texas/article/Hurricane-Harvey-closes-key-oil-gas-operations-11972571.php
33,http://www.startribune.com/hurricane-harvey-closes-key-oil-gas-operations-in-texas/441812793/
34,http://www.greensboro.com/ap/us_world/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_a3ded71b-333b-54cd-a24c-bf796ca2273a.html
35,http://www.dailymail.co.uk/wires/ap/article-4825994/Hurricane-Harvey-closes-key-oil-gas-operations-Texas.html
36,https://www.stripes.com/news/us/prepare-to-pay-at-the-pump-as-harvey-closes-key-oil-gas-operations-in-texas-1.484615
37,http://www.enewscourier.com/news/state_and_nation/update-hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_dae2ceca-8a85-11e7-b616-d7deeb5250c8.html
38,http://chippewa.com/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_a06d5e5d-7455-53c0-830b-ddfe62fefbd4.html
39,http://wsbt.com/news/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas-08-26-2017
40,http://www.fredericksburg.com/business/business-wire/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_d6b531e3-6c83-52bb-bbe3-9ce80317095b.html
41,http://www.actionnewsjax.com/news/hurricane-harvey-closes-key-oil-gas-operations-in-texas/598521474
42,http://www.elpasoinc.com/news/ap_wire/us/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_4af500cd-b5f8-5aeb-8bc9-3dadc2538782.html
43,https://www.1065thearch.com/2017/08/26/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
44,http://www.philly.com/philly/news/breaking/20170826_ap_4c44cc83ec8841e2a857afe7e09ad2fb.html
45,http://www.rep-am.com/news/2017/08/26/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
46,http://www.chieftain.com/news/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_1dbd3cfb-d025-53f2-b177-8822506140f7.html
47,http://globalnews.ca/news/3698326/hurricane-harvey-oil-gas-operations-texas-gulf-coast/
48,http://www.omaha.com/weather/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_b948704c-8a8c-11e7-8309-afe3d538b3c4.html
49,http://www.business-standard.com/article/international/hurricane-harvey-hits-us-oil-hub-with-massive-winds-torrential-rain-117082600931_1.html
50,http://www.myrtlebeachonline.com/news/business/article169564297.html
51,http://accesswdun.com/article/2017/8/574548
52,http://www.wwl.com/articles/ap-news/hurricane-harvey-closes-key-oil-gas-operations-texas-0
53,http://woodtv.com/2017/08/26/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
54,https://www.washingtonpost.com/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas/2017/08/26/f99360ea-8a8b-11e7-96a7-d178cf3524eb_story.html
55,https://www.bloomberg.com/news/articles/2017-08-26/harvey-hammers-u-s-oil-hub-with-torrential-rain-as-winds-weaken
56,https://www.cnbc.com/2017/08/26/hurricane-harvey-closes-key-oil-and-gas-facilities-in-texas.html
57,http://www.newsobserver.com/news/business/article169564297.html
