,0
0,http://www.nydailynews.com/newswires/new-york/latest-death-attributed-maria-guadeloupe-article-1.3506077
1,http://www.ctvnews.ca/world/hurricane-maria-smashes-dominica-now-menaces-puerto-rico-1.3595732
2,http://www.greensboro.com/ap/north_carolina/hurricane-maria-smashes-dominica-now-menaces-puerto-rico/article_217e14a9-3a46-5f8a-a7b3-7a62dcac936e.html
3,http://www.dailyitem.com/region/the-latest-hurricane-jose-closes-north-carolina-highway/article_66d4b533-b56f-501a-b631-aa503e176d40.html
4,http://www.wflx.com/story/36397312/hurricane-maria-smashes-dominica-now-menaces-puerto-rico
5,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2017-09-19-Hurricane%20Maria/id-3cbc5c398ab6487cb825ae4dbaf05f76
6,http://poststar.com/news/state-and-regional/the-latest-most-internet-service-out-to-dominica/article_593ade2b-72d7-5c10-b774-0de61184ab95.html
7,http://www.ledger-enquirer.com/news/nation-world/article174078326.html
8,http://savannahnow.com/news/2017-09-19/hurricane-maria-smashes-dominica-now-menaces-puerto-rico
9,http://www.wect.com/story/36400630/the-latest-florida-governor-says-need-to-watch-hurricane
10,http://www.wthr.com/article/hurricane-maria-slams-dominica-now-menaces-puerto-rico
11,http://www.ctvnews.ca/world/hurricane-maria-slams-dominica-now-menaces-puerto-rico-1.3595732
12,http://www.wect.com/story/36397312/hurricane-maria-slams-dominica-now-menaces-puerto-rico
13,http://www.foxnews.com/world/2017/09/19/hurricane-maria-slams-dominica-now-menaces-puerto-rico.html
14,http://www.thedailystar.com/news/state/hurricane-maria-slams-dominica-now-menaces-puerto-rico/article_94471e1a-704e-5379-8edd-857becd9356c.html
15,http://www.10tv.com/article/hurricane-maria-pounds-caribbean-targets-us-islands
16,http://www.kfvs12.com/story/36397312/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico
17,http://abc7ny.com/weather/hurricane-maria-takes-aim-at-puerto-rico/2427746/
18,http://poststar.com/news/national/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/article_e3d0f00f-b4fb-5faa-b45e-09f893b0042d.html
19,http://www.richmond.com/news/latest-news/ap/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/article_4ca396af-1fc9-5722-8fdc-5339175da9aa.html
20,http://poststar.com/news/state-and-regional/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/article_48823c8a-e554-5aa5-b485-081c8323818c.html
21,http://www.kmvt.com/content/news/Former-judge-braces-for-Hurricane-Maria-in-Puerto-Rico-445772683.html
22,http://www.koamtv.com/story/36397311/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico
23,http://www.newsmax.com/Newsfront/hurricane-maria-puerto-rico/2017/09/19/id/814470/
24,http://www.expressnews.com/news/us/article/The-Latest-Hurricane-Maria-weakens-some-to-12208083.php
25,http://www.chieftain.com/news/world/hurricane-maria-slams-dominica-now-menaces-puerto-rico/article_4308b6b1-4f1e-5045-9163-3e952edf3ee1.html
26,https://www.clickorlando.com/weather/updates-hurricane-maria-heads-to-puerto-rico
27,http://www.ctpost.com/news/world/article/Hurricane-Maria-month-s-2nd-Cat-5-storm-lashes-12207841.php
28,http://www.bostonherald.com/news/international/2017/09/hurricane_maria_slams_dominica_now_menaces_puerto_rico
29,http://www.scmp.com/news/world/americas/article/2111927/monster-hurricane-maria-smashes-caribbean-region-still-reeling
30,http://www.msn.com/en-us/weather/topstories/first-death-attributed-to-maria-on-guadeloupe/ar-AAsc5k9
31,http://www.nydailynews.com/newswires/news/world/hurricane-maria-slams-dominica-takes-aim-puerto-rico-article-1.3505324
32,http://auburnpub.com/news/national/the-latest-maria-rains-lashing-vi-puerto-rico/article_b5e3201e-3e0b-5779-822d-5abba07d3ec0.html
33,http://hosted.ap.org/dynamic/stories/T/TROPICAL_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-09-19-16-41-40
34,http://www.stltoday.com/travel/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/article_91ce538d-225e-5b4d-b1d3-a2cb1c68d27f.html
35,http://www.samoaobserver.ws/en/20_09_2017/world/24525/Hurricane-Maria-slams-Dominica-now-takes-aim-at-Puerto-Rico.htm
36,http://www.fredericksburg.com/news/news-wire/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/article_a91099eb-1c60-51b0-b598-a6216a414fd4.html
37,http://www.columbian.com/news/2017/sep/19/hurricane-maria-smashes-dominica-now-menaces-puerto-rico/
38,http://www.starherald.com/news/nation_world/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/article_2de6b011-d234-5069-852a-77e8b526aad1.html
39,http://www.wwl.com/articles/ap-news/latest-maria-rains-lashing-vi-puerto-rico
40,http://www.wwl.com/articles/ap-news/latest-first-death-attributed-maria-guadeloupe
41,http://www.live5news.com/story/36397312/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico
42,http://livenewscentral.com/2017/09/19/the-latest-first-death-attributed-to-maria-on-guadeloupe/
43,http://www.middletownpress.com/general-news/20170919/1st-death-attributed-to-maria-on-guadeloupe
44,http://www.dailytribune.com/general-news/20170919/hurricane-maria-smashes-dominica-now-menaces-puerto-rico
45,http://www.wfmz.com/news/ap-national/the-latest-virgin-islands-expect-direct-hit-from-maria/623011740
46,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2017-09-19-Hurricane%20Maria/id-e75830fe1263482c9169cfb7452d52d1
47,http://www.dailyitem.com/region/the-latest-most-internet-service-out-to-dominica/article_66d4b533-b56f-501a-b631-aa503e176d40.html
48,http://am860theanswer.com/news/lifestyle/hurricane-maria-months-2nd-cat-5-storm-lashes-at-dominica
49,http://www.chieftain.com/news/national/the-latest-first-death-attributed-to-maria-on-guadeloupe/article_2976c1b7-f0f4-590e-94bb-f1dfdffa02b4.html
50,http://www.kristv.com/story/36403036/hurricane-maria-smashes-dominica-now-menaces-puerto-rico
51,http://hosted.ap.org/dynamic/stories/T/TROPICAL_WEATHER_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-09-19-13-10-39
52,http://www.wacotrib.com/news/ap_nation/the-latest-first-death-attributed-to-maria-on-guadeloupe/article_31981dfd-e06d-5232-ab5c-51f6c36a67b4.html
53,http://www.wfmj.com/story/36397311/hurricane-maria-slams-dominica-now-menaces-puerto-rico
54,http://www.loopjamaica.com/content/communications-down-dominica-after-hurricane-maria-1
55,https://www.1065thearch.com/2017/09/19/hurricane-maria-months-2nd-cat-5-storm-lashes-at-dominica/
56,https://www.bozemandailychronicle.com/ap_news/us/the-latest-first-death-attributed-to-maria-on-guadeloupe/article_eb5fd82c-dd16-53c7-8535-a35bd4352abe.html
57,http://www.nydailynews.com/newswires/news/world/hurricane-maria-slams-dominica-menaces-puerto-rico-article-1.3505324
58,https://www.abqjournal.com/1065949/hurricane-maria-slams-dominica-now-menaces-puerto-rico.html
59,http://lacrossetribune.com/news/national/the-latest-maria-strengthens-on-way-to-puerto-rico-vi/article_57a14f5b-6406-5fd5-ab1f-10fde352639e.html
60,http://www.chieftain.com/news/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/article_4308b6b1-4f1e-5045-9163-3e952edf3ee1.html
61,https://www.bozemandailychronicle.com/ap_news/international/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/article_0ba901e0-e5f6-5aa3-a03a-094091469267.html
62,http://herald-review.com/news/national/the-latest-maria-strengthens-on-way-to-puerto-rico-vi/article_8d4173fb-e13e-528b-84d6-b14700097b9a.html
63,http://kstp.com/weather/hurricane-maria-first-death-reported-guadeloupe/4607837/?cat=12678
64,http://www.roanoke.com/news/wire_headlines/the-latest-maria-strengthens-on-way-to-puerto-rico-vi/article_aa8b432d-4224-50fa-8837-e662d9416844.html
65,http://www.dailyprogress.com/news/world/wire/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/article_63979b21-f362-52c9-8bbe-6191b999e6d4.html
66,http://wkrn.com/2017/09/19/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/
67,http://www.mrt.com/news/world/article/Hurricane-Maria-month-s-2nd-Cat-5-storm-lashes-12207841.php
68,http://wkbn.com/2017/09/19/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/
69,http://www.cullmantimes.com/news/hurricane-maria-slams-dominica-now-menaces-puerto-rico/article_ef00a056-9d6a-11e7-ad31-f34dc5d8280c.html
70,http://hosted2.ap.org/CAANR/0260ea4c3e85456b80715585ba3c7b5b/Article_2017-09-19-Hurricane%20Maria/id-5e04132385434a099391978dd05a542f
71,http://www.financialexpress.com/world-news/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/862429/
72,http://tucson.com/travel/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/article_2a0fe91c-199e-5d3d-9570-93ec8df7513a.html
73,http://www.greensboro.com/ap/north_carolina/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/article_217e14a9-3a46-5f8a-a7b3-7a62dcac936e.html
74,http://www.timesdaily.com/news/nation/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/article_2ad8359b-bb2e-536d-a79a-c9d9b9f73226.html
75,http://nationalpost.com/pmn/news-pmn/hurricane-maria-months-2nd-cat-5-storm-lashes-at-dominica
76,http://www.chicagotribune.com/news/nationworld/ct-hurricane-maria-puerto-rico-20170919-story.html
77,http://wrbl.com/2017/09/19/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/
78,http://www.newschannel10.com/story/36397312/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica
79,http://hosted.ap.org/dynamic/stories/H/HURRICANE_MARIA?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2017-09-19-18-14-01
80,http://www.wmcactionnews5.com/story/36397312/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica
81,http://talkingpointsmemo.com/news/hurricane-maria-aims-at-puerto-rico
82,http://whdh.com/news/hurricane-maria-aims-at-puerto-rico-after-slamming-dominica/
83,http://norfolkdailynews.com/news/national/news_national/hurricane-maria-slams-dominica-now-takes-aim-at-puerto-rico/article_1f33eb34-9d7a-11e7-a0fe-dbcc47027699.html
84,http://www.bostonherald.com/news/international/2017/09/hurricane_maria_aims_at_puerto_rico_after_slamming_dominica
