,0
0,http://www.click2houston.com/web/kprc/news/flash-flood-watch-issued-for-several-counties-around-houston-until-7am-tuesday
1,http://www.noodls.com/viewNoodl/33116252/city-of-missouri-city-tx/news-flash-flash-flood-watch-for-fort-bend-county-until-41
2,http://www.redding.com/news/376026541.xhtml
3,http://www.ktvn.com/story/31752687/the-latest-rescuers-try-to-save-horses-in-texas-flooding
4,http://www.wdef.com/2016/04/18/details-vivid-pictures-flooding-monday-texas/
5,http://www.wistv.com/story/31752689/the-latest-rescuers-try-to-save-horses-in-texas-flooding
6,http://www.kvoa.com/story/31752238/houston-area-submerged-after-16-inches-of-rain-in-24-hours
7,http://www.yourhoustonnews.com/deer_park/deer_park/news/severe-storms-drench-area/article_e352e5a2-532d-5bed-ab16-8177d3faa917.html
8,http://komonews.com/news/nation-world/houston-area-submerged-after-16-inches-of-rain-in-24-hours-04-18-2016
9,http://www.ctpost.com/news/texas/article/Storms-bring-heavy-rain-flooding-threat-to-Texas-7254379.php
10,http://www.ktvz.com/news/houston-largely-shut-down-amid-rain-flooding/39082632
11,http://www.kiro7.com/news/national/the-latest-more-than-1m-houstonarea-students-off-in-storms/224490017
12,http://www.redding.com/news/376061101.xhtml
13,http://www.waaytv.com/ap/domestic/the-latest-more-than-m-houston-area-students-off-in/article_6cbecef4-9996-5121-8d8d-dba4fda3dbe3.html
14,http://www.bdtonline.com/region/the-latest-rescuers-try-to-save-horses-in-texas-flooding/article_d100804e-af7c-5807-b43e-5fe79a9a256a.html
15,http://www.cbsnews.com/news/tv-reporter-helps-in-rescue-amid-houston-flooding/
16,http://www.bonnercountydailybee.com/news/national/article_e438fdd7-ece8-5831-9b1c-5b18e7d35195.html
17,http://www.dariennewsonline.com/news/texas/article/The-Latest-Houston-TV-reporter-helps-rescue-7254848.php
18,http://www.cadillacnews.com/ap_story/national_news/20160418_ap_b20cf033dd61423c99b11e6d67aec535.html
19,http://patch.com/us/across-america/houston-under-water-it-bears-brunt-powerful-storms-0
20,http://www.news-journalonline.com/article/20160418/APA/304189806
21,http://www.kxxv.com/story/31752689/the-latest-mayor-says-possible-fatality-in-houston-flooding
22,http://www.longisland.com/news/ap-news/the-latest-mayor-says-possible-fatality-houston-flooding-041816.html
23,http://ksn.com/2016/04/18/houston-area-submerged-after-16-inches-of-rain-in-24-hours/
24,http://naplesherald.com/2016/04/18/houston-area-submerged-16-inches-rain-24-hours/
25,http://wbtw.com/ap/the-latest-rescuers-try-to-save-horses-in-texas-flooding/
26,http://www.theguardian.com/us-news/2016/apr/18/houston-texas-heavy-rain-flooding
27,http://www.yourhoustonnews.com/woodlands/courier/news/storms-cause-flooding-traffic-delays-across-montgomery-county/article_cf4d1307-4cf6-566d-a6b3-e778f4c23d94.html
28,http://www.ktvq.com/story/31751216/houston-largely-shut-down-amid-rain-flooding
29,http://www.kcci.com/national/houston-largely-shut-down-amid-rain-flooding/39082632
30,http://www.grahamleader.com/ci_29781165/latest-houston-tv-reporter-helps-rescue-driver-flood
31,http://www.klkntv.com/story/31752687/the-latest-more-than-1m-houston-area-students-off-in-storms
32,http://www.mytwintiers.com/news/houston-largely-shut-down-amid-rain-flooding
33,http://www.WLOX.com/story/31752689/the-latest-more-than-1m-houston-area-students-off-in-storms
34,http://www.theday.com/nationworld/20160418/houston-area-submerged-after-16-inches-of-rain-in-24-hours
35,http://www.mysanantonio.com/news/texas/article/The-Latest-Houston-TV-reporter-helps-rescue-7254848.php
36,https://www.bostonglobe.com/news/nation/2016/04/18/texas-storm-causes-flooding-and-blackouts-for-thousands/2SoF74AIt06AMlYdL6mSAP/story.html
37,http://www.reporternews.com/news/376061101.xhtml
38,http://www.gillettenewsrecord.com/ap/national/article_0037f733-7bb2-55ad-b32e-61f86cb8689d.html
39,http://www.wptv.com/news/national/houston-area-submerged-after-16-inches-of-rain-in-24-hours
40,http://www.fox23.com/news/national/the-latest-more-than-1m-houstonarea-students-off-in-storms/224489739
41,http://www.kltv.com/story/31752687/the-latest-mayor-says-possible-fatality-in-houston-flooding
42,http://www.cnn.com/2016/04/18/us/houston-texas-flooding/
43,https://www.rt.com/usa/340110-texas-houston-flash-floods/
44,http://www.localnews8.com/news/houston-largely-shut-down-amid-rain-flooding/39082632
45,http://keranews.org/post/houston-hit-hard-16-inches-rain-widespread-flooding-schools-closed
46,http://siouxcityjournal.com/news/national/the-latest-rescuers-try-to-save-horses-in-texas-flooding/article_6a975944-17af-5edd-9ef3-56282a77fed4.html
47,http://www.bostonherald.com/news/national/2016/04/the_latest_mayor_says_possible_fatality_in_houston_flooding
48,http://www.mrt.com/news/top_stories/article_422ab29c-058e-11e6-a2b6-43386386d1a9.html
49,http://www.beaumontenterprise.com/news/texas/article/The-Latest-Houston-TV-reporter-helps-rescue-7254848.php
50,http://www.greenfieldreporter.com/view/story/8e7a4bdcab1b48e7836cb64e782c3596/US--Severe-Weather-Texas
51,http://www.wdtimes.com/news/national/article_3f2b897d-42c5-54aa-8286-27eccab5ea9e.html
52,http://www.fox13memphis.com/news/houston-area-submerged-after-16-inches-of-rain-in-24-hours/224429853
53,http://kdhnews.com/news/ap/houston-area-submerged-after-inches-of-rain-in-hours/article_38b8306d-45b5-5d44-88a2-832f56f8a127.html
54,http://www.stltoday.com/news/state-and-regional/houston-area-submerged-after-inches-of-rain-in-hours/article_a3bf2b64-bd02-59c7-9831-0b62fc5c94d7.html
55,http://www.palltimes.com/article_011ba250-cd28-53c0-bfce-fc97dd12b150.html
56,http://www.princegeorgecitizen.com/news/world/the-latest-thousands-of-customers-lose-power-in-texas-storm-1.2233427
57,http://news-sentinel.com/news/us-and-world/The-Latest--Rescuers-try-to-save-horses-in-Texas-flooding
58,http://www.WLOX.com/story/31752689/the-latest-2nd-possible-fatality-in-houston-flooding
59,http://www.tribtown.com/view/story/b20cf033dd61423c99b11e6d67aec535/US--Severe-Weather-Texas-The-Latest
60,http://www.theblaze.com/the-wire/39566691/the-latest-2nd-possible-fatality-in-houston-flooding/
61,http://accesswdun.com/article/2016/4/389411
62,http://www.the-dispatch.com/article/20160418/APA/304189807
63,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_TEXAS_THE_LATEST?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-04-18-15-54-45
64,http://www.wboc.com/story/31752687/the-latest-2nd-possible-fatality-in-houston-flooding
65,http://hosted.ap.org/dynamic/stories/U/US_SEVERE_WEATHER_TEXAS_THE_LATEST
66,http://counton2.com/ap/the-latest-more-than-1m-houston-area-students-off-in-storms/
67,https://www.washingtonpost.com/national/houston-area-submerged-after-16-inches-of-rain-in-24-hours/2016/04/18/30dbc44a-0566-11e6-bfed-ef65dff5970d_story.html
68,http://www.daytondailynews.com/ap/ap/us/storms-bring-heavy-rain-flooding-threat-to-texas/nq637/
69,https://www.washingtonpost.com/national/the-latest-houston-tv-reporter-helps-rescue-driver-in-flood/2016/04/18/f4a6456c-056b-11e6-bfed-ef65dff5970d_story.html
70,http://www.daytondailynews.com/ap/ap/us/the-latest-houston-tv-reporter-helps-rescue-driver/nq683/
71,http://www.news1130.com/2016/04/18/the-latest-houston-tv-reporter-helps-rescue-driver-in-flood/
72,http://www.kvue.com/news/local/live-weather-blog-flash-flood-warning-extended/140935068
73,http://www.ktuu.com/news/nation/houston-largely-shut-down-amid-rain-flooding/39082632
74,http://www.ctpost.com/news/texas/article/The-Latest-Houston-TV-reporter-helps-rescue-7254848.php
75,http://www.kten.com/story/31750719/the-latest-houston-tv-reporter-helps-rescue-driver-in-flood
76,http://www.tylerpaper.com/TP-News+State/234483/several-horses-saved-but-2nd-possible-fatality-in-houston-flooding
77,http://www.katc.com/story/31752687/the-latest-tax-deadline-extended-in-some-rain-hit-areas
78,http://article.wn.com/view/2016/04/18/Flooding_Cripples_Houston_Area/
79,http://www.koreatimesus.com/houston-area-submerged-after-16-inches-of-rain-in-24-hours/
80,http://www.seattletimes.com/nation-world/houston-area-submerged-after-16-inches-of-rain-in-24-hours/
81,http://www.yourhoustonnews.com/courier/news/storms-cause-flooding-traffic-delays-across-montgomery-county/article_cf4d1307-4cf6-566d-a6b3-e778f4c23d94.html
82,http://www.sunherald.com/news/business/article72414052.html
83,http://www.live5news.com/story/31752689/the-latest-fatality-count-reaches-4-in-houston-flooding
84,http://www.kristv.com/story/31752687/the-latest-fatality-count-reaches-4-in-houston-flooding
85,http://www.krmg.com/ap/ap/us/the-latest-houston-tv-reporter-helps-rescue-driver/nq683/
