,0
0,http://www.cnbc.com/2016/10/11/fed-minutes-will-be-key-as-fears-of-republican-congressional-losses-unnerve-markets.html
1,http://www.foxnews.com/us/2016/10/12/closed-us-restaurants-damaged-homes-matthew-may-cost-10b.html
2,http://www.mysanantonio.com/news/us/article/Closed-US-restaurants-damaged-homes-Matthew-may-9965810.php
3,http://www.bdtonline.com/news/closed-us-restaurants-damaged-homes-matthew-may-cost-b/article_cee2f3e6-98aa-5377-80b2-527b9a0fec0b.html
4,http://www.ajc.com/news/national/closed-restaurants-damaged-homes-matthew-may-cost-10b/gTMFJcURQzg111tSy6W9jK/
5,http://www.seattletimes.com/business/closed-us-restaurants-damaged-homes-matthew-may-cost-10b/
6,http://www.wmbfnews.com/story/33370480/closed-us-restaurants-damaged-homes-matthew-may-cost-10b
7,http://wbt.com/closed-us-restaurants-damaged-homes-matthew-may-cost-10b/
8,http://infotel.ca/newsitem/us-hurricane-matthew-economic-impact/cp92639556
9,http://hosted.ap.org/dynamic/stories/U/US_HURRICANE_MATTHEW_ECONOMIC_IMPACT?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-10-12-03-33-45
10,http://abcnews.go.com/US/wireStory/closed-us-restaurants-damaged-homes-matthew-cost-10b-42743512
11,http://www.reporternews.com/news/396757091.xhtml
12,http://www.newdelhitimes.com/job-hunt-substantial-part-of-bayhs-last-year123/
13,http://accesswdun.com/article/2016/10/456917
14,http://www.durangoherald.com/article/20161012/AP/310129953/Closed-US-restaurants-damaged-homes:-Matthew-may-cost-$10B
15,http://www.dailyadvance.com/National-News/2016/10/12/Closed-US-restaurants-damaged-homes-Matthew-may-cost-10B.html
16,http://www.kiro7.com/news/national/closed-us-restaurants-damaged-homes-matthew-may-cost-10b/456298236
17,http://www.krmg.com/ap/ap/top-news/closed-us-restaurants-damaged-homes-matthew-may-co/nspm2/
18,http://am970theanswer.com/news/articles/closed-us-restaurants-damaged-homes-matthew-may-cost-10b
19,http://www.newsbug.info/news/nation/closed-us-restaurants-damaged-homes-matthew-may-cost-b/article_6a9abf0e-2662-5260-8d54-fda4e4de68a8.html
20,http://www.dailymail.co.uk/wires/ap/article-3833914/Closed-US-restaurants-damaged-homes-Matthew-cost-10B.html
21,http://www.timescolonist.com/closed-us-restaurants-damaged-homes-matthew-may-cost-10b-1.2363124
22,http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2016/10/12/Closed_US_restaurants_damaged_homes_Matthew_may_cost_10B.html
23,https://www.yahoo.com/news/closed-us-restaurants-damaged-homes-072831476.html
