,COMPANY,date,SDG_13
317274,southwest airlines co,2017-02-09,-1.7460098848540033
317833,southwest airlines co,2017-02-10,-2.527312248955598
318226,southwest airlines co,2017-02-11,-0.008578795738496403
318644,southwest airlines co,2017-02-12,-2.0969486133574953
319060,southwest airlines co,2017-02-13,1.7640652524566869
319619,southwest airlines co,2017-02-14,-2.22645064177218
320134,southwest airlines co,2017-02-15,-0.5006221711737867
320708,southwest airlines co,2017-02-16,0.7035864690798629
321154,southwest airlines co,2017-02-17,-2.8439100100453163
321686,southwest airlines co,2017-02-18,-3.8245122212103877
322140,southwest airlines co,2017-02-19,-1.767192420804779
322486,southwest airlines co,2017-02-20,-1.6307915928273917
322957,southwest airlines co,2017-02-21,-5.19182533703305
323435,southwest airlines co,2017-02-22,-4.002748075402543
323975,southwest airlines co,2017-02-23,-1.785822810529482
324569,southwest airlines co,2017-02-24,-2.8050282474401755
325002,southwest airlines co,2017-02-25,-2.6696049033329867
325397,southwest airlines co,2017-02-26,-1.1484396551721179
325859,southwest airlines co,2017-02-27,-2.091329789490084
326366,southwest airlines co,2017-02-28,-0.8870370874488092
326814,southwest airlines co,2017-03-01,-6.521802655007671
327310,southwest airlines co,2017-03-02,-2.4815669231631956
327884,southwest airlines co,2017-03-03,-0.1387878654098209
328313,southwest airlines co,2017-03-04,-0.014622089944716976
328772,southwest airlines co,2017-03-05,0.38450726866696255
329129,southwest airlines co,2017-03-06,-2.075238520231577
329631,southwest airlines co,2017-03-07,-2.986247470876072
330106,southwest airlines co,2017-03-08,-0.8028508230228052
330654,southwest airlines co,2017-03-09,0.15768799274728032
331155,southwest airlines co,2017-03-10,-2.858749841930176
331609,southwest airlines co,2017-03-11,-0.07394052798613333
332039,southwest airlines co,2017-03-12,-1.1583118406405244
332416,southwest airlines co,2017-03-13,-4.688253133583017
