,0
0,https://au.news.yahoo.com/world/a/30572636/blasts-heard-in-indonesian-capital-casualties-seen-afp/
1,http://www.wort.lu/en/international/indonesia-at-least-four-dead-in-jakarta-explosions-shooting-56973a370da165c55dc512bf
2,http://www.talkvietnam.com/2016/01/indonesian-president-calls-jakarta-blasts-acts-of-terror/
3,http://www.dawn.com/news/1232909/7-dead-as-series-of-blasts-rock-indonesian-capital
4,http://bhcourier.com/at-least-four-dead-in-blasts-and-suicide-bombings-in-jakarta/
5,http://www.thedestinlog.com/article/20160109/NEWS/160109432/16713
6,http://news.yahoo.com/top-asian-news-5-13-m-gmt-051353213.html
7,http://www.thestar.com.my/news/nation/2016/01/14/jakarta-blasts-terrorist-repeatedly-shoot-bystanders/
8,http://www.emirates247.com/news/four-dead-in-indonesia-gun-blast-attacks-2016-01-14-1.617254
9,http://www.thestar.com.my/news/nation/2016/01/14/jakarta-blasts-acts-of-terror-says-jokowi/
10,http://www.bworldonline.com/content.php?section=World&title=At-least-four-dead-in-Jakarta-blasts-police&id=121459
11,http://www.thefrontierpost.com/article/368448//
12,http://timesofindia.indiatimes.com/world/rest-of-world/Series-of-blasts-hit-Indonesian-capital-Jakarta-7-dead/articleshow/50574361.cms
13,http://www.dailypioneer.com/top-stories/at-least-four-dead-in-jakarta-explosions-shooting.html
14,http://newstodaynet.com/world/cop-3-civilians-dead-jakarta-explosions
15,http://www.bdlive.co.za/world/asia/2016/01/14/jakarta-rocked-by-explosions-and-gunfire
16,http://www.business-standard.com/article/pti-stories/at-least-four-dead-in-jakarta-explosions-shooting-116011400253_1.html
17,http://www.theglobeandmail.com/news/british-columbia/pot-entrepreneur-joins-rush-to-open-shop-in-hot-toronto-market/article28178581/
18,http://www.concordy.com/opinions/2016/01/increase-in-tourism-threatens-to-change-cuba/
19,http://www.japantimes.co.jp/news/2016/01/14/asia-pacific/least-four-dead-jakarta-explosions-shootings/
20,http://aaj.tv/2016/01/at-least-four-dead-in-jakarta-explosions-shooting/
21,http://vietnamnews.vn/miscellany/281182/indonesian-president-calls-jakarta-blasts-acts-of-terror.html
22,http://www.eurasiareview.com/14012016-how-kenya-confirmed-the-deathbed-of-wto-analysis/
23,http://www.hindustantimes.com/world/jakarta-blasts-live-several-explosions-in-indonesia-capital-after-islamic-state-threat/story-RTYchty0eZezMqitxAF8JO.html
24,http://www.dailymail.co.uk/wires/afp/article-3398693/At-three-dead-Jakarta-bombs-shooting.html
25,http://www.abc.net.au/news/2016-01-14/jakarta-blasts-gunfire-kill-at-least-six-near-un-offices/7089218
26,http://www.coastaldigest.com/index.php/top-stories/82977-blasts-gunfight-in-indonesian-capital-at-least-three-dead
27,http://www.mysinchew.com/node/112693
28,http://www.theborneopost.com/2016/01/14/at-least-three-dead-in-indonesia-blasts/
29,http://www.thefrontierpost.com/article/368460//
30,http://www.theaustralian.com.au/news/world/jakarta-bombing-blasts-in-indonesian-capital/news-story/17c946907fe296fe4628cd11d033ffd6?nk=2c7c0102ad1fe8ee1056b0f45915af5c-1452763112
31,http://www.todayonline.com/world/asia/eyewitness-saw-terrorist-shooting-bystanders
32,http://www.channelnewsasia.com/news/asiapacific/seven-dead-as-suicide/2425634.html
33,http://www.emirates247.com/news/4-attackers-dead-in-jakarta-no-more-suspects-on-the-loose-says-police-2016-01-14-1.617254
34,https://sg.news.yahoo.com/u-n-warns-peacekeepers-ill-equipped-burundi-violence-200013278.html
35,http://www.freemalaysiatoday.com/category/world/2016/01/14/five-militants-including-one-foreigner-dead-during-jakarta-attack-police/
36,http://www.breitbart.com/london/2016/01/14/at-least-three-dead-in-jakarta-terrorist-explosions-shooting/
37,http://www.manilatimes.net/at-least-four-dead-in-jakarta-explosions-shooting/239345/
38,http://www.watermarkonline.com/tag/starbucks/
39,http://www.telegraph.co.uk/news/worldnews/asia/indonesia/12098936/Jakarta-bomb-attacks-Indonesia-terror-Isil-live.html
40,http://www.wunderground.com/blog/JeffMasters/comment.html?entrynum=3222
41,http://www.industryweek.com/supply-chain/top-25-supply-chains-2015
42,http://nna-leb.gov.lb/en/show-news/55147/At-Least-Four-Dead-in-Indonesia-Gun-Blast
43,http://www.thejournal.ie/jakarta-explosions-2547468-Jan2016/
44,http://www.mangalorean.com/blasts-gunfight-in-indonesian-capital-at-least-four-dead/
45,http://www.globalpost.com/article/6719585/2016/01/14/least-three-dead-jakarta-explosions-shooting
46,http://dunyanews.tv/en/World/317627-At-least-seven-dead-in-Indonesia-gun-blast-attack
47,http://www.kaumudi.com/innerpage1.php?newsid=73732
48,http://eprahaar.in/at-least-four-dead-in-jakarta-explosions-shooting/
