,COMPANY,date,SDG_14
548269,allstate corp,2018-06-16,2.805956098343963
548687,allstate corp,2018-06-17,0.1610305958132045
549208,allstate corp,2018-06-18,
549601,allstate corp,2018-06-19,0.343642611683848
550168,allstate corp,2018-06-20,0.510204081632653
550687,allstate corp,2018-06-21,0.5257419327073227
551052,allstate corp,2018-06-22,
551531,allstate corp,2018-06-23,-1.553392341962203
551929,allstate corp,2018-06-24,1.0120801423902168
552405,allstate corp,2018-06-25,-0.8546077323046334
552929,allstate corp,2018-06-26,-0.02949520618352497
553382,allstate corp,2018-06-27,-4.244882702362474
553824,allstate corp,2018-06-28,-1.40403896150345
554298,allstate corp,2018-06-29,1.2142474415187507
554874,allstate corp,2018-06-30,-1.44669630727472
555227,allstate corp,2018-07-01,0.10170389399386799
555556,allstate corp,2018-07-02,0.5665899179267077
556151,allstate corp,2018-07-03,2.73311897106109
556586,allstate corp,2018-07-04,0.538482296496448
557060,allstate corp,2018-07-05,-1.2014070514460533
557500,allstate corp,2018-07-06,-5.9717569547816645
558011,allstate corp,2018-07-07,-3.46086627530891
558435,allstate corp,2018-07-08,-1.95838433292534
558756,allstate corp,2018-07-09,1.629607393271435
559348,allstate corp,2018-07-10,-0.6860407844821305
559698,allstate corp,2018-07-11,-0.2832413158500115
560295,allstate corp,2018-07-12,-1.0830512560616379
560801,allstate corp,2018-07-13,-0.0287108814240602
561346,allstate corp,2018-07-14,
561687,allstate corp,2018-07-15,-3.083939835031535
562009,allstate corp,2018-07-16,1.0288741672697606
562433,allstate corp,2018-07-17,-2.9004019017759815
562956,allstate corp,2018-07-18,
563499,allstate corp,2018-07-19,1.0820451843044
563992,allstate corp,2018-07-20,-0.6796738279534038
564483,allstate corp,2018-07-21,
564870,allstate corp,2018-07-22,0.407747196738023
565354,allstate corp,2018-07-23,
565841,allstate corp,2018-07-24,0.840745482519682
566297,allstate corp,2018-07-25,1.11469384425667
566866,allstate corp,2018-07-26,2.1086303694999353
