,0
0,http://www.adelaidenow.com.au/news/breaking-news/harvey-smashes-texas-homes-and-businesses/news-story/9b0684efa84121e978b38efb92b9a030?nk=4bae7da1ad49fe8e361b701e9a50f8b5-1503815528
1,http://www.gmanetwork.com/news/news/world/623478/harvey-claims-second-fatality-threatens-catastrophic-floods/story/
2,https://www.cnbc.com/2017/08/26/reuters-america-update-2-harvey-barrels-into-texas-as-category-4-hurricane.html
3,http://www.arabnews.com/node/1151266/world
4,https://www.aol.com/article/weather/2017/08/26/storm-harvey-threatens-texas-with-catastrophic-floods-one-dea/23186717/
5,https://www.reuters.com/article/storm-harvey-coast-guard-idUSL2N1LC0ML
6,http://bdnews24.com/world/2017/08/27/at-least-one-dead-after-storm-harvey-catastrophic-flood-threat-in-texas
7,http://www.afr.com/news/politics/world/texas-storm-kills-one-brings-catastrophic-flooding-20170826-gy4z2y
8,http://www.hindustantimes.com/world-news/tropical-storm-harvey-threatens-texas-with-catastrophic-floods-one-dead/story-R4UQGN57M48XgB5gw6h9VN.html
9,https://www.cnbc.com/2017/08/26/reuters-america-harvey-barrels-into-texas-as-category-4-hurricane.html
10,http://www.sharenet.co.za/news/Storm_Harvey_threatens_Texas_with_catastrophic_floods_one_dead/60ba815aba3baf1b7e8511b72953962f
11,https://www.yahoo.com/news/storm-harvey-threatens-texas-catastrophic-floods-one-dead-031628735--finance.html
12,http://isp.netscape.com/news/story.jsp?idq=/ff/story/0002/20170826/KCN1B6066_16.htm
13,http://www.heraldsun.com.au/news/breaking-news/cruise-ships-stranded-by-hurricane-harvey/news-story/b3b23bf239976b80359ee787bab2e6cc?nk=1f01629deb2df64f5ffc7db8b3a05f71-1503793940
14,http://www.swissinfo.ch/eng/harvey-claims-second-fatality--threatens-catastrophic-floods/43468676
15,http://news.trust.org/item/20170827070516-hf4ry
16,http://www.nydailynews.com/newswires/news/national/harvey-claims-fatality-threatens-catastrophic-floods-article-1.3444364
17,http://www.msn.com/en-us/news/us/harvey-claims-second-fatality-threatens-catastrophic-floods/ar-AAqIE1b
18,http://www.interaksyon.com/storm-harvey-threatens-texas-with-catastrophic-floods-one-dead/
19,http://in-cyprus.com/harvey-claims-second-fatality-threatens-catastrophic-floods/
20,http://www.sbs.com.au/news/article/2017/08/27/hurricane-harvey-claims-second-fatality
21,http://www.swissinfo.ch/eng/storm-harvey-threatens-texas-with--catastrophic--floods--one-dead/43468676
22,http://wnmtradio.com/news/articles/2017/aug/27/harvey-claims-second-fatality-threatens-catastrophic-floods/
23,http://www.theaustralian.com.au/news/latest-news/harvey-smashes-texas-homes-and-businesses/news-story/9b0684efa84121e978b38efb92b9a030?nk=7ec7135d3fc97bd9cfb6f250b36d8b94-1503820011
24,https://www.geo.tv/latest/155453-storm-harvey-threatens-texas-with-catastrophic-floods-one-dead
25,http://www.tampabay.com/news/weather/hurricanes/hurricane-harvey-closes-key-oil-gas-operations-in-texas/2335281
26,http://indianexpress.com/article/world/storm-harvey-threatens-texas-with-catastrophic-floods-one-dead-4815495/
27,http://www.themalaymailonline.com/world/article/storm-harvey-threatens-texas-with-catastrophic-floods-one-dead
28,https://www.aol.com/article/news/2017/08/26/u-s-coast-guard-monitoring-stranded-cruise-ships/23186687/
29,http://www.livemint.com/Politics/ar6DWNPRRWPR6ymhcxt2jO/Hurricane-Harvey-threatens-Texas-with-catastrophic-floods.html
30,http://www.channelnewsasia.com/news/world/storm-harvey-threatens-texas-with--catastrophic--floods--one-dead-9159762
