,COMPANY,date,SDG_14
396689,carnival corp,2017-08-07,3.21565346718721
397202,carnival corp,2017-08-08,2.103999494534655
397542,carnival corp,2017-08-09,0.2627571012390834
398206,carnival corp,2017-08-10,
398484,carnival corp,2017-08-11,4.896121995387066
399041,carnival corp,2017-08-12,
399921,carnival corp,2017-08-14,4.01284109149278
400382,carnival corp,2017-08-15,3.759294206986647
400823,carnival corp,2017-08-16,2.851644617439988
401305,carnival corp,2017-08-17,3.8441309665080223
401736,carnival corp,2017-08-18,0.3260156745541125
402316,carnival corp,2017-08-19,
403113,carnival corp,2017-08-21,2.41681018271077
403782,carnival corp,2017-08-22,5.193976578209667
404274,carnival corp,2017-08-23,1.3158639882854553
404651,carnival corp,2017-08-24,3.18981282639043
405196,carnival corp,2017-08-25,0.7452800365107736
405430,carnival corp,2017-08-26,-5.208341216992317
405881,carnival corp,2017-08-27,-6.474144815860156
406593,carnival corp,2017-08-28,-1.0864945797301924
406832,carnival corp,2017-08-29,1.63817663817664
407522,carnival corp,2017-08-30,-4.082113503642715
407857,carnival corp,2017-08-31,-1.5028637917706513
408554,carnival corp,2017-09-01,1.6810926371579211
408949,carnival corp,2017-09-02,
409274,carnival corp,2017-09-03,0.08293188666173983
409834,carnival corp,2017-09-04,2.28954569459585
410050,carnival corp,2017-09-05,1.8119475749908938
410677,carnival corp,2017-09-06,1.189985835663194
411140,carnival corp,2017-09-07,1.867085351904096
411563,carnival corp,2017-09-08,1.4591902111127197
412324,carnival corp,2017-09-09,1.3830085768369262
412635,carnival corp,2017-09-10,-1.08149221181097
413088,carnival corp,2017-09-11,1.292329214776979
413530,carnival corp,2017-09-12,0.25629638604765326
414062,carnival corp,2017-09-13,1.2426448620107022
414763,carnival corp,2017-09-14,-0.40835997640722155
415125,carnival corp,2017-09-15,0.7662025134280974
415557,carnival corp,2017-09-16,-0.36081891188779514
