,COMPANY,date,SDG_14
396003,mcdonald's corp,2017-08-06,-1.8302163666273055
396424,mcdonald's corp,2017-08-07,-0.8806504388348884
396894,mcdonald's corp,2017-08-08,0.5598539280024859
397365,mcdonald's corp,2017-08-09,-3.0201966671702083
397905,mcdonald's corp,2017-08-10,-1.2995503851824792
398382,mcdonald's corp,2017-08-11,-0.4126931551351163
398885,mcdonald's corp,2017-08-12,0.12552572209690185
399313,mcdonald's corp,2017-08-13,-1.0588292284122296
399692,mcdonald's corp,2017-08-14,-0.8940409216214582
400183,mcdonald's corp,2017-08-15,-0.5362467146724822
400685,mcdonald's corp,2017-08-16,-1.661107982901398
401190,mcdonald's corp,2017-08-17,-1.0258978078451881
401701,mcdonald's corp,2017-08-18,-1.0976756080427492
402194,mcdonald's corp,2017-08-19,-1.4477253835959911
402616,mcdonald's corp,2017-08-20,-2.7791927753622696
402991,mcdonald's corp,2017-08-21,-2.488544144142207
403450,mcdonald's corp,2017-08-22,-1.466959661849861
403948,mcdonald's corp,2017-08-23,-0.029989389958396905
404452,mcdonald's corp,2017-08-24,-0.05264543357023906
404936,mcdonald's corp,2017-08-25,-1.1700686327296779
405460,mcdonald's corp,2017-08-26,-6.46831775849529
405873,mcdonald's corp,2017-08-27,-6.008226434501228
406300,mcdonald's corp,2017-08-28,-0.234378322764218
406855,mcdonald's corp,2017-08-29,-0.8673441922095585
407288,mcdonald's corp,2017-08-30,-0.42516335808311123
407793,mcdonald's corp,2017-08-31,-0.4207983400175308
408253,mcdonald's corp,2017-09-01,-0.661419444010787
408748,mcdonald's corp,2017-09-02,-0.012349211408854662
409194,mcdonald's corp,2017-09-03,-1.6744525184590293
409575,mcdonald's corp,2017-09-04,-0.14389471360016673
410052,mcdonald's corp,2017-09-05,-0.7880298243139116
410574,mcdonald's corp,2017-09-06,-1.0191220189872372
411043,mcdonald's corp,2017-09-07,-0.9003518736905345
411598,mcdonald's corp,2017-09-08,0.14461630368501233
412059,mcdonald's corp,2017-09-09,-2.0941281104253457
412494,mcdonald's corp,2017-09-10,-3.108075853714848
412954,mcdonald's corp,2017-09-11,0.02166731888714573
413430,mcdonald's corp,2017-09-12,-0.786344886507658
413964,mcdonald's corp,2017-09-13,-1.1894398994729167
414485,mcdonald's corp,2017-09-14,-1.789317389664976
414948,mcdonald's corp,2017-09-15,-0.051917384817467105
