,COMPANY,date,SDG_14
154807,norfolk southern corp,2016-02-11,-0.352878417345297
155468,norfolk southern corp,2016-02-12,-4.51467268623025
156061,norfolk southern corp,2016-02-13,
156344,norfolk southern corp,2016-02-14,-2.38805970149254
156752,norfolk southern corp,2016-02-15,-0.7716169814265645
157231,norfolk southern corp,2016-02-16,
157543,norfolk southern corp,2016-02-17,-0.34661780277622767
158112,norfolk southern corp,2016-02-18,-0.1388661222236823
158634,norfolk southern corp,2016-02-19,-2.373060497062735
159087,norfolk southern corp,2016-02-20,0.27484886617744075
159397,norfolk southern corp,2016-02-21,-0.8106403116834001
159792,norfolk southern corp,2016-02-22,0.519122799120381
160364,norfolk southern corp,2016-02-23,-1.98675496688742
160652,norfolk southern corp,2016-02-24,-1.6339483831555703
161362,norfolk southern corp,2016-02-25,-2.28385070738596
161762,norfolk southern corp,2016-02-26,-0.9318109351177947
162084,norfolk southern corp,2016-02-27,-0.286532951289398
162587,norfolk southern corp,2016-02-28,-1.08178277801817
163111,norfolk southern corp,2016-02-29,
163537,norfolk southern corp,2016-03-01,-0.8234013164702767
163848,norfolk southern corp,2016-03-02,-6.699701357562235
164413,norfolk southern corp,2016-03-03,-5.495761116287726
164907,norfolk southern corp,2016-03-04,-4.552716571911446
165423,norfolk southern corp,2016-03-05,-0.757575757575758
165719,norfolk southern corp,2016-03-06,-3.4926830343322997
166050,norfolk southern corp,2016-03-07,-0.7745384141418726
166520,norfolk southern corp,2016-03-08,
167144,norfolk southern corp,2016-03-09,-2.728089703142491
167401,norfolk southern corp,2016-03-10,1.3806664628117833
167940,norfolk southern corp,2016-03-11,
168485,norfolk southern corp,2016-03-12,-0.860655737704918
168872,norfolk southern corp,2016-03-13,
169324,norfolk southern corp,2016-03-14,-0.169491525423729
169738,norfolk southern corp,2016-03-15,-0.40349244120940597
170223,norfolk southern corp,2016-03-16,-0.07765462851840998
170692,norfolk southern corp,2016-03-17,2.98913043478261
171068,norfolk southern corp,2016-03-18,1.2013566434597756
171643,norfolk southern corp,2016-03-19,
171844,norfolk southern corp,2016-03-20,
172399,norfolk southern corp,2016-03-21,
172836,norfolk southern corp,2016-03-22,0.478468899521531
