,COMPANY,date,SDG_14
397374,wells fargo & co,2017-08-09,-2.0506895721587193
397894,wells fargo & co,2017-08-10,-0.18824078363259925
398405,wells fargo & co,2017-08-11,-1.0815091513818973
398930,wells fargo & co,2017-08-12,-0.6901308496628775
399368,wells fargo & co,2017-08-13,-0.28508622202746947
399684,wells fargo & co,2017-08-14,-0.5971845495086666
400210,wells fargo & co,2017-08-15,-0.5406774665625169
400688,wells fargo & co,2017-08-16,-1.1673241509260015
401243,wells fargo & co,2017-08-17,1.1266029166503555
401723,wells fargo & co,2017-08-18,-1.015705625934615
402203,wells fargo & co,2017-08-19,-2.5182346475344897
402591,wells fargo & co,2017-08-20,-1.5577557755775553
403066,wells fargo & co,2017-08-21,0.5596290561477557
403458,wells fargo & co,2017-08-22,-1.418439411806514
403984,wells fargo & co,2017-08-23,-1.3372038875767032
404487,wells fargo & co,2017-08-24,-0.01777173527648997
404999,wells fargo & co,2017-08-25,-1.186093669381657
405448,wells fargo & co,2017-08-26,1.0238462417515082
405898,wells fargo & co,2017-08-27,0.42545832188116833
406346,wells fargo & co,2017-08-28,-0.9036630484843315
406815,wells fargo & co,2017-08-29,-6.754728509878724
407281,wells fargo & co,2017-08-30,-4.410729660544847
407820,wells fargo & co,2017-08-31,-1.4308669829278817
408259,wells fargo & co,2017-09-01,-0.993963184209501
408784,wells fargo & co,2017-09-02,-1.3841980778448384
409228,wells fargo & co,2017-09-03,-1.64994330623271
409571,wells fargo & co,2017-09-04,-0.683264981330723
410077,wells fargo & co,2017-09-05,0.22787574409128933
410521,wells fargo & co,2017-09-06,-1.1968783410152062
411040,wells fargo & co,2017-09-07,-1.341632703413542
411590,wells fargo & co,2017-09-08,-0.7143121629003508
412086,wells fargo & co,2017-09-09,-2.002726175325364
412516,wells fargo & co,2017-09-10,-0.030312369667941663
412924,wells fargo & co,2017-09-11,-0.3279127848238552
413466,wells fargo & co,2017-09-12,-1.5311155029170702
413948,wells fargo & co,2017-09-13,-0.6748054163369517
414471,wells fargo & co,2017-09-14,-4.001827858368912
414986,wells fargo & co,2017-09-15,-2.8768422134539433
415449,wells fargo & co,2017-09-16,-0.12443518126178482
415875,wells fargo & co,2017-09-17,0.9937230560238351
416325,wells fargo & co,2017-09-18,-0.05716183463119071
