,0
0,https://indianexpress.com/article/world/bomb-cyclone-us-colorado-texas-5625488/
1,https://www.timesunion.com/news/us/article/Tornado-destroy-10-homes-in-New-Mexico-5-people-13685339.php
2,https://www.aberdeennews.com/wire/ap-state-ne/epic-storm-brings-blizzards-floods-tornado-to-mid-us/article_f0203cd2-1ce0-54e4-97ca-7a9f1051d8a9.html
3,https://www.newsandtribune.com/cnhi_network/epic-storm-brings-blizzards-floods-tornado-to-mid-us/article_869d4530-45f4-11e9-a57f-7343b0f1fcd9.html
4,https://www.cbs17.com/weather/western-storm-grounds-flights-closes-parts-of-interstates/1846017150
5,https://www.stripes.com/news/us/epic-storm-brings-blizzards-floods-tornado-to-mid-us-1.572503
6,https://missoulian.com/news/state-and-regional/epic-storm-brings-blizzards-floods-tornado-to-mid-us/article_da338834-b937-52c2-a0d4-43c593d7e07e.html
7,https://gazette.com/ap/epic-storm-brings-blizzards-floods-tornado-to-mid-us/article_cac6e422-cfd7-5930-b86e-6c13aa23571e.html
8,https://www.murrayledger.com/news/national-world/epic-storm-brings-blizzards-floods-tornado-to-mid-us/article_3fb95fe2-45f8-11e9-993e-8fa3e0c8a591.html
9,https://www.kob.com/us-news/colorados-bomb-cyclone-storm-barrels-toward-midwest/5278496/
10,http://www.tribtown.com/2019/03/13/us-winter-weather-7/
11,https://www.valleymorningstar.com/news/us_news/colorado-s-bomb-cyclone-storm-barrels-toward-midwest/article_a2ffa5d8-936a-5eea-a43c-42ea4666c8d0.html
12,https://www.news957.com/world/2019/03/14/colorados-bomb-cyclone-storm-barrels-toward-midwest/
13,https://www.myjournalcourier.com/news/us/article/Colorado-s-bomb-cyclone-storm-barrels-toward-13687330.php
14,https://kstp.com/national/colorados-bomb-cyclone-storm-barrels-toward-midwest/5278495/?cat=162
15,https://www.njherald.com/article/20190314/AP/303149954
16,https://www.greensboro.com/ap/us_world/colorado-s-bomb-cyclone-storm-barrels-toward-midwest/article_4ff8f6b1-fb13-575e-9a89-12fa8e571b45.html
17,https://www.dailyherald.com/article/20190314/news/303149987/
18,https://www.wrcbtv.com/story/40120975/epic-storm-brings-blizzards-floods-tornado-to-mid-us
19,https://abc7amarillo.com/news/local/residents-shocked-by-70-mph-winds-damage-crashes
20,https://www.omaha.com/news/nation/epic-storm-brings-blizzards-floods-tornado-to-midwest/article_35626ec6-85b2-5f55-bb45-6cebf67e3ea0.html
21,https://www.indiatvnews.com/news/world-epic-storm-brings-blizzards-floods-tornado-to-mid-us-508989
22,https://www.wjhl.com/news/epic-storm-brings-blizzard-rain-tornado-threat-to-midus/1846240432
23,https://www.wane.com/news/national-world/-epic-storm-brings-blizzards-floods-tornado-to-mid-us/1847076189
24,https://www.wdtn.com/news/u-s-world/-epic-storm-brings-blizzards-floods-tornado-to-mid-us/1847069689
25,http://www.rockymounttelegram.com/National-News/2019/03/13/Epic-storm-brings-blizzards-floods-tornado-to-mid-US.html
26,https://www.wiscnews.com/news/national/epic-storm-brings-blizzards-floods-tornado-to-mid-us/article_f5af3a0d-fd48-51ee-ae0e-b4530db7c266.html
27,https://www.seia.org/research-resources/solar-market-insight-report-2018-year-review
28,https://www.rep-am.com/news/national/2019/03/13/epic-storm-brings-blizzards-floods-tornado-to-mid-us/
29,https://durangoherald.com/articles/267647-epic-storm-brings-blizzards-floods-tornado-to-midus
30,https://o.canada.com/pmn/news-pmn/colorados-bomb-cyclone-storm-barrels-toward-midwest/wcm/cc5bb3e4-e09f-48a2-bda9-6f7b28053f54
31,https://www.kaaltv.com/national/colorados-bomb-cyclone-storm-barrels-toward-midwest/5278505/?cat=10159
32,https://www.klkntv.com/story/40123763/colorados-bomb-cyclone-storm-barrels-toward-midwest
33,https://www.wsbtv.com/news/national-news/ap-top-news/colorados-bomb-cyclone-storm-barrels-toward-midwest/930354042
34,https://infotel.ca/newsitem/us-winter-weather/cp2110916747
35,https://www.ksl.com/article/46510705/colorados-bomb-cyclone-storm-barrels-toward-midwest
