,COMPANY,date,SDG_14
666813,xcel energy inc,2019-02-22,
667307,xcel energy inc,2019-02-23,-1.37931034482759
667761,xcel energy inc,2019-02-24,
668308,xcel energy inc,2019-02-25,0.15422497337312396
668722,xcel energy inc,2019-02-26,2.31335436382755
669382,xcel energy inc,2019-02-27,0.24458342640161002
669688,xcel energy inc,2019-02-28,-1.0101195520380228
670174,xcel energy inc,2019-03-01,-0.180505415162454
670766,xcel energy inc,2019-03-02,-1.6669661662233726
671305,xcel energy inc,2019-03-03,
671732,xcel energy inc,2019-03-04,1.3589251835253702
672162,xcel energy inc,2019-03-05,2.5226470954242486
672734,xcel energy inc,2019-03-06,0.4769896456784374
673238,xcel energy inc,2019-03-07,
673631,xcel energy inc,2019-03-08,
674284,xcel energy inc,2019-03-09,
674550,xcel energy inc,2019-03-10,
675077,xcel energy inc,2019-03-11,-1.1968085106383
675649,xcel energy inc,2019-03-12,0.763682647433177
675984,xcel energy inc,2019-03-13,-5.726208886315939
676395,xcel energy inc,2019-03-14,-6.171603700849483
676909,xcel energy inc,2019-03-15,-5.454208619011728
677450,xcel energy inc,2019-03-16,-4.935454852910514
677831,xcel energy inc,2019-03-17,
678424,xcel energy inc,2019-03-18,
678874,xcel energy inc,2019-03-19,0.27745934553417256
679356,xcel energy inc,2019-03-20,-1.421989975995405
679916,xcel energy inc,2019-03-21,-5.3968253968254
680482,xcel energy inc,2019-03-22,-5.783304933118824
680791,xcel energy inc,2019-03-23,-1.4566963473112027
681171,xcel energy inc,2019-03-24,-0.4819498233003075
681726,xcel energy inc,2019-03-25,-0.3666301703916915
682016,xcel energy inc,2019-03-26,-0.20667521851516696
682474,xcel energy inc,2019-03-27,2.06463195691203
683124,xcel energy inc,2019-03-28,0.30926666763997956
683547,xcel energy inc,2019-03-29,0.3620970488807809
684010,xcel energy inc,2019-03-30,0.43513106622129644
684540,xcel energy inc,2019-03-31,-0.924268258027849
684928,xcel energy inc,2019-04-01,0.08250511901504126
685267,xcel energy inc,2019-04-02,-0.4523914600750116
685810,xcel energy inc,2019-04-03,1.1450741499786699
