,COMPANY,date,SDG_15
249202,delta air lines inc,2016-09-17,-0.882319742139389
249650,delta air lines inc,2016-09-18,-3.64583333333333
249982,delta air lines inc,2016-09-19,-3.74527887571366
250520,delta air lines inc,2016-09-20,-0.98684210526316
250944,delta air lines inc,2016-09-21,-1.3546788123632605
251402,delta air lines inc,2016-09-22,2.565389688167695
251897,delta air lines inc,2016-09-23,-0.48854111185239996
252397,delta air lines inc,2016-09-24,
252762,delta air lines inc,2016-09-25,
253225,delta air lines inc,2016-09-26,-1.3064375849298988
253633,delta air lines inc,2016-09-27,-1.5751481880151867
254189,delta air lines inc,2016-09-28,2.2916985170463238
254823,delta air lines inc,2016-09-29,-0.18842732193796458
255198,delta air lines inc,2016-09-30,1.2713004734491653
255706,delta air lines inc,2016-10-01,-4.033226240344556
256076,delta air lines inc,2016-10-02,-6.618658850629285
256435,delta air lines inc,2016-10-03,-6.345939312103525
256949,delta air lines inc,2016-10-04,-3.735337799408905
257357,delta air lines inc,2016-10-05,-4.177416992294258
257911,delta air lines inc,2016-10-06,-5.0889250149145635
258351,delta air lines inc,2016-10-07,-5.34225648076236
258900,delta air lines inc,2016-10-08,-3.7550729703432975
259311,delta air lines inc,2016-10-09,-2.70282542329228
259784,delta air lines inc,2016-10-10,-0.177552654988576
260241,delta air lines inc,2016-10-11,-1.8212722885018848
260662,delta air lines inc,2016-10-12,-1.9888930208303635
261181,delta air lines inc,2016-10-13,-3.006990637163294
261665,delta air lines inc,2016-10-14,-2.354131745899828
262124,delta air lines inc,2016-10-15,-3.751936777562213
262574,delta air lines inc,2016-10-16,-3.2611224133587045
262924,delta air lines inc,2016-10-17,-3.400959992758523
263455,delta air lines inc,2016-10-18,-2.5941248764450675
263945,delta air lines inc,2016-10-19,-3.131360619469025
264537,delta air lines inc,2016-10-20,-2.9703526867728147
264904,delta air lines inc,2016-10-21,-1.3217618299909082
265435,delta air lines inc,2016-10-22,-0.2863271303152135
265899,delta air lines inc,2016-10-23,-0.399361022364217
266328,delta air lines inc,2016-10-24,-1.9238438162297884
266755,delta air lines inc,2016-10-25,-0.33003816805718383
267186,delta air lines inc,2016-10-26,-1.3034065737215161
267698,delta air lines inc,2016-10-27,1.1500485423876319
