,0
0,http://www.abs-cbnnews.com/business/09/21/15/doe-lifts-suspension-semirara-mining
1,http://www.greenfieldreporter.com/view/story/915237d5e0314f13807625f57fd9a2e6/US--California-Wildfires
2,http://wfla.com/ap/northern-california-wildfires-destroy-nearly-1600-homes/
3,http://www.abcfoxmontana.com/story/30075077/northern-california-wildfires-destroy-nearly-1600-homes
4,http://www.valleymorningstar.com/news/us_news/article_80b0d462-faa8-52a1-b752-4463b3a6fd96.html
5,http://www.usnews.com/news/us/articles/2015/09/21/northern-california-wildfires-destroy-nearly-1-600-homes
6,http://www.wokv.com/ap/ap/general/northern-california-wildfires-destroy-nearly-1600-/nnjsN/
7,http://www.idahopress.com/ap_news/us/northern-california-wildfires-destroy-nearly-homes/article_14915121-c579-5ab8-a1f4-573862bb6352.html
8,http://www.santacruzsentinel.com/general-news/20150920/wildfires-one-dead-in-tassajara-blaze
9,http://www.oleantimesherald.com/news/article_ddfafc42-6014-11e5-8676-a74d52141ba5.html
10,http://abcnews.go.com/US/wireStory/northern-california-wildfires-destroy-1600-homes-33912257
11,http://news.yahoo.com/northern-california-wildfires-destroy-nearly-1-600-homes-053225669.html
12,http://www.startribune.com/northern-california-wildfires-destroy-nearly-1-600-homes/328460191/
13,http://www.fox34.com/story/30075077/northern-california-wildfires-destroy-nearly-1600-homes
14,http://mtstandard.com/news/national/northern-california-wildfires-destroy-nearly-homes/article_22d28bfd-a9b2-587f-a599-a37ce59ee43a.html
15,http://www.washingtontimes.com/news/2015/sep/21/all-evacuations-lifted-for-2-northern-california-c/
16,http://missoulian.com/news/national/northern-california-wildfires-destroy-nearly-homes/article_6bb25e2c-7206-5cf6-b1a8-20539cd5dd25.html
17,http://www.washingtontimes.com/news/2015/sep/21/northern-california-wildfires-destroy-nearly-1600-/
18,http://www.ctvnews.ca/world/northern-california-wildfire-destruction-tops-nearly-1-600-homes-1.2572912
19,http://helenair.com/news/national/northern-california-wildfires-destroy-nearly-homes/article_417d3b65-9dbc-545b-9b03-956f5ffa6195.html
20,http://www.foxnews.com/us/2015/09/21/northern-california-wildfires-destroy-nearly-1600-homes-killed-5-people/
21,http://www.ctpost.com/news/science/article/New-wildfire-in-Northern-California-kills-1-person-6517458.php
22,http://dailyjournalonline.com/news/national/northern-california-wildfires-destroy-nearly-homes/article_b4da6ae4-d1ac-5de3-b5ae-67ec28ab7c22.html
23,http://billingsgazette.com/news/national/northern-california-wildfires-destroy-nearly-homes/article_6fadb397-1e77-52ce-8717-2fae438efdfd.html
24,http://wric.com/ap/northern-california-wildfires-destroy-nearly-1600-homes/
25,http://www.brownsvilleherald.com/news/us_world/article_e69ec95d-490e-541e-b343-ed0ec454a66e.html
26,http://www.10tv.com/content/stories/apexchange/2015/09/21/us-california-wildfires-the-latest.html
27,http://www.cadillacnews.com/ap_story/national_news/20150921_ap_63897b357aea4faba00804a569dbad32.html
28,http://www.businessinsider.com/ap-northern-california-wildfires-destroy-nearly-1600-homes-2015-9
29,http://www.ksro.com/news/article.aspx?id=10499464
30,http://www.cbc.ca/news/world/california-wildfires-sunday-1.3236422
31,http://mynorthwest.com/15/2814093/Northern-California-wildfires-destroy-nearly-1600-homes
32,http://www.4-traders.com/NICKEL-ASIA-CORP-7768159/news/Nickel-Asia--EPI-starts-development-of-Subic-RE-projects-21069597/
33,http://www.klkntv.com/story/30075077/northern-california-wildfires-destroy-nearly-1600-homes
34,http://nbc25news.com/news/nation-world/northern-california-wildfires-destroy-nearly-1600-homes
35,http://www.fox45now.com/template/inews_wire/wires.international/3655a894-www.fox45now.com.shtml
36,http://www.wdtimes.com/news/national/article_aac4358c-400d-5bff-a34e-fd34fb1b2715.html
37,http://www.fox45now.com/template/inews_wire/wires.international/2755a828-www.fox45now.com.shtml
38,http://www.morganton.com/news/us/ap/northern-california-wildfire-destroys-another-homes/article_81e6a136-005e-5666-b0af-47e46c47d9fa.html
39,http://ckom.com/article/218204/northern-california-wildfire-destroys-another-162-homes-brings-total-1050
40,http://www.660news.com/2015/09/20/northern-california-wildfire-destroys-another-162-homes-brings-total-up-to-1050/
41,http://www.chroniclejournal.com/news/world/northern-california-wildfire-destroys-another-homes-brings-total-up-to/article_82f4daaf-3a8f-50b4-b0c1-140aea535fa9.html
42,http://idahostatejournal.com/news/local/northern-california-wildfires-destroy-nearly-homes/article_a36952e4-6024-11e5-a737-af4aaac9695f.html
43,http://wtnh.com/2015/09/21/northern-california-wildfires-destroy-nearly-1600-homes/
44,http://www.oklahoman.com/northern-california-wildfire-destroys-another-162-homes/article/feed/892384
45,http://www.detroitnews.com/story/news/nation/2015/09/21/california-wildfires/72550984/
46,http://thegardenisland.com/news/national/northern-california-wildfire-destroys-another-homes/article_816d1bdb-4074-58af-8817-4d5f4d1ef1c5.html
47,http://www.sacbee.com/news/nation-world/article35941722.html
48,http://bismarcktribune.com/news/national/northern-california-wildfires-destroy-nearly-homes/article_b5f2f872-91df-502f-854f-7673f6987065.html
49,http://www.freenewspos.com/en/world-news-article/c/4618078/today/nation-world
50,http://www.pe.com/articles/lost-781045-middletown-northern.html
51,http://www.theepochtimes.com/n3/1756034-northern-california-wildfires-destroy-nearly-1600-homes/
52,http://www.fox23.com/ap/ap/top-news/northern-california-wildfires-destroy-nearly-1600-/nnjsN/
53,https://www.washingtonpost.com/national/energy-environment/police-probe-suspicious-death-of-man-in-california-wildfire/2015/09/20/25b34c46-6007-11e5-8475-781cc9851652_story.html
54,http://www.tribtown.com/view/story/915237d5e0314f13807625f57fd9a2e6/US--California-Wildfires
55,http://www.burlesonstar.net/news/ci_28850228
56,http://www.yourwestvalley.com/nation_world/article_290cb73a-6028-11e5-8841-af593c21ba22.html
57,http://www.stltoday.com/news/state-and-regional/northern-california-wildfire-destroys-another-homes/article_2bd75c64-96b6-512f-9758-dce1c615d1f0.html
58,http://www.mercurynews.com/california/ci_28850310/northern-california-wildfire-destroys-another-162-homes
59,"http://www.vagazette.com/ct-california-wildfires-20150921,0,372390.story"
60,http://www.firefighternation.com/article/news-2/nearly-1600-homes-destroyed-california-fires
61,http://www.durhamregion.com/news-story/5922537-northern-california-wildfires-destroy-nearly-1-600-homes/
62,http://www.ocregister.com/articles/fire-683868-homes-destroyed.html
63,http://www.tbo.com/ap/northern-california-wildfires-destroy-nearly-1600-homes-20150921/
64,http://wkrn.com/2015/09/21/northern-california-wildfire-destroys-another-162-homes/
65,http://krqe.com/2015/09/21/northern-california-wildfire-destroys-another-162-homes/
66,http://onlineathens.com/breaking-news/2015-09-21/northern-california-wildfires-destroy-nearly-1600-homes
67,http://cjme.com/article/219281/northern-california-wildfires-destroy-nearly-1600-homes-killed-5-people
68,http://www.daily-jeff.com/latest%20headlines/2015/09/21/california-wildfires-destroy-nearly-1-600-homes
69,http://www.sun-sentinel.com/news/nationworld/ct-california-wildfires-20150921-story.html
70,http://news.yahoo.com/n-california-fires-burn-1-600-homes-including-121732466.html
71,http://www.seattletimes.com/nation-world/northern-california-wildfires-destroy-nearly-1600-homes/
72,http://www.wtvq.com/2015/09/21/northern-california-wildfires-destroy-nearly-1600-homes/
73,http://www.rappler.com/business/special-report/whymining/whymining-latest-stories/106642-doe-lifts-suspension-order-semirara-coal-mine
74,http://ktar.com/story/649573/northern-california-wildfires-destroy-nearly-1600-homes/
75,http://www.cadillacnews.com/ap_story/national_news/20150921_ap_915237d5e0314f13807625f57fd9a2e6.html
76,http://www.scpr.org/news/2015/09/21/54537/northern-california-wildfires-destroy-nearly-1-600/
77,http://www.ksro.com/news/article.aspx?id=10502330
78,http://www.castanet.net/news/World/148155/1-600-homes-burn
79,http://mynorthwest.com/15/2814093/Crews-gain-more-control-over-destructive-California-blazes
80,http://www.cbs8.com/story/30078787/northern-california-wildfires-destroy-nearly-1600-homes
81,http://www.capitalpress.com/California/20150921/n-california-wildfires-destroy-nearly-1600-homes
82,http://www.daytondailynews.com/ap/ap/us/northern-california-wildfires-destroy-nearly-1600-/nnjsN/
83,http://www.kake.com/news/national/headlines/Northern-California-wildfire-destroys-another-162-homes-328497631.html
84,http://www.wect.com/story/30075078/crews-gain-more-control-over-destructive-california-blazes
85,http://kdhnews.com/news/nation/crews-gain-more-control-over-destructive-california-blazes/article_91b47a65-d4fa-5c24-95cb-cb94bd6e4043.html
86,http://irasciblemusings.com/wildfires-in-northern-california-kill-6-people-destroy-nearly-1600-homes/
87,http://www.presstelegram.com/general-news/20150921/northern-california-wildfires-destroy-nearly-1600-homes
