,COMPANY,date,SDG_15
251401,goldman sachs group inc,2016-09-22,-0.3192636652617278
251877,goldman sachs group inc,2016-09-23,-0.32788772588149045
252378,goldman sachs group inc,2016-09-24,-0.5689257968762217
252748,goldman sachs group inc,2016-09-25,-0.4438156494804729
253148,goldman sachs group inc,2016-09-26,-1.6960698601414503
253615,goldman sachs group inc,2016-09-27,-1.8283680781966936
254126,goldman sachs group inc,2016-09-28,-1.2659450379169235
254637,goldman sachs group inc,2016-09-29,-1.3378692082596064
255114,goldman sachs group inc,2016-09-30,-1.114237955172074
255611,goldman sachs group inc,2016-10-01,-1.8911196027710016
256045,goldman sachs group inc,2016-10-02,-1.7339724698035843
256375,goldman sachs group inc,2016-10-03,0.024338421385119463
256880,goldman sachs group inc,2016-10-04,-1.1714146828681724
257397,goldman sachs group inc,2016-10-05,-0.8025207964615487
257858,goldman sachs group inc,2016-10-06,-0.560369064945302
258413,goldman sachs group inc,2016-10-07,-1.789224041138164
258841,goldman sachs group inc,2016-10-08,-1.967712025964877
259248,goldman sachs group inc,2016-10-09,-2.2480599484495887
259619,goldman sachs group inc,2016-10-10,-1.5375037384874206
260115,goldman sachs group inc,2016-10-11,-0.8493550942904189
260606,goldman sachs group inc,2016-10-12,-5.6755498741165145
261113,goldman sachs group inc,2016-10-13,-3.2260943040444254
261609,goldman sachs group inc,2016-10-14,-1.6752464756936558
262102,goldman sachs group inc,2016-10-15,-2.9594649236368076
262507,goldman sachs group inc,2016-10-16,-2.684028770774611
262873,goldman sachs group inc,2016-10-17,-2.635161520248688
263371,goldman sachs group inc,2016-10-18,-1.0200851728403262
263862,goldman sachs group inc,2016-10-19,-2.414720426952349
264354,goldman sachs group inc,2016-10-20,-2.7539892404172184
264898,goldman sachs group inc,2016-10-21,-1.5595434328699835
265367,goldman sachs group inc,2016-10-22,-1.7424798285526804
265771,goldman sachs group inc,2016-10-23,-2.709107582037233
266155,goldman sachs group inc,2016-10-24,-1.4286706404969038
266613,goldman sachs group inc,2016-10-25,-0.6834535129036687
267125,goldman sachs group inc,2016-10-26,-1.131199387676529
267641,goldman sachs group inc,2016-10-27,-0.046151260719580665
268173,goldman sachs group inc,2016-10-28,-0.8722423133265099
268695,goldman sachs group inc,2016-10-29,-1.545089454797484
269072,goldman sachs group inc,2016-10-30,-1.7872131898660177
269466,goldman sachs group inc,2016-10-31,-0.5862830534195957
269934,goldman sachs group inc,2016-11-01,-1.1376590288113673
