,0
0,https://heavy.com/news/2018/10/tampa-hillsborough-county-evacuation-map-route/
1,https://www.oanow.com/apwire/news/state/the-latest-hurricane-michael-gaining-strength/article_2c3af59d-7db6-56e7-a042-b2db084f28bb.html
2,http://www.chieftain.com/news/national/us-gulf-coast-bracing-for-monstrous-hurricane-michael/article_b8c11105-93a1-5b92-ac2e-d1eac1d640cd.html
3,https://www.mychamplainvalley.com/news/michael-strengthens-into-a-hurricane-menaces-florida/1506347250
4,https://www.9news.com/article/news/nation-world/us-gulf-coast-bracing-for-monstrous-hurricane-michael/507-601896943
5,https://kix993.iheart.com/content/2018-10-08-bode-morgan-miller-welcome-son-months-after-infant-daughters-death/
6,http://www.wandtv.com/story/39246582/us-gulf-coast-bracing-for-monstrous-hurricane-michael
7,https://www.wric.com/news/national/us-gulf-coast-bracing-for-monstrous-hurricane-michael/1506921140
8,https://www.yourcentralvalley.com/news/us-gulf-coast-bracing-for-monstrous-hurricane-michael/1508621789
9,https://wcfcourier.com/news/national/hurricane-michael-gains-strength-on-course-for-north-florida/article_4c5a6736-3706-56fc-9c1a-77e373cfb732.html
10,https://www.aceshowbiz.com/news/view/00127129.html
11,https://www.michigansthumb.com/news/us/article/Hurricane-Michael-gains-strength-on-course-for-13291849.php
12,http://www.herald-dispatch.com/ap/ap_nation/hurricane-michael-gains-strength-on-course-for-north-florida/article_43de57b5-ba2b-59a5-ba8b-0ded77decc29.html
13,https://www.bigcountryhomepage.com/news/national/hurricane-michael-gains-strength-on-course-for-north-florida/1509033297
14,https://www.wtvq.com/2018/10/09/hurricane-michael-gains-strength-course-north-florida/
15,https://www.mystateline.com/news/hurricane-michael-gains-strength-on-course-for-north-florida/1509031133
16,https://www.aljazeera.com/news/2018/10/evacuations-florida-braces-monstrous-hurricane-michael-181009061431052.html
17,https://www.dariennewsonline.com/news/us/article/The-Latest-Storm-surge-is-major-risk-for-13289942.php
18,https://www.mining-journal.com/sustainability/news/1348314/law-firm-says-blochchain-shapes-as-mining-rebrand-linchpin
19,http://www.newswest9.com/story/39252512/hurricane-michael-gains-strength-on-course-for-north-florida
20,https://www.wsbtv.com/news/national-news/ap-top-news/hurricane-michael-gains-strength-on-course-for-north-florida/849358335
21,http://www.froggy1003.com/news/us-gulf-coast-bracing-for-monstrous-hurricane-michael/
22,https://www.valuewalk.com/2018/10/larry-tabb-q2-equity-volumes/
23,https://www.mytwintiers.com/news/national/hurricane-michael-gains-strength-on-course-for-north-florida/1509033498
24,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12139680
25,https://www.tuscaloosanews.com/news/20181008/hurricane-michael-gains-strength-on-course-for-north-florida
26,https://www.bellinghamherald.com/news/nation-world/national/article219711850.html
