,0
0,http://www.aberdeennews.com/wire/us/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_9afffa12-b253-5898-9884-40568a1067df.html
1,http://www.theintelligencer.com/news/us/article/Nearly-2-tons-of-seized-ivory-to-be-crushed-in-11730387.php
2,http://www.heraldpalladium.com/news/wire/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_29f5c221-e356-5f4a-a835-a38142e1c294.html
3,http://accesswdun.com/article/2017/8/566173
4,http://www.heraldtimesonline.com/wire/business/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_957963e9-313f-5bf8-a1a3-fb48370a1167.html
5,http://newsok.com/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/article/feed/1344271
6,http://www.moultonadvertiser.com/news/national/article_cb9362eb-b3bc-5f9a-92c4-b03ba6e0e576.html
7,http://www.newsradioklbj.com/news/latest-news/national-headline-news/nearly-2-tons-seized-ivory-be-crushed-central-park
8,http://www.stltoday.com/business/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_01b378e1-d008-52e7-a30a-4932136a0840.html
9,http://www.whec.com/national/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/4562298/?cat=10036
10,http://nypost.com/2017/08/03/2-tons-of-seized-ivory-to-be-crushed-in-central-park/
11,http://www.whec.com/national/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/4562297/?cat=10036
12,http://business.financialpost.com/business-pmn/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/wcm/bdb25710-eecc-4ff0-b1c6-6d45e27789d7
13,http://www.rockymounttelegram.com/National-News/2017/08/03/Nearly-2-tons-of-seized-ivory-to-be-crushed-in-Central-Park.html
14,http://www.wsbtv.com/news/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/580042383
15,http://www.voiceofalexandria.com/news/national/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_9958f784-1846-5920-b20b-3c3a997754ff.html
16,http://www.yakimaherald.com/news/business/national/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_fddae77b-3483-5cf5-b4fd-eeef0c462d2c.html
17,http://news-sentinel.com/news/us-and-world/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park_20170803&profile=1002
18,http://mynorthwest.com/709457/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/
19,http://www.512tech.com/business/nearly-tons-seized-ivory-crushed-central-park/sVinyhwNsGmEX4Id6QpNLK/
20,http://www.staradvertiser.com/2017/08/02/breaking-news/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/
21,http://thecourier.com/national-news/2017/08/03/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/
22,http://thegardenisland.com/business/national-and-international/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_df187103-d8c8-5fae-aaa0-01283cabf567.html
23,http://www.wfmj.com/story/36044683/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park
24,http://www.myrtlebeachonline.com/news/business/national-business/article165129777.html
25,http://www.cachevalleydaily.com/news/national/article_e2d7a683-afea-5af1-9b90-b443e92abc03.html
26,http://jacksonville.com/news/national/2017-08-03/nearly-2-tons-seized-ivory-be-crushed-central-park
27,http://www.foxbusiness.com/markets/2017/08/03/nearly-2-tons-seized-ivory-to-be-crushed-in-central-park.html
28,http://www.oanow.com/apwire/news/national/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_19a6724d-fbf7-53d2-8427-9041e759e454.html
29,http://news10.com/ap/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/
30,http://kdhnews.com/business/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_a5a9d024-9a12-5aec-9c84-9cb17c4289cd.html
31,http://www.bradfordera.com/news/business/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_21418087-03e4-5ad5-83aa-2e3396a3b3df.html
32,http://www.dailymail.co.uk/wires/ap/article-4755948/Nearly-2-tons-seized-ivory-crushed-Central-Park.html
33,http://www.roanoke.com/news/nation/wire/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_6b8e4437-75ed-5c87-8fe6-92d4322b18ef.html
34,http://www.whig.com/article/20170803/AP/308039988
35,http://www.kiro7.com/news/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/580042133
36,http://whlt.com/ap/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/
37,http://www.krmg.com/news/national/nearly-tons-seized-ivory-crushed-central-park/WmS8mE2w3eJBShR3HzFCEJ/
38,https://www.washingtonpost.com/lifestyle/travel/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/2017/08/03/bbae412a-7805-11e7-8c17-533c52b2f014_story.html
39,http://www.greensboro.com/ap/us_world/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_b6caed0d-416b-5fac-91d5-969c6bab7e0b.html
40,http://www.fltimes.com/news/state/nearly-tons-of-seized-ivory-to-be-crushed-in-central/article_c771e463-062b-58ed-a677-46321266e015.html
41,http://www.kaaltv.com/national/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/4562300/?cat=10159
42,http://www.kaaltv.com/national/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/4562301/?cat=10159
43,http://www.njherald.com/article/20170803/AP/308039962
44,http://wavy.com/ap/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/
45,http://www.apnewsarchive.com/2017/Nearly-2-tons-of-trinkets-statues-and-jewelry-crafted-from-the-tusks-of-at-least-100-slaughtered-elephants-are-going-into-a-rock-crusher-in-New-York-City-to-demonstrate-the-state-s-comm/id-38ecfc8c27444438b749f19063236471
46,http://abcnews.go.com/Lifestyle/wireStory/tons-seized-ivory-crushed-central-park-49003544
47,http://www.thenewstribune.com/news/business/article165129777.html
48,http://www.startribune.com/nearly-2-tons-of-seized-ivory-to-be-crushed-in-central-park/438241913/
49,http://www.therepublic.com/2017/08/03/us-ivory-crush/
