,COMPANY,date,SDG_15
385170,tiffany & co,2017-07-14,-1.8131777802780897
385566,tiffany & co,2017-07-15,-2.30524642289348
386112,tiffany & co,2017-07-16,0.29757724897771537
386416,tiffany & co,2017-07-17,3.079710144927535
386884,tiffany & co,2017-07-18,-4.82897384305835
387596,tiffany & co,2017-07-19,3.016907324535269
387943,tiffany & co,2017-07-20,
388481,tiffany & co,2017-07-21,2.023550348854565
388848,tiffany & co,2017-07-22,
389422,tiffany & co,2017-07-23,
389728,tiffany & co,2017-07-24,
390233,tiffany & co,2017-07-25,
390869,tiffany & co,2017-07-26,
391247,tiffany & co,2017-07-27,-5.0765497481648865
391855,tiffany & co,2017-07-28,
392332,tiffany & co,2017-07-29,-3.33333333333333
392627,tiffany & co,2017-07-30,
393068,tiffany & co,2017-07-31,
393561,tiffany & co,2017-08-01,4.394145315789615
394096,tiffany & co,2017-08-02,-1.49253731343284
394570,tiffany & co,2017-08-03,-5.472746273682341
395135,tiffany & co,2017-08-04,-4.907239083309721
395725,tiffany & co,2017-08-05,
396093,tiffany & co,2017-08-06,-5.86734576823365
396458,tiffany & co,2017-08-07,1.765331504556445
397132,tiffany & co,2017-08-08,
397449,tiffany & co,2017-08-09,2.19425621168119
397982,tiffany & co,2017-08-10,-6.57342657342657
398416,tiffany & co,2017-08-11,-6.57342657342657
398948,tiffany & co,2017-08-12,
399374,tiffany & co,2017-08-13,3.26086956521739
399839,tiffany & co,2017-08-14,
400350,tiffany & co,2017-08-15,-2.1619091633786742
400706,tiffany & co,2017-08-16,-1.8222629086491888
401275,tiffany & co,2017-08-17,-5.2646616633256755
401891,tiffany & co,2017-08-18,
402322,tiffany & co,2017-08-19,-2.62108950356323
402687,tiffany & co,2017-08-20,
403088,tiffany & co,2017-08-21,3.124284077892325
403471,tiffany & co,2017-08-22,-1.81086519114688
404082,tiffany & co,2017-08-23,-1.9164527768909132
