,COMPANY,date,SDG_16
580801,duke energy corp,2018-08-24,0.26791950296407124
581207,duke energy corp,2018-08-25,0.6524851620631364
581556,duke energy corp,2018-08-26,-2.1343462748311257
582138,duke energy corp,2018-08-27,0.010289840386327267
582512,duke energy corp,2018-08-28,-1.4404833266076713
582961,duke energy corp,2018-08-29,1.3047689994946088
583493,duke energy corp,2018-08-30,-0.5425984144866134
584030,duke energy corp,2018-08-31,0.1566037246599499
584437,duke energy corp,2018-09-01,-0.700934579439252
584960,duke energy corp,2018-09-02,-0.10759707916243755
585296,duke energy corp,2018-09-03,1.0672748634917681
585809,duke energy corp,2018-09-04,0.769022810176121
586530,duke energy corp,2018-09-05,-0.36328761179198643
586745,duke energy corp,2018-09-06,-1.0267174287954202
587418,duke energy corp,2018-09-07,1.1049059120191869
587737,duke energy corp,2018-09-08,0.43357144160172345
588155,duke energy corp,2018-09-09,0.6160809213469208
588649,duke energy corp,2018-09-10,-3.054023613445677
589134,duke energy corp,2018-09-11,-5.623329419221176
589484,duke energy corp,2018-09-12,-5.664455514666056
589977,duke energy corp,2018-09-13,-6.364987425655361
590492,duke energy corp,2018-09-14,-6.136873255414569
590975,duke energy corp,2018-09-15,-5.215444609691371
591407,duke energy corp,2018-09-16,-5.914039681811907
591809,duke energy corp,2018-09-17,-6.066813166444314
592300,duke energy corp,2018-09-18,-6.139180531483354
592770,duke energy corp,2018-09-19,-5.72512026948661
593280,duke energy corp,2018-09-20,-5.881530790876925
593755,duke energy corp,2018-09-21,-6.074021282323796
594256,duke energy corp,2018-09-22,-6.123096727868361
594717,duke energy corp,2018-09-23,-5.2291465723116435
595128,duke energy corp,2018-09-24,-4.1200645445132045
595593,duke energy corp,2018-09-25,-5.037888753992244
596188,duke energy corp,2018-09-26,-3.4207802534205247
596611,duke energy corp,2018-09-27,-2.7217636499700073
597164,duke energy corp,2018-09-28,-3.091821386140347
597601,duke energy corp,2018-09-29,-2.5338476788280557
598003,duke energy corp,2018-09-30,-5.124304324075067
598509,duke energy corp,2018-10-01,-2.9061360297820498
598955,duke energy corp,2018-10-02,-4.186274008578621
599279,duke energy corp,2018-10-03,-4.582311816086419
