,0
0,http://www.adelaidenow.com.au/business/breaking-news/ubs-to-pay-us545m-on-forex-case/story-fnn9c0gw-1227361684755?nk=a30acff72f6ecc86d504e698e83443b0
1,http://www.newstribune.com/news/2015/may/20/surge-home-construction-lift-hopes-us-economy/
2,http://www.businessspectator.com.au/news/2015/5/20/financial-services/ubs-pay-us545m-forex-case
3,http://www.twincities.com/business/ci_28148965/surge-seen-home-building
4,http://www.theaustralian.com.au/business/financial-services/huge-fines-loom-for-banks-over-foreign-exchange-rigging-scandal/story-fn91wd6x-1227361107628?nk=cb8901ce8b9aaf4d3961a92553ebcfab
5,http://www.heraldsun.com.au/business/breaking-news/huge-fines-loom-in-forex-scandal/story-fnn9c0hb-1227361133988?nk=963eb91e28ae32601b9cfba7ee31cea5
6,http://www.freemalaysiatoday.com/category/business/2015/05/20/five-big-banks-face-criminal-charges-and-5bn-bill-over-fx-rigging/
7,http://malaysiandigest.com/business/554375-five-major-banks-to-pay-huge-fines-for-manipulating-forex-market.html
8,http://news.yahoo.com/five-big-banks-face-criminal-charges-5-billion-230457375--sector.html
9,http://www.brisbanetimes.com.au/business/banking-and-finance/five-big-banks-face-criminal-charges-and-6b-fine-over-currency-rigging-20150520-gh5hvf.html
10,http://www.moneycontrol.com/news/world-news/5-banks-face-criminal-charges-365-bn-bill-for-fx-rigging_1388112.html
11,http://www.newstimes.com/news/article/US-home-construction-surges-to-fastest-pace-since-6272682.php
12,http://zeenews.india.com/business/news/international/five-big-banks-face-criminal-charges-and-5-billion-bill-over-fx-rigging_126631.html
13,http://tradearabia.com/news/BANK_282320.html
14,http://english.capital.gr/News.asp?id=2308908
15,http://www.rockymounttelegram.com/business/surge-home-construction-lifts-hopes-economy-2885243
16,http://www.azernews.az/bloomberg/82272.html
17,http://www.rtbnews.rtb.gov.bn/index.php?option=com_content&view=article&id=27757:five-big-banks-face-criminal-charges-and-5-billion-bill-over-fx-rigging&catid=36:business&Itemid=68
18,http://www.sify.com/news/five-big-banks-face-criminal-charges-and-5-billion-bill-over-fx-rigging-news-crime-pfufbdcadbjdi.html
19,http://www.startribune.com/surge-in-home-construction-is-lifting-hopes-for-us-economy/304351541/
20,http://www.iii.co.uk/news-opinion/reuters/news/243354
21,http://www.moneyweb.co.za/moneyweb-radio/safm-market-update/a-tough-day-for-the-board-of-barclays-africa-tumisang-ndlovu-moneyweb/
22,http://www.princegeorgecitizen.com/news/world/surge-in-home-building-and-home-depot-sales-point-to-re-energized-housing-sector-and-economy-1.1939906
23,http://www.thisismoney.co.uk/money/bills/article-3088136/Hounded-HSBC-eight-years-debt-didn-t-owe-Robert-Webster-harassed-repay-debt-isn-t-his.html
24,http://www.chroniclejournal.com/business/national_business/surge-in-home-building-and-home-depot-sales-point-to/article_273e967a-d0c4-5271-b8e6-bfd8fa8a006b.html
25,http://www.4-traders.com/news/Five-Banks-Face-Combined-5-Billion-Bill-Over-Forex-Manipulation-Reuters--20404985/
26,http://www.themalaymailonline.com/money/article/five-major-banks-to-pay-huge-fines-for-manipulating-forex-market
