,COMPANY,date,SDG_16
28086,pnc financial services group inc,2015-04-30,-0.609055972784576
28552,pnc financial services group inc,2015-05-01,-0.6798634580364118
28975,pnc financial services group inc,2015-05-02,-0.6027459111046494
29368,pnc financial services group inc,2015-05-03,0.04850209249610792
29746,pnc financial services group inc,2015-05-04,-0.4681449572436481
30130,pnc financial services group inc,2015-05-05,-0.6372417449998933
30640,pnc financial services group inc,2015-05-06,-0.5123013471153567
31076,pnc financial services group inc,2015-05-07,-1.1368338982098027
31540,pnc financial services group inc,2015-05-08,-1.3219723245514503
32000,pnc financial services group inc,2015-05-09,-1.5495938351602494
32365,pnc financial services group inc,2015-05-10,-1.7674408180477794
32716,pnc financial services group inc,2015-05-11,-2.450789156227507
33197,pnc financial services group inc,2015-05-12,-1.4665215194724015
33645,pnc financial services group inc,2015-05-13,-1.3427887985375488
34096,pnc financial services group inc,2015-05-14,-2.7080002942387975
34563,pnc financial services group inc,2015-05-15,-2.568456715460645
34999,pnc financial services group inc,2015-05-16,-2.5333113582119657
35437,pnc financial services group inc,2015-05-17,-3.4820983427895134
35626,pnc financial services group inc,2015-05-18,-1.4844499041178845
36118,pnc financial services group inc,2015-05-19,-1.1016535756104755
36554,pnc financial services group inc,2015-05-20,-4.7697000358392705
37011,pnc financial services group inc,2015-05-21,-4.249277301714984
37498,pnc financial services group inc,2015-05-22,-2.9400327166824844
37921,pnc financial services group inc,2015-05-23,-3.5555788976322895
38295,pnc financial services group inc,2015-05-24,-2.9380019552584553
38573,pnc financial services group inc,2015-05-25,-1.7414733519927084
38927,pnc financial services group inc,2015-05-26,-2.4392809442248153
39410,pnc financial services group inc,2015-05-27,-1.0356251988763105
39888,pnc financial services group inc,2015-05-28,-1.1453531509439925
40314,pnc financial services group inc,2015-05-29,-0.808336508633474
40766,pnc financial services group inc,2015-05-30,-0.3800525743192343
41120,pnc financial services group inc,2015-05-31,-3.7870754136749563
41418,pnc financial services group inc,2015-06-01,-1.6706628994527835
41912,pnc financial services group inc,2015-06-02,-1.3854971043108486
42344,pnc financial services group inc,2015-06-03,-1.1661709424320872
42830,pnc financial services group inc,2015-06-04,-1.099861673345961
43275,pnc financial services group inc,2015-06-05,-1.3311065221872287
43715,pnc financial services group inc,2015-06-06,-1.8036083102498885
44030,pnc financial services group inc,2015-06-07,-1.6639315023536418
44358,pnc financial services group inc,2015-06-08,-1.5428194542379507
44807,pnc financial services group inc,2015-06-09,-1.1947532663779565
