,0
0,http://www.live5news.com/story/29767341/online-image-purports-to-show-croat-killed-by-islamic-state
1,http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2015-08-12-ML--Islamic%20State/id-1369f9493f1040f0a7cdeec8e54f686b
2,http://www.springfieldnewssun.com/news/ap/top-news/online-image-islamic-state-beheads-croat-held-in-e/nnHyM/
3,http://www.newschannel9.com/news/top-stories/stories/online-image-reportedly-shows-croat-killed-islamic-state-19420.shtml
4,http://www.yourstephenvilletx.com/apnews/online-image-purports-to-show-croat-killed-by-islamic-state/article_bb60e64c-0a9c-5f99-8e42-7833762ca731.html
5,http://www.star-telegram.com/news/nation-world/world/article30828633.html
6,http://www.elpasoinc.com/news/wire/international/article_39796baa-2211-5ca4-b860-e526404c0bf8.html
7,http://www.morganton.com/news/world/ap/is-affiliate-in-egypt-releases-image-of-slain-croat-captive/article_8692c950-4509-5d8e-8f5d-3917f4c58c46.html
8,http://www.wbtv.com/story/29767341/is-affiliate-in-egypt-releases-image-of-slain-croat-captive
9,http://krqe.com/ap/is-affiliate-in-egypt-releases-image-of-slain-croat-captive/
10,http://cnsnews.com/news/article/online-image-purports-show-croat-killed-islamic-state
11,http://newsok.com/is-affiliate-in-egypt-releases-image-of-slain-croat-captive/article/feed/874832
12,http://www.ctvnews.ca/world/online-image-purports-to-show-croatian-beheaded-by-extremists-in-egypt-1.2513324
13,http://www.greenfieldreporter.com/./view/story/a23801c670ba47c7957df9d4f269b900/ML--Islamic-State
14,http://www.krmg.com/ap/ap/international/online-image-islamic-state-beheads-croat-held-in-e/nnHyM/
15,http://www.610cktb.com/WorldCP/Article.aspx?id=476274
16,http://thehimalayantimes.com/world/online-image-purports-to-show-croat-killed-by-islamic-state/
17,http://powersource.post-gazette.com/powersource/latest-oil-and-gas/2015/08/12/Online-image-purports-to-show-Croat-killed-by-Islamic-State/stories/201508120155
18,http://www.fox5vegas.com/story/29767341/is-affiliate-in-egypt-releases-image-of-slain-croat-captive
19,http://www.dispatch.com/content/stories/national_world/2015/08/12/0812-islamic-state-kills-croat.html
20,http://www.lakeplacidnews.com/page/content.detail/id/909168/IS-affiliate-in-Egypt-releases-image-of-slain-Croat-captive.html?isap=1&nav=5070
21,http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2015-08-12-ML--Islamic%20State/id-52a7f07892514af4befd18e79d4e801a
22,http://wtop.com/middle-east/2015/08/online-image-islamic-state-beheads-croat-held-in-egypt/
23,http://www.centralmaine.com/2015/08/12/online-image-purports-to-show-croatian-killed-by-islamic-state/
24,http://www.coastreporter.net/islamic-state-affiliate-in-egypt-releases-purported-image-of-beheaded-croat-hostage-1.2028172
25,http://www.post-gazette.com/powersource/latest-oil-and-gas/2015/08/12/IS-affiliate-in-Egypt-releases-image-of-slain-Croat-captive/stories/201508120158
26,http://www.post-gazette.com/powersource/latest-oil-and-gas/2015/08/12/IS-affiliate-in-Egypt-releases-image-of-slain-Croat-captive/stories/201508120158
27,http://www.wsbradio.com/news/ap/international/online-image-islamic-state-beheads-croat-held-in-e/nnHyM/
28,http://www.advertiser-tribune.com/page/content.detail/id/909168/IS-affiliate-in-Egypt-releases-image-of-slain-Croat-captive.html?isap=1&nav=5017
29,http://www.newswest9.com/story/29767340/is-affiliate-in-egypt-releases-image-of-slain-croat-captive
30,http://cnsnews.com/news/article/affiliate-egypt-releases-image-slain-croat-captive
31,http://mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2015/08/12/IS_affiliate_in_Egypt_releases_image_of_slain_Croat_captive.html
32,http://lasvegassun.com/news/2015/aug/12/isis-affiliate-egypt-releases-image-slain-croat-ca/
33,http://www.brownsvilleherald.com/news/us_world/article_3ebe9813-8eb5-582f-a65e-d00941d1cef2.html
34,http://www.daily-jeff.com/latest%20headlines/2015/08/12/online-image-purports-to-show-croat-killed-by-islamic-state
35,http://www.roanoke.com/news/wire_headlines/is-affiliate-in-egypt-releases-image-of-slain-croat-captive/article_0be0ecf8-58b8-5abd-9c09-f520105e56c3.html
