,COMPANY,date,SDG_17
64171,apache corp,2015-07-23,
64597,apache corp,2015-07-24,
65563,apache corp,2015-07-26,
66057,apache corp,2015-07-27,-1.35811938471098
66403,apache corp,2015-07-28,0.0
66979,apache corp,2015-07-29,0.34071066811568
67318,apache corp,2015-07-30,0.0
67853,apache corp,2015-07-31,1.9403288830999648
68553,apache corp,2015-08-01,
69281,apache corp,2015-08-03,
69627,apache corp,2015-08-04,
70124,apache corp,2015-08-05,1.43266475644699
70554,apache corp,2015-08-06,-0.4839636115250865
71069,apache corp,2015-08-07,
71503,apache corp,2015-08-08,
71875,apache corp,2015-08-09,
72481,apache corp,2015-08-10,
72783,apache corp,2015-08-11,
73373,apache corp,2015-08-12,-5.718700697986219
73599,apache corp,2015-08-13,-6.048544929019121
74155,apache corp,2015-08-14,-6.152183699677023
74671,apache corp,2015-08-15,-6.0192547384708
74922,apache corp,2015-08-16,-5.66037735849057
75445,apache corp,2015-08-17,
75777,apache corp,2015-08-18,
76542,apache corp,2015-08-19,
76854,apache corp,2015-08-20,1.524003501813441
77355,apache corp,2015-08-21,
78019,apache corp,2015-08-22,
78409,apache corp,2015-08-23,-5.99571734475375
78650,apache corp,2015-08-24,1.125
79280,apache corp,2015-08-25,
79751,apache corp,2015-08-26,1.2217907734892466
80112,apache corp,2015-08-27,0.356463330262335
80683,apache corp,2015-08-28,
81180,apache corp,2015-08-29,
81354,apache corp,2015-08-30,
81812,apache corp,2015-08-31,
82154,apache corp,2015-09-01,
