,COMPANY,date,SDG_17
28063,citigroup inc,2015-04-30,-0.3373316118130228
28520,citigroup inc,2015-05-01,0.9212958624888266
28992,citigroup inc,2015-05-02,-0.039287639976900324
29354,citigroup inc,2015-05-03,-0.02461323604072422
29648,citigroup inc,2015-05-04,-0.1421734477666409
30116,citigroup inc,2015-05-05,0.20738025248326197
30666,citigroup inc,2015-05-06,-0.038310106669649666
31112,citigroup inc,2015-05-07,-0.042922186201735386
31557,citigroup inc,2015-05-08,-0.22881653362240542
32053,citigroup inc,2015-05-09,-0.21526295680226437
32377,citigroup inc,2015-05-10,0.04045799234144605
32668,citigroup inc,2015-05-11,-1.4301225260002641
33160,citigroup inc,2015-05-12,-0.7833879418858586
33621,citigroup inc,2015-05-13,-1.3571093323257926
34106,citigroup inc,2015-05-14,-4.411129815265861
34543,citigroup inc,2015-05-15,-4.015958352866509
34974,citigroup inc,2015-05-16,-3.4938028413241846
35326,citigroup inc,2015-05-17,-1.6141654382091306
35616,citigroup inc,2015-05-18,-1.3015599613200233
36093,citigroup inc,2015-05-19,-3.2594640024065726
36543,citigroup inc,2015-05-20,-5.443573644940599
37025,citigroup inc,2015-05-21,-5.5845926141802
37539,citigroup inc,2015-05-22,-1.7694245317735435
37990,citigroup inc,2015-05-23,-2.666344577416265
38312,citigroup inc,2015-05-24,-3.2538808586786563
38572,citigroup inc,2015-05-25,-1.089451191030593
38990,citigroup inc,2015-05-26,-0.367621296934492
39411,citigroup inc,2015-05-27,-1.4399819043218696
39884,citigroup inc,2015-05-28,-0.45054095769043156
40339,citigroup inc,2015-05-29,-0.6115445307705948
40880,citigroup inc,2015-05-30,0.021297106518438042
41122,citigroup inc,2015-05-31,0.041863504076602824
41410,citigroup inc,2015-06-01,-0.6281527541466416
41919,citigroup inc,2015-06-02,-1.7733703608215998
42374,citigroup inc,2015-06-03,-1.930000758641423
42864,citigroup inc,2015-06-04,-1.0540690913987794
43276,citigroup inc,2015-06-05,-0.8946432511264963
43745,citigroup inc,2015-06-06,-0.3625819585658454
44058,citigroup inc,2015-06-07,-2.0275821518770556
44345,citigroup inc,2015-06-08,-2.4093466753611437
44802,citigroup inc,2015-06-09,0.21770768474149543
