,0
0,http://www.huckmagazine.com/art-and-culture/music-2/tim-cooley-surf-music-relationship/
1,http://tbtpics.tampabay.com/news/education/k12/panel-in-tampa-explores-challenges-to-public-education/2320463
2,http://cjme.com/article/1225291/over-100-killed-during-syrias-troubled-population-transfer
3,http://www.infiniteunknown.net/2017/04/15/trump-dumps-campaign-pledges-goes-ballistic-in-syria-afghanistan/
4,http://www.hindustantimes.com/world-news/syria-bus-convoy-blast-death-toll-rises-to-100-transfer-of-people-resumes/story-I1hTZEofqy4MrFp8YyoToN.html
5,http://www.outlookindia.com/newswire/story/at-least-100-killed-after-deadly-explosion-rips-through-syrian-evacuation-bus/968170
6,http://www.nh1.com/news/over-100-killed-during-syria-s-troubled-population-transfer/
7,http://www.timesofmalta.com/articles/view/20170416/opinion/Coalition-of-convenience.645295
8,http://www.wistv.com/story/35157357/over-100-killed-during-syrias-troubled-population-transfer
9,http://www.newindianexpress.com/world/2017/apr/16/over-100-killed-during-syrias-troubled-population-transfer-1594036.html
10,http://www.bordertelegraph.com/news/15227024.More_than_100_Syrian_evacuees_killed_in_bus_depot_blast/
11,http://accesswdun.com/article/2017/4/525418
12,http://www.thenorthernecho.co.uk/news/national/15227024.More_than_100_Syrian_evacuees_killed_in_bus_depot_blast/
13,http://northernstar.info/from_ap/over-killed-during-syria-s-troubled-population-transfer/article_26aff815-f902-5ae3-b445-53bafe673951.html
14,http://ksn.com/2017/04/15/over-100-killed-during-syrias-troubled-population-transfer/
15,http://www.gazettetimes.com/news/world/over-killed-during-syria-s-troubled-population-transfer/article_ebb122a5-4ea5-5449-9c44-c85b2f0c0809.html
16,http://www.dnaindia.com/world/report-over-100-killed-during-syria-s-troubled-population-transfer-2403578
17,http://hosted2.ap.org/apdefault/3d281c11a96b4ad082fe88aa0db04305/Article_2017-04-15-ML-Syria/id-ee01400ed1824971bae054f9ff1a7612
18,http://www.mapleridgenews.com/national/419540933.html
19,http://www.deccanchronicle.com/world/middle-east/160417/at-least-100-including-children-killed-in-explosion-at-syrian-evacuation-point.html
20,http://www.lasvegasnvblog.com/page/5258/
21,http://m.nzherald.co.nz/technology/news/article.cfm?c_id=5&objectid=11839248
22,http://www.journalgazette.net/news/world/20170416/bombing-at-bus-depot-kills-100
23,http://www.spacewar.com/reports/Iraq_forces_make_Mosul_gains_but_anti-IS_war_far_from_over_999.html
24,http://www.inquisitr.com/4146971/will-abc-cancel-once-upon-a-time-season-7-creators-not-certain-about-series-renewal/
25,http://www.khaama.com/karzai-met-russian-ambassador-after-declaring-a-hard-stance-against-us-02574
26,http://thegardenisland.com/news/world/over-killed-during-syria-s-troubled-population-transfer/article_472dab91-c534-5814-a19f-3566170cda13.html
27,http://www.canadianinquirer.net/2017/04/15/over-100-killed-during-syrias-troubled-population-transfer/
28,http://www.freemalaysiatoday.com/category/world/2017/04/16/islamic-kindergartens-cause-a-stir-in-austria/
29,http://www.dnaindia.com/world/report-death-toll-rises-to-100-in-bombing-of-syrian-bus-convoy-2403701
30,http://www.lasvegasnvblog.com/page/5259/
31,http://business.newsfactor.com/story.xhtml?story_id=033003P80K60
32,http://www.sunlive.co.nz/news/152068-checking-on-oyster-catchers.html
33,http://www.peta.org/blog/animal-advocates-bid-farewell-fur-blowout-canada-goose-protest/
34,http://www.californiademocrat.com/news/national/story/2017/apr/15/utah-judge-rape-sentencing-ex-mormon-bishop-good-man/669938/
35,http://registerguard.com/rg/life/lifestyles/35474600-74/alec-baldwin-101.html.csp
