,COMPANY,date,SDG_17
371663,moody's corp,2017-06-15,-1.298940404092354
372191,moody's corp,2017-06-16,-1.2856406566680292
372623,moody's corp,2017-06-17,-2.291782003890987
373106,moody's corp,2017-06-18,-2.1377027999957607
373493,moody's corp,2017-06-19,-1.9361241607285726
373976,moody's corp,2017-06-20,-1.4382463161007781
374461,moody's corp,2017-06-21,-1.817794233008699
375016,moody's corp,2017-06-22,-2.062890475348355
375502,moody's corp,2017-06-23,-1.2424612000220125
375956,moody's corp,2017-06-24,-1.4691523060103577
376466,moody's corp,2017-06-25,-2.8481510157013137
376845,moody's corp,2017-06-26,-1.502359100274981
377313,moody's corp,2017-06-27,-1.8048211264139387
377770,moody's corp,2017-06-28,-1.039719627017519
378277,moody's corp,2017-06-29,-1.2401159248466276
378744,moody's corp,2017-06-30,-3.300231063196644
379293,moody's corp,2017-07-01,-2.920148828453185
379605,moody's corp,2017-07-02,0.031423466913417984
379935,moody's corp,2017-07-03,-1.2109165295422089
380484,moody's corp,2017-07-04,-1.796705034786857
380846,moody's corp,2017-07-05,-5.3801778086380105
381301,moody's corp,2017-07-06,-5.045172291796381
381846,moody's corp,2017-07-07,-3.6210703438955085
382348,moody's corp,2017-07-08,-2.750027358402776
382732,moody's corp,2017-07-09,-2.9449810086007413
383061,moody's corp,2017-07-10,-1.3737238791046102
383543,moody's corp,2017-07-11,-2.943368794365326
384076,moody's corp,2017-07-12,-2.748430008795179
384558,moody's corp,2017-07-13,-2.333785346977491
385144,moody's corp,2017-07-14,-1.440253875876319
385610,moody's corp,2017-07-15,-1.8612332187869916
386085,moody's corp,2017-07-16,-2.7369066017394457
386465,moody's corp,2017-07-17,-2.4998850175106346
386858,moody's corp,2017-07-18,-3.483383365442488
387408,moody's corp,2017-07-19,-3.17197207886371
387931,moody's corp,2017-07-20,-0.8709961479358561
388360,moody's corp,2017-07-21,-1.2584239144162757
388897,moody's corp,2017-07-22,-2.43303866044475
389291,moody's corp,2017-07-23,0.48656321022373505
389671,moody's corp,2017-07-24,-1.0627951084132754
390174,moody's corp,2017-07-25,-0.525745698830255
