,COMPANY,date,SDG_17
405870,morgan stanley,2017-08-27,0.18362040922279088
406336,morgan stanley,2017-08-28,-0.018138936759726353
406811,morgan stanley,2017-08-29,-0.4140222026895826
407290,morgan stanley,2017-08-30,-1.192274067956746
407808,morgan stanley,2017-08-31,-0.6460403795626783
408292,morgan stanley,2017-09-01,-0.5515692217399795
408741,morgan stanley,2017-09-02,-0.9928239792407191
409169,morgan stanley,2017-09-03,2.0901757913440284
409578,morgan stanley,2017-09-04,-1.5393674987533068
410023,morgan stanley,2017-09-05,-1.1138064575294575
410552,morgan stanley,2017-09-06,-0.602892092269279
411083,morgan stanley,2017-09-07,-0.5594962616008909
411579,morgan stanley,2017-09-08,-0.13229851418630062
412065,morgan stanley,2017-09-09,-0.403638778515168
412479,morgan stanley,2017-09-10,-1.8173463196358706
412916,morgan stanley,2017-09-11,-0.9925426303941125
413454,morgan stanley,2017-09-12,-0.5231998800420329
413928,morgan stanley,2017-09-13,-0.5360368779139879
414488,morgan stanley,2017-09-14,-0.2557365769819343
414960,morgan stanley,2017-09-15,-3.67125818323486
415446,morgan stanley,2017-09-16,-6.18624453467809
415886,morgan stanley,2017-09-17,-4.1304111421080725
416344,morgan stanley,2017-09-18,-1.0945626266899533
416795,morgan stanley,2017-09-19,-1.013383905850347
417319,morgan stanley,2017-09-20,-3.9339117942705206
417867,morgan stanley,2017-09-21,-1.1718199732023118
418340,morgan stanley,2017-09-22,-1.4993322285654707
418815,morgan stanley,2017-09-23,-0.7587433543355285
419243,morgan stanley,2017-09-24,-0.23174213125258863
419641,morgan stanley,2017-09-25,-0.6641083202984934
420118,morgan stanley,2017-09-26,-0.9013765089429163
420620,morgan stanley,2017-09-27,0.7055457958692471
421150,morgan stanley,2017-09-28,-0.6390810003879867
421663,morgan stanley,2017-09-29,-0.5792283067472203
422111,morgan stanley,2017-09-30,-0.977952731567329
422547,morgan stanley,2017-10-01,-0.5386406658227417
422973,morgan stanley,2017-10-02,-0.51460722541368
423463,morgan stanley,2017-10-03,-1.2053378138660202
423959,morgan stanley,2017-10-04,-0.05526693106430636
424479,morgan stanley,2017-10-05,-0.2560405309977664
425015,morgan stanley,2017-10-06,-2.1316260971132026
