,COMPANY,date,SDG_2
396054,anadarko petroleum corp,2017-08-06,-2.64550264550265
396460,anadarko petroleum corp,2017-08-07,
397020,anadarko petroleum corp,2017-08-08,-0.198807157057654
397674,anadarko petroleum corp,2017-08-09,
398000,anadarko petroleum corp,2017-08-10,1.4176022697364214
398398,anadarko petroleum corp,2017-08-11,
399104,anadarko petroleum corp,2017-08-12,
399417,anadarko petroleum corp,2017-08-13,-0.979591836734694
399755,anadarko petroleum corp,2017-08-14,
400309,anadarko petroleum corp,2017-08-15,1.2694758810160836
400830,anadarko petroleum corp,2017-08-16,
401242,anadarko petroleum corp,2017-08-17,0.6575559516735985
401797,anadarko petroleum corp,2017-08-18,
402193,anadarko petroleum corp,2017-08-19,-2.4849722852710014
402654,anadarko petroleum corp,2017-08-20,0.0697720852296935
402981,anadarko petroleum corp,2017-08-21,-0.894454382826476
403607,anadarko petroleum corp,2017-08-22,-0.0698719457012608
404265,anadarko petroleum corp,2017-08-23,-4.56285807476427
404554,anadarko petroleum corp,2017-08-24,-4.5116852966274
404970,anadarko petroleum corp,2017-08-25,-4.91828590408894
405470,anadarko petroleum corp,2017-08-26,-5.500923454370476
405893,anadarko petroleum corp,2017-08-27,-5.184620132465074
406340,anadarko petroleum corp,2017-08-28,-3.764454618356571
406868,anadarko petroleum corp,2017-08-29,-2.774327093828674
407436,anadarko petroleum corp,2017-08-30,-2.659118774410802
408120,anadarko petroleum corp,2017-08-31,0.12093616060820327
408315,anadarko petroleum corp,2017-09-01,-2.6929367158085835
408915,anadarko petroleum corp,2017-09-02,-1.52046783625731
409323,anadarko petroleum corp,2017-09-03,-3.55329949238579
409636,anadarko petroleum corp,2017-09-04,
410281,anadarko petroleum corp,2017-09-05,
410614,anadarko petroleum corp,2017-09-06,2.5243242051597585
411190,anadarko petroleum corp,2017-09-07,
411898,anadarko petroleum corp,2017-09-08,-2.8653968639141936
412192,anadarko petroleum corp,2017-09-09,-4.57808963595213
412662,anadarko petroleum corp,2017-09-10,-3.16831683168317
413206,anadarko petroleum corp,2017-09-11,
413828,anadarko petroleum corp,2017-09-12,0.0672796591163942
414076,anadarko petroleum corp,2017-09-13,-0.6562561712838925
414576,anadarko petroleum corp,2017-09-14,-0.87994971715902
414942,anadarko petroleum corp,2017-09-15,
