,COMPANY,date,SDG_2
562532,apple inc,2018-07-17,0.28234836657486506
562959,apple inc,2018-07-18,2.52694165737644
563506,apple inc,2018-07-19,0.8481858585182523
563934,apple inc,2018-07-20,-0.9322115735999308
564423,apple inc,2018-07-21,
564847,apple inc,2018-07-22,-0.933609958506224
565294,apple inc,2018-07-23,0.6891045495216446
565831,apple inc,2018-07-24,-1.3369590673581588
566281,apple inc,2018-07-25,-1.8196865119588035
566860,apple inc,2018-07-26,-1.160508993235357
567280,apple inc,2018-07-27,-2.09696640825947
567868,apple inc,2018-07-28,-1.834735365959003
568289,apple inc,2018-07-29,-1.3606748710978493
568679,apple inc,2018-07-30,-0.15789759581049584
569229,apple inc,2018-07-31,-1.895706254686661
569712,apple inc,2018-08-01,-1.1391332809662797
570208,apple inc,2018-08-02,-0.8191035642791985
570710,apple inc,2018-08-03,-1.0827110092938654
571247,apple inc,2018-08-04,-1.53721682847896
571621,apple inc,2018-08-05,-2.891337455066205
571964,apple inc,2018-08-06,-5.562001118183459
572526,apple inc,2018-08-07,-0.2441030295341238
573049,apple inc,2018-08-08,-0.9868228424980674
573552,apple inc,2018-08-09,-1.4210800793011054
573999,apple inc,2018-08-10,0.733915220607518
574514,apple inc,2018-08-11,-0.7524806526465803
574965,apple inc,2018-08-12,-0.07237146827234847
575384,apple inc,2018-08-13,-1.7155959447167428
575838,apple inc,2018-08-14,-0.737100737100737
576368,apple inc,2018-08-15,-2.7446394501026075
576804,apple inc,2018-08-16,-3.7824794265425696
577379,apple inc,2018-08-17,-0.337837837837838
577730,apple inc,2018-08-18,-0.3481530555298796
578171,apple inc,2018-08-19,-4.43740489819578
578662,apple inc,2018-08-20,-0.9384886105121282
579084,apple inc,2018-08-21,-0.4481349566365949
579601,apple inc,2018-08-22,0.1806809229760707
580142,apple inc,2018-08-23,-2.0726796557887415
580621,apple inc,2018-08-24,-2.0765233814883075
581103,apple inc,2018-08-25,0.72463768115942
581540,apple inc,2018-08-26,0.0934579439252339
