,0
0,"http://www.american-reporter.com/5,232/472.html"
1,http://www.afr.com/news/world/us-identifies-insider-trading-ring-including-ukraine-hackers-20150811-giwo0v
2,http://www.quamnet.com/newscolumnistcontent.action?request_locale=EN_US&authorCode=COL_MPE&articleId=4318479
3,http://bloomberg.finanza.repubblica.it/Notizie/Article?documentKey=1376-NSW89ESYF01S01-4NPFFMP423741CU5SH3P90KIG6
4,http://www.bloomberg.com/news/articles/2015-08-11/u-s-identifies-insider-trading-ring-including-ukraine-hackers
5,http://bloomberg.finanza.repubblica.it/Notizie/Article?documentKey=1376-NSW89ESYF01S01-3USIBHDNH5OVAHIU55220R9LHT
6,http://www.sltrib.com/home/2825558-155/news-roundup-cruz-lee-on-opposite
7,http://www.bloomberg.com/news/articles/2015-08-11/the-cyber-insider-mystery-money-manager-arrested-in-hacking
8,http://www.iol.co.za:80/business/international/us-identifies-insider-trading-ring-1.1898182
9,http://www.businessinsider.com.au/alleged-insider-trading-ring-involving-press-releases-2015-8
10,http://www.theglobeandmail.com/report-on-business/international-business/us-business/us-prosecutors-bring-criminal-case-over-hacking-insider-trading/article25922638/
11,http://news.lycos.com/technology/us-charges-nine-in-hacking-insider-trading-scheme-e74a7aea848435d7bd647c355adaa58d/
12,http://spendmatters.com/2015/08/11/infor-to-acquire-gt-nexus-erp-global-trade-new-network-vision/
13,http://newsdaily.com/2015/08/five-arrested-in-insider-trading-hacking-scheme-fbi/
14,http://www.channelnewsasia.com/news/business/us-charges-nine-in/2043628.html
15,http://patch.com/pennsylvania/springfield-pa/s/f6jwi/delaware-county-man-charged-in-30-million-stock-trading-scheme
16,https://au.news.yahoo.com/thewest/business/technology/a/29237545/nine-charged-in-u-s-insider-trading-scheme-involving-hackers/
17,https://au.news.yahoo.com/thewest/business/technology/a/29237864/us-busts-hacking-insider-trading-ring/
18,http://www.wdam.com/story/29758499/9-accused-of-making-30-million-using-hacked-press-releases
19,http://www.star-telegram.com/news/nation-world/national/article30683643.html
20,http://www.channelnewsasia.com/news/business/international/us-busts-hacking-insider/2044146.html
21,http://www.thefrontierpost.com/article/325637/us-busts-hacking-insider-trading-ring/
22,http://tribune.com.pk/story/936401/us-charges-nine-for-hacking-insider-trading-scheme/
23,http://www.ocregister.com/articles/hackers-676993-news-stock.html
24,http://www.mcall.com/news/nationworld/ct-insider-trading-hacking-20150811-story.html
25,http://www.actionnewsjax.com/news/ap/business/feds-group-made-30m-with-hacked-press-release-info/nnHMY/
26,http://www.newstimes.com/business/technology/article/Feds-Group-made-30M-with-hacked-press-release-6437311.php
27,http://www.timesfreepress.com/news/national/georgia/story/2015/aug/11/9-accused-making-30-milliusing-hacked-press-r/319314/
28,http://jpupdates.com/2015/08/11/fbifive-arrested-in-insider-trading-hacking-scheme/
29,http://hosted2.ap.org/APDEFAULT/3d281c11a96b4ad082fe88aa0db04305/Article_2015-08-11-US-Insider-Trading-Hacking/id-9e7c0f0b730f46ee830d185b277b7f01
30,http://www.irishtimes.com/business/technology/nine-charged-in-us-over-30m-hacking-scheme-1.2313865
31,http://www.valleymorningstar.com/news/business_news/article_0f21e659-2a65-554c-aced-df178007ab27.html
32,http://www.stockhouse.com/news/newswire/2015/08/11/$100m-press-release-hacking-scheme-brought-down-us-feds
33,http://www.cjad.com/BusinessCP/Article.aspx?id=476159
34,http://www.itbusinessnet.com/articles/viewarticle.jsp?id=4017951
35,http://www.northjersey.com/news/feds-hacking-ring-accused-of-making-100m-on-stolen-news-releases-1.1390383
36,http://thecabin.net/news/2015-08-11/9-accused-making-30-million-using-hacked-press-releases
37,http://politickernj.com/2015/08/feds-charge-nine-in-international-hacking-scheme/
38,http://qctimes.com/business/hacking-ring-accused-of-making-m-on-stolen-news-releases/article_531f7b6b-1d5b-5a0d-936f-af2770e96c9b.html
39,http://www.reuters.com/article/2015/08/11/cybersecurity-hacking-stocks-update-5-pi-idUSL1N10M05H20150811
40,http://www.live5news.com/story/29758499/hacking-ring-accused-of-making-100m-on-stolen-news-releases
41,http://poststar.com/news/state-and-regional/hacking-ring-accused-of-making-m-on-stolen-news-releases/article_8a20abc0-5e17-56d7-982c-312126abeb16.html
42,http://www.businessinsider.com/ap-hacking-ring-accused-of-making-100m-on-stolen-news-releases-2015-8
43,http://www.myfoxal.com/story/29758499/hacking-ring-accused-of-making-100m-on-stolen-news-releases
44,http://news.wbt.com/newsroom/article.cfm?id=1ecfbc4249d541ec84893470fe1d8cb1&code=32570&class=0
45,http://www.reuters.com/article/2015/08/11/cybersecurity-hacking-stocks-idUSL1N10M0GY20150811
46,http://www.roanoke.com/news/wire_headlines/hacking-ring-accused-of-making-m-on-stolen-news-releases/article_34966f15-cfc8-515a-a396-2d1d7898686c.html
47,http://accesswdun.com/article/2015/8/328701
