,0
0,http://isp.netscape.com/news/story.jsp?idq=/ff/story/0002/20170826/KCN1B409K_38.htm
1,http://www.msn.com/en-us/news/us/harvey-makes-landfall-in-texas-as-category-4-hurricane/ar-AAqH4QT
2,http://www.dnaindia.com/world/report-hurricane-harvey-makes-strong-landfall-in-texas-as-category-4-hurricane-2540777
3,http://baltimore.cbslocal.com/2017/08/25/gas-prices-rise-flights-stall-harvey-nears/
4,http://www.msn.com/en-in/news/world/harvey-bears-down-on-texas-as-category-4-hurricane-trump-signs-disaster-proclamation/ar-AAqIhvk
5,https://www.onenewsnow.com/ap/united-states/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
6,https://in.newshub.org/harvey-makes-landfall-texas-category-4-hurricane-27262837.html
7,https://www.investing.com/news/commodities-news/harvey-barrels-into-texas-as-category-4-hurricane-522694
8,http://zeenews.india.com/world/harvey-bears-down-on-texas-as-category-4-hurricane-2036477.html
9,http://www.thesundaily.my/news/2017/08/26/harvey-roars-toward-texas-category-4-hurricane
10,http://isp.netscape.com/news/story.jsp?idq=/ff/story/0002/20170826/KCN1B6066_1.htm
11,https://www.timesofmalta.com/articles/view/20170826/world/life-threatening-hurricane-barrels-into-texas.656491
12,https://www.therecord.com/news-story/7521893-gas-prices-rise-flights-stall-as-hurricane-harvey-nears/
13,http://wkzo.com/news/articles/2017/aug/26/harvey-barrels-into-texas-as-category-4-hurricane/
14,http://naplesherald.com/2017/08/25/gas-prices-rise-flights-stall-hurricane-harvey-nears/
15,http://www.reuters.com/article/us-storm-harvey-idUSKCN1B6066
16,http://newscame.com/2017/08/26/hurricane-harve%D1%83-upgraded-t%D0%BE-categ%D0%BEr%D1%83-4-th%D0%BEusands-in-texas-flee/
17,http://www.wsbradio.com/business/gas-prices-rise-flights-stall-hurricane-harvey-nears/4JSqwklyxTj3u58YekeolL/
18,http://www.nydailynews.com/newswires/news/national/harvey-bears-texas-category-4-hurricane-article-1.3438638
19,https://www.aol.com/article/weather/2017/08/25/hurricane-harvey-strengthens-into-category-4-hurricane-threatens-record-flooding-in-texas/23185882/
20,http://www.sharenet.co.za/news/Harvey_barrels_into_Texas_as_Category_4_hurricane/e6df6ca6bfa4e18a3c65f283e76c1263
21,http://www.deccanchronicle.com/world/america/260817/harvey-makes-landfall-in-texas-as-category-4-hurricane.html
22,https://www.yahoo.com/news/harvey-bears-down-texas-category-4-hurricane-002005566--finance.html
23,http://www.gmanetwork.com/news/news/world/623417/harvey-barrels-into-texas-as-category-4-hurricane/story/
24,http://www.independent.ie/world-news/north-america/hurricane-harvey-major-disaster-feared-as-category-4-storm-makes-landfall-in-texas-36070928.html
25,http://www.msn.com/en-us/news/us/harvey-barrels-into-texas-as-category-4-hurricane/ar-AAqH4QT
26,http://aaj.tv/2017/08/harvey-makes-landfall-in-texas-as-category-4-hurricane/
27,http://www.channelnewsasia.com/news/world/harvey-barrels-into-texas-as-category-4-hurricane-9159762
28,http://www.thehindubusinessline.com/news/world/harvey-barrels-into-texas-as-category-4-hurricane/article9831389.ece
29,http://news.trust.org/item/20170826064326-1y58u
30,http://www.france24.com/en/20170826-usa-harvey-barrels-texas-category-4-hurricane
31,https://www.reuters.com/article/us-storm-harvey-idUSKCN1B6066
32,http://www.texasmonthly.com/energy/week-texas-energy-texas-energy-companies-prepare-hurricane-harvey/
33,http://www.meridianstar.com/region/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_718f1bc7-649c-5c98-806e-a62341e76d37.html
34,https://japantoday.com/category/world/update-8-hurricane-harvey-strengthens-threatens-record-flooding-in-texas-1
35,http://www.djournal.com/news/around-mississippi/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_0005dec9-0e6f-570d-af61-aae492c0479e.html
36,http://www.unionleader.com/weather/hurricane-harvey-strengthens-most-powerful-storm-dozen-years-texas-facing-up-to-35-of-rain-20170825
37,http://www.rawstory.com/2017/08/hurricane-harvey-upgraded-to-category-4-thousands-in-texas-flee/
38,http://www.msn.com/en-us/news/us/harvey-strengthens-into-a-category-4-hurricane/ar-AAqH4QT
39,http://www.chieftain.com/news/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_69407b12-b6a4-5d6a-bfd1-051ea975c7a3.html
40,https://www.iol.co.za/news/world/look-harvey-barrels-into-texas-as-category-4-hurricane-10946622
41,http://in-cyprus.com/harvey-barrels-into-texas-as-category-4-hurricane/
42,http://wtvbam.com/news/articles/2017/aug/26/harvey-barrels-into-texas-as-category-4-hurricane/
43,https://www.timeslive.co.za/news/world/2017-08-26-harvey-barrels-into-texas-as-category-4-hurricane/
44,http://www.theepochtimes.com/n3/2286759-hurricane-harvey-makes-landfall/
45,http://in.newshub.org/hurricane-harvey-bears-down-texas-intensity-increases-category-4-27262623.html
46,http://www.ndtv.com/world-news/harvey-makes-landfall-in-texas-as-category-4-hurricane-1742239
47,https://www.stabroeknews.com/2017/news/world/08/26/harvey-roars-toward-texas-as-category-4-hurricane/
48,http://news.lycos.com/topnews/harvey-makes-landfall-in-texas-as-category-4-hurricane-4961cc8f65a97a2ec895b5ae3e335eab/
49,http://www.ndtv.com/world-news/hurricane-harvey-bears-down-on-texas-as-intensity-increases-to-category-4-1742230
50,http://www.msn.com/en-nz/news/us/harvey-bears-down-on-texas-as-category-4-hurricane-trump-signs-disaster-proclamation/ar-AAqIf07
51,https://uk.reuters.com/article/uk-storm-harvey-idUKKCN1B50G4
52,http://www.nwitimes.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_f26ed328-6fb9-5c11-812b-01f5c0ece8c4.html
53,http://www.themalaymailonline.com/world/article/harvey-roars-toward-texas-as-category-4-hurricane
54,https://finance.yahoo.com/news/gas-prices-rise-flights-stall-212124073.html
55,http://www.nydailynews.com/newswires/news/national/harvey-roars-texas-category-4-hurricane-article-1.3438638
56,http://english.manoramaonline.com/news/world/2017/08/26/us-hurricane-category-rise-landfall-friday.html
57,http://www.msn.com/en-ca/weather/topstories/harvey-bears-down-on-texas-as-category-4-hurricane/ar-AAqImhk
58,http://www.thefinancialexpress-bd.com/2017/08/26/80740/Harvey-hits-Texas-as-Category-4-hurricane
59,http://www.hindustantimes.com/world-news/harvey-makes-landfall-in-texas-as-category-4-hurricane/story-5S78xy0ZlVDqFUtlW2u4lO.html
60,http://udaipurkiran.com/harvey-makes-landfall-in-texas-as-category-4-hurricane/
61,https://ca.reuters.com/article/topNews/idCAKCN1B409K-OCATP
62,http://www.nydailynews.com/newswires/news/national/harvey-landfall-texas-category-4-hurricane-article-1.3438638
63,http://www.channelnewsasia.com/news/world/harvey-makes-landfall-in-texas-as-category-4-hurricane-9159762
64,http://wnmtradio.com/news/articles/2017/aug/26/harvey-barrels-into-texas-as-category-4-hurricane/
65,https://japantoday.com/category/world/Hurricane-slams-into-Texas
66,http://kstp.com/business/hurrican-harvey-gas-prices-flights/4587133/?cat=12685
67,http://www.times-news.com/news/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_6c951626-536d-56f3-a7e9-1ae83c8226c2.html
68,http://isp.netscape.com/news/story.jsp?idq=/ff/story/0002/20170826/KCN1B409K_31.htm
69,http://kstp.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/4587127/?cat=140
70,http://kstp.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/4587128/?cat=140
71,https://www.cnbc.com/2017/08/25/reuters-america-update-13-harvey-bears-down-on-texas-as-category-4-hurricane.html
72,http://www.channelnewsasia.com/news/world/harvey-roars-toward-texas-as-category-4-hurricane-9159762
73,http://www.msn.com/en-us/news/us/harvey-bears-down-on-texas-as-category-4-hurricane/ar-AAqH4QT
74,http://www.afr.com/news/world/north-america/hurricane-bears-down-on-texas-extensive-damage-expected-20170826-gy4qtm
75,http://cbsaustin.com/news/local/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
76,http://ewn.co.za/2017/08/26/harvey-barrels-into-texas-as-category-4-hurricane
77,http://www.independent.ie/world-news/north-america/hurricane-harvey-national-disaster-declared-as-130mph-winds-and-40-of-rain-hit-and-worse-to-come-36070928.html
78,http://www.gulf-times.com/story/561604/Harvey-barrels-into-Texas-as-Category-4-hurricane
79,http://timesofoman.com/article/115819/World/America/Category-4-hurricane-hits-Texas-coast-Friday-night-as-residents-flee-most-powerful-storm-on-US-mainl
80,http://www.fbherald.com/free/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_dfb481db-8235-58e0-9c01-549a1adf5938.html
81,http://www.nydailynews.com/newswires/news/national/hurricane-harvey-upgraded-category-4-thousands-texas-flee-article-1.3438638
82,http://timesofindia.indiatimes.com/business/international-business/hurricane-harvey-upgraded-to-category-4-thousands-in-texas-flee/articleshow/60228576.cms
83,https://www.cnbc.com/2017/08/25/reuters-america-update-12-harvey-bears-down-on-texas-as-category-4-hurricane.html
84,http://westchester.news12.com/story/36220215/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
85,http://kdow.biz/news/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears
86,https://in.reuters.com/article/storm-harvey-idINKCN1B41RR
87,http://www.thehindu.com/news/international/harvey-makes-landfall-in-texas-as-category-4-hurricane/article19564190.ece
88,http://bdnews24.com/world/2017/08/26/category-4-hurricane-harvey-roars-toward-texas
89,https://www.nbcnews.com/storyline/hurricane-harvey/hurricane-harvey-evacuations-residents-college-students-warned-stay-away-n795891?cid=public-rss_20170826
90,http://www.thegazette.com/subject/news/nation-and-world/hurricane-harvey-upgraded-to-category-4-thousands-in-texas-flee-20170825
91,https://www.cnbc.com/2017/08/25/reuters-america-update-16-harvey-makes-landfall-in-texas-as-category-4-hurricane.html
92,http://news.thaivisa.com/article/8527/hurricane-harvey-upgraded-to-category-4-thousands-in-texas-flee
93,http://www.wohfradio.com/business-news/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/
94,https://www.cnbc.com/2017/08/25/reuters-america-update-15-harvey-roars-toward-texas-as-category-4-hurricane.html
95,https://www.iol.co.za/news/world/powerful-hurricaneharvey-slows-after-battering-texas-coast-10948816
96,http://www.presstv.ir/Detail/2017/08/26/533006/Powerful-Hurricane-Harvey-slows-after-battering-Texas-coast
97,http://www.stltoday.com/business/gas-prices-rise-flights-stall-as-hurricane-harvey-nears/article_fa36deed-e8cc-555b-b2ab-d3740d0d8d3c.html
98,http://www.theprovince.com/business/prices+rise+flights+stall+hurricane+harvey+nears/14366472/story.html
99,http://livenewscentral.com/2017/08/26/gas-prices-rise-flights-stall-as-hurricane-harvey-nears-2/
100,http://www.interaksyon.com/thousands-flee-in-txas-as-hurricane-harvey-threatens-record-flooding/
101,http://www.bostonherald.com/news/national/2017/08/gas_prices_rise_flights_stall_as_hurricane_harvey_nears
102,http://indianexpress.com/article/world/hurricane-harvey-upgraded-to-category-4-thousands-in-texas-flee-4814032/
103,http://accesswdun.com/article/2017/8/574297
104,https://www.cnbc.com/2017/08/25/reuters-america-update-14-harvey-bears-down-on-texas-as-category-4-hurricane.html
105,https://news.trust.org/item/20170825063751-8xhth
106,http://www.channelnewsasia.com/news/world/harvey-bears-down-on-texas-as-category-4-hurricane-9157086
107,https://www.theglobeandmail.com/news/world/hurricane-harvey-bashes-into-texas-now-downgraded-to-category-2/article36093927/
108,http://www.nydailynews.com/newswires/news/national/harvey-barrels-texas-category-4-hurricane-article-1.3444364
109,http://www.channelnewsasia.com/news/world/hurricane-harvey-slows-after-bashing-into-texas-9160340
110,http://www.independent.co.uk/news/world/americas/life-threatening-130mph-winds-batter-texas-as-hurricane-harvey-hits-us-coast-a7913776.html
111,http://isp.netscape.com/news/story.jsp?idq=/ff/story/0002/20170826/KCN1B6066_5.htm
112,http://www.msn.com/en-us/news/us/still-powerful-hurricane-harvey-slows-after-bashing-into-texas/ar-AAqH4QT
113,https://www.thesouthafrican.com/hurricane-harvey-storm-makes-landfall-in-texas-as-a-category-4/
114,https://thehimalayantimes.com/world/harvey-barrels-texas-category-4-hurricane/
115,http://indianexpress.com/article/world/harvey-makes-landfall-in-texas-as-category-4-hurricane-4814140/
116,http://www.nydailynews.com/newswires/news/national/harvey-barrels-texas-category-4-hurricane-article-1.3438638
117,http://english.astroawani.com/world-news/harvey-roars-toward-texas-category-4-hurricane-153488
118,http://www.thehansindia.com/posts/index/International/2017-08-26/Harvey-Makes-Landfall-In-Texas-As-Category-4-Hurricane/321822
119,http://www.rawstory.com/2017/08/still-powerful-hurricane-harvey-downgraded-to-a-category-2-storm/
120,http://www.seattletimes.com/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
121,http://www.sfgate.com/news/texas/article/Hurricane-Harvey-closes-key-oil-gas-operations-11972571.php
122,https://finance.yahoo.com/news/harvey-barrels-texas-category-4-063842478.html
123,http://www.startribune.com/hurricane-harvey-closes-key-oil-gas-operations-in-texas/441812793/
124,http://www.greensboro.com/ap/us_world/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_a3ded71b-333b-54cd-a24c-bf796ca2273a.html
125,http://www.dailymail.co.uk/wires/ap/article-4825994/Hurricane-Harvey-closes-key-oil-gas-operations-Texas.html
126,https://www.stripes.com/news/us/prepare-to-pay-at-the-pump-as-harvey-closes-key-oil-gas-operations-in-texas-1.484615
127,http://www.enewscourier.com/news/state_and_nation/update-hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_dae2ceca-8a85-11e7-b616-d7deeb5250c8.html
128,http://chippewa.com/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_a06d5e5d-7455-53c0-830b-ddfe62fefbd4.html
129,https://www.charismanews.com/us/67024-hurricane-harvey-weakens-after-battering-texas-coast-but-flood-threat-rises
130,http://wsbt.com/news/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas-08-26-2017
131,http://www.fredericksburg.com/business/business-wire/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_d6b531e3-6c83-52bb-bbe3-9ce80317095b.html
132,http://www.actionnewsjax.com/news/hurricane-harvey-closes-key-oil-gas-operations-in-texas/598521474
133,http://www.theepochtimes.com/n3/2286843-flood-threat-rises-as-harvey-dumps-torrential-rains-on-texas/
134,http://www.telegraph.co.uk/news/2017/08/26/hurricane-harvey-130mph-winds-surging-waters-bring-major-damage/
135,http://english.astroawani.com/world-news/hurricane-harvey-weakens-after-battering-texas-coast-153557
136,https://www.cnbc.com/2017/08/26/reuters-america-update-4-powerful-hurricane-harvey-slows-after-battering-texas-coast.html
137,https://www.cnbc.com/2017/08/26/reuters-america-update-1-harvey-barrels-into-texas-as-category-4-hurricane.html
138,https://www.cnbc.com/2017/08/26/reuters-america-update-5-hurricane-harvey-weakens-after-battering-texas-coast.html
139,http://www.elpasoinc.com/news/ap_wire/us/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_4af500cd-b5f8-5aeb-8bc9-3dadc2538782.html
140,https://www.1065thearch.com/2017/08/26/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
141,http://www.philly.com/philly/news/breaking/20170826_ap_4c44cc83ec8841e2a857afe7e09ad2fb.html
142,http://www.rep-am.com/news/2017/08/26/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
143,http://www.chieftain.com/news/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_1dbd3cfb-d025-53f2-b177-8822506140f7.html
144,http://globalnews.ca/news/3698326/hurricane-harvey-oil-gas-operations-texas-gulf-coast/
145,http://www.omaha.com/weather/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_b948704c-8a8c-11e7-8309-afe3d538b3c4.html
146,http://www.myrtlebeachonline.com/news/business/article169564297.html
147,http://accesswdun.com/article/2017/8/574548
148,http://www.wwl.com/articles/ap-news/hurricane-harvey-closes-key-oil-gas-operations-texas-0
149,http://woodtv.com/2017/08/26/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
150,https://www.washingtonpost.com/business/hurricane-harvey-closes-key-oil-gas-operations-in-texas/2017/08/26/f99360ea-8a8b-11e7-96a7-d178cf3524eb_story.html
151,https://www.cnbc.com/2017/08/26/hurricane-harvey-closes-key-oil-and-gas-facilities-in-texas.html
152,http://nationalpost.com/pmn/news-pmn/hurricane-harvey-closes-key-oil-gas-operations-in-texas
153,http://www.newsobserver.com/news/business/article169564297.html
154,http://ewn.co.za/2017/08/26/flood-threat-rises-as-harvey-dumps-torrential-rains-on-texas
155,http://abcnews.go.com/US/wireStory/hurricane-harvey-closes-key-oil-gas-operations-texas-49438804
156,http://www.nbcphiladelphia.com/news/national-international/Hurricane-Harvey-closes-key-oil-gas-operations-in-Texas-441814153.html
157,http://www.idahostatesman.com/news/business/article169564297.html
158,http://www.kansas.com/news/business/article169564297.html
159,http://www.whio.com/news/hurricane-harvey-closes-key-oil-gas-operations-texas/yuiIUWAQl1SJZ1VGdiSsqJ/
160,http://www.kansascity.com/news/business/national-international/article169564297.html
161,http://www.charlotteobserver.com/news/business/national-business/article169564297.html
162,http://www.wfmz.com/news/ap-national/hurricane-harvey-closes-key-oil-gas-operations-in-texas/612836789
163,http://www.spokesman.com/stories/2017/aug/26/hurricane-harvey-closes-key-oil-gas-operations-in-/
164,http://fox21news.com/ap/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
165,http://www.calgaryherald.com/business/hurricane+harvey+closes+operations+texas/14371225/story.html
166,http://powersource.post-gazette.com/powersource/latest-oil-and-gas/2017/08/26/Hurricane-Harvey-closes-key-oil-gas-operations-in-Texas-1/stories/201708260108
167,http://www.modbee.com/news/business/article169564297.html
168,http://www.star-telegram.com/news/politics-government/national-politics/article169564297.html
169,http://www.statesman.com/business/hurricane-harvey-closes-key-oil-gas-operations-texas/mmrn7Vl2xCI4CfVLzIEkrJ/
170,https://www.bostonglobe.com/business/2017/08/26/hurricane-harvey-closes-key-oil-gas-operations-texas/nvw8dwieTjyizoV674S2yO/story.html
171,http://wtop.com/business-finance/2017/08/hurricane-harvey-closes-key-oil-gas-operations-in-texas/
172,http://www.newser.com/article/e64f48f2ba724881b240ff5837fc1ca5/hurricane-harvey-closes-key-oil-gas-operations-in-texas.html
173,http://www.heraldcourier.com/news/national/hurricane-harvey-closes-key-oil-gas-operations-in-texas/article_78dac5e0-1ce7-536e-ac04-540607d4f62c.html
174,http://news4sanantonio.com/news/local/hurricane-harvey-closes-key-oil-gas-operations-in-texas-08-26-2017-190528908
