,0
0,https://www.brproud.com/news/national/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine/1609501123
1,https://www.thedailytimes.com/news/nation_world/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_31bb6d0d-1dea-527d-9657-7ddbc46d88a2.html
2,https://www.dailymail.co.uk/wires/ap/article-6411479/Citing-E-coli-outbreak-US-officials-say-dont-eat-romaine.html
3,https://www.wric.com/news/national/americans-canadians-are-warned-dont-eat-romaine-lettuce/1609504368
4,http://www.journalgazette.net/news/20181121/officials-urge-romaine-to-be-thrown-away
5,http://www.dailypress.com/health/ct-hlth-romaine-lettuce-e-coli-20181120-story.html
6,https://www.star-telegram.com/news/nation-world/national/article221969175.html
7,http://www.fox46charlotte.com/news/citing-e-coli-outbreak-us-officials-say-don-t-eat-romaine
8,https://www.ourmidland.com/news/medical/article/E-coli-outbreak-romaine-lettuce-safe-to-eat-cdc-13409363.php
9,http://english.sina.com/culture/hea/2018-11-21/detail-ihmutuec2218044.shtml
10,https://www.news-star.com/news/20181120/americans-canadians-are-warned-dont-eat-romaine-lettuce
11,https://www.kob.com/health-news/people-in-us-canada-warned-to-not-eat-romaine-lettuce/5151668/?cat=649
12,https://www.mineralwellsindex.com/cnhi_network/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_8e67c497-5153-5f0f-8b7a-b7611ae70ac7.html
13,http://www.manufacturing.net/news/2018/11/americans-canadians-are-warned-dont-eat-romaine-lettuce
14,http://www.baynews9.com/fl/tampa/ap-top-news/2018/11/20/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine
15,https://thecourier.com/national-news/2018/11/20/americans-canadians-are-warned-dont-eat-romaine-lettuce/
16,http://www.wrcbtv.com/story/39516124/americans-canadians-are-warned-not-to-eat-romaine-lettuce
17,https://www.nbcnews.com/health/health-news/jennie-o-recalling-ground-turkey-salmonella-outbreak-n937261?cid=public-rss_20181121
18,https://www.khaleejtimes.com/international/americas/do-not-eating-romaine-lettuce-health-officials-warn
19,https://www.daytondailynews.com/news/americans-canadians-are-warned-don-eat-romaine-lettuce/AsQN8QI0aLIRv042ZAOV1K/
20,https://www.vnews.com/Americans-and-Canadians-are-warned-Don-t-eat-romaine-lettuce-21687325
21,https://m.lasvegassun.com/news/2018/nov/20/citing-e-coli-outbreak-us-officials-say-dont-eat-r/
22,http://www.krgv.com/story/39517932/americans-canadians-are-warned-dont-eat-romaine-lettuce
23,http://www.krgv.com/story/39517985/jennie-o-recalling-ground-turkey-in-salmonella-outbreak
24,http://www.krgv.com/story/39517985/jennie-o-recalling-ground-turkey-in-salmonella-outbreak
25,https://www.kron4.com/news/strange/americans-urged-not-to-eat-romaine-lettuce-due-to-new-food-poisoning-outbreak/1609496453
26,https://www.theindependent.com/news/national/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_8d6e83a8-6811-5666-aa78-ef01255c0549.html
27,https://www.winnipegfreepress.com/arts-and-life/life/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine-500948412.html
28,https://www.moultrieobserver.com/cnhi_network/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_a27928a4-b615-5ce5-947a-9b529cbb0530.html
29,https://www.beaumontenterprise.com/news/medical/article/E-coli-outbreak-romaine-lettuce-safe-to-eat-cdc-13409363.php
30,https://www.greensboro.com/business/nation_world_ap/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_9ca1491e-8665-5130-b013-afea903ccc80.html
31,http://www.startribune.com/citing-e-coli-outbreak-us-officials-say-don-t-eat-romaine/500948881/
32,https://www.godanriver.com/work_it_sova/news/wire/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_48fe1878-17c4-5b5f-9457-2f94e8c033e5.html
33,https://www.mytwintiers.com/news/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine/1609502614
34,http://www.fox19.com/2018/11/20/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine/
35,https://www.wpri.com/call-12-for-action/recalls-and-warnings/citing-e-coli-outbreak-us-officials-say-don-t-eat-romaine/1609529665
36,http://www.southernminn.com/waseca_county_news/news/nation/article_a6eaacc3-6672-5af0-adc5-43a87f6734ce.html
37,https://www.11alive.com/article/news/verify-what-you-should-know-about-the-salmonella-outbreak-in-turkey/507-616338954
38,https://www.wytv.com/news/citing-e-coli-outbreak-us-officials-say-don-t-eat-romaine/1609817073
39,https://www.woodwardnews.net/cnhi_network/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_0dfdb3a6-fe87-515d-ac7a-d8114c9cd924.html
40,https://www.hjnews.com/nation/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_a0eb7655-95ab-5c5e-9ace-04662e77e770.html
41,http://www.suncommercial.com/news/article_6652a1ec-ecff-11e8-bcb7-8be8390cc6f5.html
42,https://www.washingtonpost.com/national/health-science/americans-canadians-are-warned-not-to-eat-romaine-lettuce/2018/11/20/27e1171a-ed39-11e8-8b47-bd0975fd6199_story.html
43,https://www.heraldnet.com/nation-world/americans-canadians-are-warned-dont-eat-romaine-lettuce/
44,https://www.reddeeradvocate.com/life/canadians-americans-warned-not-to-eat-romaine-lettuce/
45,https://tylerpaper.com/news/national/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_60445b86-ed15-11e8-aa8e-0fe1aae975de.html
46,https://thebusinessjournal.com/americans-canadians-are-warned-dont-eat-romaine-lettuce/
47,https://magicvalley.com/lifestyles/food-and-cooking/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_61c65768-62d4-5b07-8185-2f3261a41ede.html
48,http://www.therepublic.com/2018/11/20/us-med-lettuce-outbreak/
49,https://www.nbcdfw.com/news/national-international/500947762.html
50,https://www.ktbs.com/news/national/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_831a6de4-981d-5a9e-a2a1-f80f8b4048a7.html
51,https://www.recordernews.com/news/nationworld/139055
52,https://www.timestelegram.com/news/20181120/americans-canadians-are-warned-dont-eat-romaine-lettuce
53,https://www.kusi.com/americans-canadians-are-warned-dont-eat-romaine-lettuce/
54,https://www.readingeagle.com/news/article/health-officials-urge-americans-to-avoid-eating-romaine-lettuce-citing-e-coli-outbreak
55,http://www.capitalpress.com/California/20181120/americans-canadians-are-warned-dont-eat-romaine-lettuce
56,https://www.hjnews.com/nation/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_a0eb7655-95ab-5c5e-9ace-04662e77e770.html
57,https://www.ksl.com/article/46431811/americans-canadians-are-warned-not-to-eat-romaine-lettuce
58,https://www.daytondailynews.com/news/americans-canadians-are-warned-not-eat-romaine-lettuce/AsQN8QI0aLIRv042ZAOV1K/
59,http://www.canoncitydailyrecord.com/news/canoncity-local-news/ci_32284121/colorado-grocers-restaurants-pull-romaine-lettuce-fda-warns
60,https://blackamericaweb.com/2018/11/21/thanksgiving-alert-no-romaine-lettuce/
61,http://ktar.com/story/2317621/us-canadian-officials-warn-against-eating-romaine-lettuce-due-to-e-coli/
62,https://www.ktrs.com/americans-canadians-are-warned-dont-eat-romaine-lettuce/
63,http://www.sunjournal.com/americans-canadians-are-warned-dont-eat-romaine-lettuce/
64,https://www.washingtonpost.com/national/health-science/americans-canadians-are-warned-dont-eat-romaine-lettuce/2018/11/20/1697f1ce-ed23-11e8-8b47-bd0975fd6199_story.html
65,https://www.gillettenewsrecord.com/news/national_world/article_6eaf17b4-00a3-5cce-92b4-22262c6d06eb.html
66,https://www.standard.net/lifestyle/food/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_0bf34044-8446-52de-a8d4-fd05db2b442a.html
67,https://www.ktbs.com/news/business/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_831a6de4-981d-5a9e-a2a1-f80f8b4048a7.html
68,https://www.stripes.com/news/us/americans-canadians-are-warned-not-to-eat-romaine-lettuce-1.557480
69,https://www.northjersey.com/story/news/health/2018/11/20/e-coli-outbreak-dont-eat-romaine-lettuce/2073133002/
70,https://www.greensboro.com/business/nation_world_ap/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_9ca1491e-8665-5130-b013-afea903ccc80.html
71,https://www.sj-r.com/news/20181120/americans-canadians-are-warned-dont-eat-romaine-lettuce
72,https://www.msn.com/en-us/foodanddrink/foodnews/americans-canadians-are-warned-not-to-eat-romaine-lettuce/ar-BBPVkj5
73,https://www.wacotrib.com/news/ap_nation/headlines/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_ff7e0861-4d19-5da2-903c-c8951879aac7.html
74,https://www.theolympian.com/latest-news/article221969175.html
75,https://www.clickondetroit.com/health/romaine-lettuce-warning-americans-canadians-warned-not-to-eat-it-due-to-e-coli
76,https://whdh.com/news/americans-canadians-warned-not-to-eat-romaine-lettuce/
77,https://www.dispatch.com/news/20181121/dont-eat-romaine-lettuce-amid-e-coli-outbreak-fda-warns
78,http://www.nbc12.com/2018/11/20/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine/
79,https://z955.com/news/030030-dont-eat-the-romaine-lettuce-this-thanksgiving/
80,https://www.wral.com/citing-e-coli-outbreak-us-officials-say-don-t-eat-romaine/18010211/
81,http://kpel965.com/americans-canadians-are-warned-not-to-eat-romaine-lettuce/
82,https://nationalpost.com/news/world/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine
83,https://www.kyma.com/news/e-coli-outbreak-fda-working-with-officials-32-sick-in-11-states/880121410
84,https://www.whec.com/health/people-in-us-canada-warned-to-not-eat-romaine-lettuce/5151673/?cat=565
85,https://www.jhnewsandguide.com/jackson_hole_daily/state_and_regional/article_e6387f32-b8f1-5037-a3c3-8284db469a4f.html
86,http://www.newindianexpress.com/world/2018/nov/21/amid-e-coli-outbreak-americans-canadians-are-warned-not-to-eat-romaine-lettuce-1901261.html
87,https://www.tnonline.com/warning-stay-away-romaine-lettuce
88,https://www.enterprisenews.com/news/20181121/romaine-calm---but-dont-eat-lettuce-brockton
89,http://www.adirondackdailyenterprise.com/news/local-news/2018/11/dont-eat-romaine-lettuce-americans-and-canadians-are-warned/
90,https://www.cp24.com/world/americans-canadians-warned-to-not-eat-romaine-lettuce-due-to-e-coli-outbreak-1.4185201
91,https://www.wtoc.com/2018/11/20/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine/
92,http://www.cdispatch.com/news/article.asp?aid=70025
93,https://www.yourbasin.com/news/people-in-us-canada-warned-to-not-eat-romaine-lettuce/1611075043
94,https://www.dailyherald.com/article/20181120/news/311209894
95,http://www.hngnews.com/sun_prairie_star/community/article_50ddeba2-c45e-5b19-ae30-8307d4df7d5d.html
96,https://lmtribune.com/editors_pick/fda-don-t-eat-romaine-lettuce/article_9f5d4c9b-cb91-58d4-afe1-0c92b3106975.html
97,https://www.wtnh.com/news/health/americans-canadians-are-warned-not-to-eat-romaine-lettuce/1611334690
98,https://www.truthdig.com/articles/e-coli-outbreak-brings-nationwide-warning-on-romaine-lettuce/
99,http://www.manufacturing.net/news/2018/11/why-salmonella-outbreak-shouldnt-ruin-your-thanksgiving
100,http://www.williamsnews.com/news/2018/nov/21/e-coli-warning-issued-dont-eat-romaine-lettuce/
101,https://seekingalpha.com/article/4223838-taking-bite-tyson-foods
102,https://www.wnct.com/news/national/why-a-salmonella-outbreak-shouldn-t-ruin-your-thanksgiving/1610913242
103,https://www.dailypolitical.com/2018/11/21/somewhat-critical-media-coverage-extremely-likely-to-impact-hormel-foods-hrl-share-price.html
104,https://www.dailypolitical.com/2018/11/21/somewhat-critical-media-coverage-extremely-likely-to-impact-hormel-foods-hrl-share-price.html
105,https://news.wttw.com/2018/11/21/americans-canadians-are-warned-not-eat-romaine-lettuce
106,http://www.rockymounttelegram.com/National-Business/2018/11/20/Citing-E-coli-outbreak-US-officials-say-don-t-eat-romaine.html
107,https://www.claremoreprogress.com/cnhi_network/americans-canadians-are-warned-don-t-eat-romaine-lettuce/article_8d01450b-a2ea-527e-985b-ee0fa781af29.html
108,http://www.ktvn.com/story/39516124/americans-canadians-are-warned-dont-eat-romaine-lettuce
109,https://www.newmilfordspectrum.com/news/medical/article/E-coli-outbreak-romaine-lettuce-safe-to-eat-cdc-13409363.php
110,https://www.boston.com/news/food/2018/11/20/romaine-lettuce-e-coli-outbreak
111,https://www.eagletribune.com/news/americans-canadians-warned-not-to-eat-romaine-lettuce-due-to/article_3a6b032a-ed9b-11e8-a9e8-6f21eae67b4f.html
112,https://www.examiner.org/newsx/ap-news/104321-americans-canadians-are-warned-not-to-eat-romaine-lettuce
113,https://www.willmarradio.com/news/jennie-o-announces-bonuses-for-workers/article_b83415e8-edba-11e8-be58-3f92e70b23de.html
114,https://www.localmemphis.com/news/national/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine/1609500706
115,https://www.kob.com/health-news/people-in-us-canada-warned-to-not-eat-romaine-lettuce/5151668/?cat=500
116,https://www.wnct.com/on-your-side/health-watch/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine/1609503493
117,https://infotel.ca/newsitem/americans-canadians-are-warned-not-to-eat-romaine-lettuce/it57476
118,https://www.thelostogle.com/2018/11/21/6-classic-oklahoma-thanksgiving-dishes/
119,https://www.crescent-news.com/on_the_wire/health/americans-canadians-are-warned-not-to-eat-romaine-lettuce/article_356aae4f-63a9-5024-b2db-66ef7e52f812.html
120,https://libn.com/2018/11/20/cdc-dont-eat-that-romaine/
121,http://www.mynews13.com/fl/orlando/ap-online/2018/11/20/citing-e-coli-outbreak-us-officials-say-dont-eat-romaine
122,https://www.business-standard.com/article/pti-stories/americans-canadians-are-warned-not-to-eat-romaine-lettuce-118112100774_1.html
123,http://www.vindy.com/news/2018/nov/21/recalls-shouldnt-ruin-holiday-dinner/
124,http://www.timesrepublican.com/news/todays-news/2018/11/americans-canadians-are-warned-dont-eat-romaine-lettuce/
125,https://www.ibcworldnews.com/2018/11/21/americans-canadians-are-warned-not-to-eat-romaine-lettuce/
126,https://www.chatelaine.com/food/romaine-lettuce-e-coli-2018/
127,https://wtop.com/thanksgiving-news/2018/11/total-recall-make-sure-these-foods-arent-in-your-kitchen-this-thanksgiving/
128,https://www.wkrb13.com/2018/11/21/hormel-foods-corp-hrl-shares-sold-by-hartford-investment-management-co.html
129,https://www.wkrb13.com/2018/11/21/hormel-foods-corp-hrl-shares-sold-by-hartford-investment-management-co.html
130,https://www.wkrb13.com/2018/11/21/hormel-foods-corp-hrl-shares-sold-by-hartford-investment-management-co.html
