,COMPANY,date,SDG_2
612799,hormel foods corp,2018-11-01,2.3610530897747157
613722,hormel foods corp,2018-11-02,1.1678665704492612
614090,hormel foods corp,2018-11-03,1.09481446274445
614943,hormel foods corp,2018-11-05,0.4509590312257955
615604,hormel foods corp,2018-11-06,1.3812375796573313
615946,hormel foods corp,2018-11-07,0.034612197143275514
616518,hormel foods corp,2018-11-08,1.3119012657174596
616886,hormel foods corp,2018-11-09,-0.2015837823101018
617255,hormel foods corp,2018-11-10,2.1018336814672596
617813,hormel foods corp,2018-11-11,0.9822321349142025
618534,hormel foods corp,2018-11-12,3.30275229357798
618786,hormel foods corp,2018-11-13,0.2523556254362844
619265,hormel foods corp,2018-11-14,0.7707631424140324
619982,hormel foods corp,2018-11-15,0.8241910790636404
620418,hormel foods corp,2018-11-16,-6.071502337588366
620625,hormel foods corp,2018-11-17,-5.877934121281198
621187,hormel foods corp,2018-11-18,-5.556561980618977
621496,hormel foods corp,2018-11-19,-5.444235590132078
621998,hormel foods corp,2018-11-20,-4.787449669310137
622462,hormel foods corp,2018-11-21,-7.172671111423961
622986,hormel foods corp,2018-11-22,-1.786021683833701
623547,hormel foods corp,2018-11-23,-3.3196904257803705
624032,hormel foods corp,2018-11-24,-1.7130715771767502
624469,hormel foods corp,2018-11-25,-1.5922786318106423
624901,hormel foods corp,2018-11-26,-3.8813445629859453
625283,hormel foods corp,2018-11-27,-1.390556166485238
625929,hormel foods corp,2018-11-28,0.7147538636201767
626390,hormel foods corp,2018-11-29,0.5004915604701345
626990,hormel foods corp,2018-11-30,0.701175943511244
627410,hormel foods corp,2018-12-01,0.24610619673550369
627820,hormel foods corp,2018-12-02,-0.46704191372035736
628297,hormel foods corp,2018-12-03,0.5754723731639217
628563,hormel foods corp,2018-12-04,1.5526527473306182
629199,hormel foods corp,2018-12-05,0.3779290623488949
629633,hormel foods corp,2018-12-06,1.3844294616679913
630077,hormel foods corp,2018-12-07,1.2630577165750554
630605,hormel foods corp,2018-12-08,2.286326143741284
631055,hormel foods corp,2018-12-09,2.178727694494522
631486,hormel foods corp,2018-12-10,2.2391720338355783
632022,hormel foods corp,2018-12-11,1.0730746757027838
