,0
0,http://www.wafb.com/story/33503523/oregon-case-jury-delivers-blow-to-government-in-lands-fight
1,http://www.mcdowellnews.com/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_662aded0-c286-58cd-93a9-d39ed5358bda.html
2,http://www.timesunion.com/news/crime/article/Jury-acquits-leaders-of-Oregon-standoff-of-10418974.php
3,http://khnr.com/news/articles/jury-acquits-leaders-of-oregon-standoff-of-federal-charges
4,http://www.1410wizm.com/index.php/item/28800-jury-acquits-leaders-of-armed-takeover-of-the-oregon-wildlife-refuge-of-federal-conspiracy-charges
5,http://www.wsoctv.com/news/national/jury-acquits-leaders-of-oregon-standoff-of-federal-charges-1/461417475
6,https://www.abqjournal.com/877034/oregon-case-jury-delivers-blow-to-government-in-lands-fight.html
7,http://www.wacotrib.com/news/ap_nation/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_e3131fee-8ef2-5a69-a04d-61dfc23ff11f.html
8,http://www.mdjonline.com/news/national/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_86d68197-1603-5513-8ee6-2f861235d22e.html
9,http://www.roanoke.com/news/virginia/wire/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/article_69a31153-d586-5470-a0b7-7ff1da35d8e4.html
10,http://abcnews.go.com/Politics/wireStory/jury-acquits-leaders-oregon-standoff-federal-charges-43122349
11,http://www.newmilfordspectrum.com/news/crime/article/Deliberations-resume-in-Oregon-standoff-trial-10417425.php
12,http://www.elpasoinc.com/news/wire/us/article_5ec8e75f-57cd-53b8-8728-9eee57b69f9b.html
13,http://www.lex18.com/story/33502321/jury-acquits-leaders-of-oregon-standoff-of-federal-charges
14,http://www.dailyprogress.com/news/national/wire/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/article_8ece985f-bd8d-56e3-8753-6af03f600a22.html
15,http://newsok.com/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article/feed/1100620
16,http://www.theolympian.com/news/nation-world/article110996377.html
17,http://www.yumasun.com/news/national_news/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_ee1f24cb-edc8-5581-a0e9-9d744b22f46e.html
18,http://www.register-herald.com/region/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_d91710b2-14ba-5036-b24d-1d3370d3892a.html
19,http://www.yakimaherald.com/news/national_news/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_67a63d6c-199d-58df-93a0-f26de9ace1e5.html
20,http://hosted2.ap.org/APDEFAULT/3d281c11a96b4ad082fe88aa0db04305/Article_2016-10-28-US--Ranching%20Standoff/id-0fd29c303d624c57899e55e5fd7fee53
21,http://www.nonpareilonline.com/news/national/wire/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_fe42b1fc-cca9-587c-a614-561064a32aa9.html
22,http://wtop.com/government/2016/10/jury-acquits-leaders-of-oregon-standoff-of-federal-charges-2/
23,http://www.dailyjournal.net/2016/10/27/us-ranching-standoff-10/
24,http://www.wgauradio.com/ap/ap/general/jury-acquits-leaders-of-oregon-standoff-of-federal/nsyp3/
25,http://kdhnews.com/news/ap/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_33c3063c-5d6f-5cef-8b2f-6b654a815750.html
26,http://www.theindependent.com/news/national/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_070d5ce6-0c5b-52a7-a263-0c02439aebe5.html
27,http://hosted.ap.org/dynamic/stories/U/US_RANCHING_STANDOFF?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-10-28-00-44-11
28,http://www.miamiherald.com/news/nation-world/article110996377.html
29,http://www.bradfordera.com/news/nation/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/article_db09201a-556e-5a21-95c2-55e417800950.html
30,http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/ap/2016/10/27/Oregon_case_jury_delivers_blow_to_government_in_lands_fight.html
31,http://www.parsonssun.com/state_national/news/article_3b815738-9cbb-11e6-b9d9-838fa9d8e016.html
32,http://www.greensboro.com/ap/us_world/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/article_e7662dd8-9f78-5edb-84f4-0b3a2b8bc781.html
33,http://news10.com/ap/jury-acquits-leaders-of-oregon-standoff-of-federal-charges-2/
34,http://www.aberdeennews.com/wire/us/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/article_98f5fc49-c57b-5071-95a4-63e27e7de119.html
35,http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=11737887
36,http://abcnews.go.com/US/wireStory/jury-acquits-leaders-oregon-standoff-federal-charges-43123343
37,https://www.washingtonpost.com/national/energy-environment/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/2016/10/27/0180453a-9ca7-11e6-b552-b1f85e484086_story.html
38,http://www.kitsapsun.com/news/398962321.xhtml
39,http://hosted.ap.org/dynamic/stories/U/US_RANCHING_STANDOFF?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2016-10-27-22-36-46
40,http://www.newser.com/article/b3c69fa645b5444dae8553aab2d75889/jury-acquits-leaders-of-oregon-standoff-of-federal-charges.html
41,http://www.miamiherald.com/news/nation-world/article110798402.html
42,http://www.ivpressonline.com/news/nation/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/article_8d16f584-318e-5119-bd82-b2cb7650e459.html
43,https://www.yahoo.com/news/jury-acquits-leaders-oregon-standoff-federal-charges-033953573.html
44,http://www.kansascity.com/latest-news/article110798402.html
45,http://www.sandiegouniontribune.com/news/nation-world/ct-oregon-standoff-federal-trial-aquittal-20161027-story.html
46,http://www.wsbtv.com/news/national/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/461354039
47,http://www.kiro7.com/news/jury-acquits-leaders-of-oregon-standoff-of-federal-charges_/461403674
48,http://www.kelownadailycourier.ca/news/world_news/article_25a79d60-b6e3-5de0-9b06-f79d86327cf6.html
49,http://www.denverpost.com/2016/10/27/jury-acquits-leaders-oregon-standoff-federal-charges/
50,http://news.thaivisa.com/world/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/157836/
51,http://local12.com/news/nation-world/jury-acquits-leaders-of-oregon-standoff-of-federal-charges
52,http://www.wsmv.com/story/33502322/jury-acquits-leaders-of-oregon-standoff-of-federal-charges
53,http://www.greensboro.com/ap/us_world/oregon-case-jury-delivers-blow-to-government-in-lands-fight/article_e7662dd8-9f78-5edb-84f4-0b3a2b8bc781.html
54,http://www.reporternews.com/news/398982851.xhtml
55,http://counton2.com/2016/10/28/jury-acquits-leaders-of-oregon-standoff-of-federal-charges/
56,http://www.castanet.net/news/World/179442/Acquittal-in-Oregon-standoff
57,http://www.ctvnews.ca/world/oregon-standoff-case-jury-delivers-blow-to-u-s-in-lands-fight-1.3135522
58,http://dailysentinel.com/news/us/article_053c401d-8ddb-5e31-a056-4c4a6df9030d.html
