,COMPANY,date,SDG_2
258835,las vegas sands corp,2016-10-08,
259521,las vegas sands corp,2016-10-09,-2.05998032734423
259957,las vegas sands corp,2016-10-10,
260193,las vegas sands corp,2016-10-11,-2.030279548211712
260794,las vegas sands corp,2016-10-12,-4.025019395528317
261326,las vegas sands corp,2016-10-13,0.886075949367089
261785,las vegas sands corp,2016-10-14,
262238,las vegas sands corp,2016-10-15,0.646551724137931
262620,las vegas sands corp,2016-10-16,
263016,las vegas sands corp,2016-10-17,
263485,las vegas sands corp,2016-10-18,
263895,las vegas sands corp,2016-10-19,-0.8764622529759133
264525,las vegas sands corp,2016-10-20,
264893,las vegas sands corp,2016-10-21,
265664,las vegas sands corp,2016-10-22,
266460,las vegas sands corp,2016-10-24,
267035,las vegas sands corp,2016-10-25,
267227,las vegas sands corp,2016-10-26,1.90763052208835
267811,las vegas sands corp,2016-10-27,
268146,las vegas sands corp,2016-10-28,-6.3185402316425066
268818,las vegas sands corp,2016-10-29,-5.90102142842331
269073,las vegas sands corp,2016-10-30,-7.353786104650321
269533,las vegas sands corp,2016-10-31,1.97657393850659
270122,las vegas sands corp,2016-11-01,-3.6286773341511855
270524,las vegas sands corp,2016-11-02,-2.29007633587786
271081,las vegas sands corp,2016-11-03,-0.43506434877281935
271580,las vegas sands corp,2016-11-04,-0.3225845532828173
272094,las vegas sands corp,2016-11-05,-0.15600624024961
272460,las vegas sands corp,2016-11-06,
272858,las vegas sands corp,2016-11-07,-0.972762645914397
273522,las vegas sands corp,2016-11-08,0.0
274026,las vegas sands corp,2016-11-09,-1.139476480247272
274446,las vegas sands corp,2016-11-10,
275222,las vegas sands corp,2016-11-11,2.42537313432836
275582,las vegas sands corp,2016-11-12,
276078,las vegas sands corp,2016-11-13,
276242,las vegas sands corp,2016-11-14,-5.86979722518677
276917,las vegas sands corp,2016-11-15,
277178,las vegas sands corp,2016-11-16,
277886,las vegas sands corp,2016-11-17,
