,COMPANY,date,SDG_2
273593,mosaic co,2016-11-08,0.4059147291720227
273924,mosaic co,2016-11-09,0.30750324890495134
274384,mosaic co,2016-11-10,0.6915085457042571
274883,mosaic co,2016-11-11,1.4412332990592678
275408,mosaic co,2016-11-12,0.8140161361858471
275774,mosaic co,2016-11-13,-2.3385761528830287
276405,mosaic co,2016-11-14,-0.4031996396170789
276788,mosaic co,2016-11-15,0.7191712484287547
277188,mosaic co,2016-11-16,-0.38369097833614374
277722,mosaic co,2016-11-17,1.0719954316856126
278336,mosaic co,2016-11-18,1.3038329162840343
278806,mosaic co,2016-11-19,2.0431401522866226
279060,mosaic co,2016-11-20,0.5842890576033398
279527,mosaic co,2016-11-21,-1.3558563970381208
280113,mosaic co,2016-11-22,-3.179426488910114
280530,mosaic co,2016-11-23,-0.06052316529826491
281054,mosaic co,2016-11-24,2.335957933448521
281568,mosaic co,2016-11-25,0.1511409430349452
282029,mosaic co,2016-11-26,1.4799563729110787
282526,mosaic co,2016-11-27,-1.18938700823422
282698,mosaic co,2016-11-28,-6.658703180874998
283174,mosaic co,2016-11-29,-2.4256489825309067
283705,mosaic co,2016-11-30,-1.430176927514237
284221,mosaic co,2016-12-01,-0.2321968298833768
284766,mosaic co,2016-12-02,0.2932312461043746
285257,mosaic co,2016-12-03,0.10536556475606197
285811,mosaic co,2016-12-04,1.542125349549855
286123,mosaic co,2016-12-05,0.6976589741134495
286647,mosaic co,2016-12-06,0.2764446673330256
287146,mosaic co,2016-12-07,0.5957764173355701
287712,mosaic co,2016-12-08,-1.5740883903546303
288145,mosaic co,2016-12-09,-1.1761164103410273
288627,mosaic co,2016-12-10,0.682924195828452
289101,mosaic co,2016-12-11,-3.8486310793834364
289575,mosaic co,2016-12-12,0.646635460942932
289991,mosaic co,2016-12-13,-0.28692695789166156
290527,mosaic co,2016-12-14,0.26118823490228427
290941,mosaic co,2016-12-15,-0.20732956349529552
291730,mosaic co,2016-12-16,0.392540778034842
292028,mosaic co,2016-12-17,1.3029642853394912
292470,mosaic co,2016-12-18,-0.281462704691644
