,0
0,http://www.fox10tv.com/story/36545597/number-of-residents-without-power-continues-to-grow
1,http://www.erienewsnow.com/story/36545828/number-of-residents-without-power-continues-to-grow
2,http://www.WSFA.com/story/36546201/butler-county-taking-precautions-ahead-of-hurricane-nate
3,http://www.WSFA.com/story/36545597/number-of-residents-without-power-continues-to-grow
4,http://www.pantagraph.com/news/national/the-latest-thousands-without-power-in-alabama-mississippi/article_9024a5a7-490c-57d9-af46-f2266e3baf32.html
5,https://www.idahopress.com/news/national/the-latest-thousands-without-power-in-alabama-mississippi/article_12dca06d-8e80-51d9-a03a-f7dc8e824c1d.html
6,http://www.wacotrib.com/news/ap_nation/the-latest-thousands-without-power-in-alabama-mississippi/article_fed925c1-3252-5760-97fb-47712306179a.html
7,http://www.wmdt.com/news/national/the-latest-nate-weakens-to-a-tropical-storm/634007348
8,http://www.stamfordadvocate.com/news/us/article/The-Latest-Nate-weakens-to-a-tropical-storm-12261686.php
9,http://www.greensboro.com/ap/us_world/the-latest-thousands-without-power-in-alabama-mississippi/article_fbe9c709-3868-571a-9e3b-5efb716ee592.html
10,https://weather.com/storms/hurricane/news/2017-10-08-tropical-storm-hurricane-nate-gulf-coast-impacts
11,https://www.msn.com/en-us/weather/topstories/latest-thousands-without-power-as-strong-winds-move-across-alabama/ar-AAt1YtD
12,https://www.msn.com/en-us/news/us/hurricane-nate-makes-landfall-in-mississippi/ar-AAt2b9T
13,http://www.voiceofalexandria.com/news/national/the-latest-tropical-storm-nate-weakens/article_271aebf9-42e7-5e04-8794-3a3d196a77ce.html
14,http://www.fox10tv.com/story/36546916/nate-causes-flooding-power-outages-in-alabama-water-rescues-needed-in-mobile
15,http://www.bradenton.com/news/nation-world/national/article177717351.html
16,http://www.chieftain.com/news/national/the-latest-tropical-storm-nate-weakens/article_8dd02209-07f2-56e8-b60b-9372615ba38c.html
17,http://www.bostonherald.com/news/national/2017/10/the_latest_tropical_storm_nate_weakens
18,http://mtstandard.com/news/national/the-latest-tropical-storm-nate-weakens/article_168e474d-5c0d-544c-8d6f-f180631ecd6c.html
19,http://www.yourerie.com/weather/hurricane-nate-makes-us-landfall-twice/830146283
20,http://www.katc.com/story/36546895/the-latest-nate-brings-flooding-to-mississippi-alabama
21,http://www.cadillacnews.com/news/national/the-latest-tropical-storm-nate-weakens/article_af325b5d-6f4b-5cbb-9dee-7b19e6d8806a.html
22,http://www.abc17news.com/weather/hurricane-nate-makes-us-landfall-twice/633994417
23,http://www.miamiherald.com/news/nation-world/article177717351.html
24,http://www.theindependent.com/news/national/the-latest-tropical-storm-nate-weakens/article_d0ec7607-548f-582a-b30a-97ef3e2a0209.html
25,https://www.msn.com/en-us/weather/topstories/latest-nate-weakening-after-leaving-thousands-without-power-in-south-alabama/ar-AAt1YtD
26,https://www.msn.com/en-us/weather/topstories/latest-nate-weakening-after-leaving-thousands-without-power-in-south-alabama/ar-AAt1YtD
27,http://www.ccenterdispatch.com/news/national/article_3030ab32-6a69-5518-b82e-0f54368289e6.html
28,http://www.tulsaworld.com/news/usworld/ap/the-latest-thousands-without-power-in-alabama-mississippi/article_14cc33c4-378f-5c56-9c7b-0aeccde17c1c.html
29,http://news.trust.org/item/20171008071827-p0k5m/
30,http://www.greensboro.com/ap/us_world/the-latest-tropical-storm-nate-weakens/article_fbe9c709-3868-571a-9e3b-5efb716ee592.html
31,http://leaderpost.com/pmn/news-pmn/the-latest-nate-weakens-to-a-tropical-storm/wcm/9049337e-66b5-4d0e-8186-1f5325af7cb7
32,http://www.roanoke.com/news/virginia/wire/the-latest-tropical-storm-nate-weakens/article_2bd85e66-3c61-5fe3-965b-a237b37b5d74.html
33,http://www.mdjonline.com/news/national/the-latest-tropical-storm-nate-weakens/article_8a439537-caed-59ac-90f6-577f65477022.html
34,http://www.tribtown.com/2017/10/08/tropical-weather-the-latest-12/
35,http://kdhnews.com/news/nation/the-latest-tropical-storm-nate-weakens/article_7ac39154-d0ff-5e18-88e6-df66888a6f0b.html
36,http://www.wtvm.com/story/36546916/nate-causes-flooding-power-outages-in-alabama-water-rescues-needed-in-mobile
37,http://www.wtvm.com/story/36546399/power-outages-damage-caused-by-hurricane-nate
38,http://www.joplinglobe.com/region/the-latest-tropical-storm-nate-weakens/article_ef64e452-ed3f-5912-b96f-92d9f5050347.html
39,https://wtop.com/national/2017/10/the-latest-nate-weakens-to-a-tropical-storm/
40,http://www.roanoke.com/news/virginia/wire/the-latest-thousands-without-power-in-alabama-mississippi/article_2bd85e66-3c61-5fe3-965b-a237b37b5d74.html
41,http://www.therepublic.com/2017/10/08/tropical-weather-the-latest-12/
42,http://www.theindependent.com/news/national/the-latest-thousands-without-power-in-alabama-mississippi/article_d0ec7607-548f-582a-b30a-97ef3e2a0209.html
43,http://weartv.com/news/local/power-outages-along-the-gulf-coast-as-nate-moves-closer-to-shore
44,http://www.WSFA.com/story/36546916/nate-causes-flooding-power-outages-in-alabama-water-rescues-needed-in-mobile
45,http://www.palmbeachpost.com/news/local/the-latest-tropical-storm-nate-weakens/AF8bBEAFnozZa0sSxVQTCP/
46,http://www.keyt.com/weather/hurricane-nate-makes-us-landfall-twice/633994517
47,http://www.WSFA.com/story/36546399/power-outages-damage-caused-by-hurricane-nate
48,http://fox43.com/2017/10/08/hurricane-nate-weakens-to-a-tropical-storm-after-making-us-landfall-twice/
49,http://www.yumasun.com/news/national_news/the-latest-tropical-storm-nate-weakens/article_5cd2ddb9-6088-5393-b7ed-c5272255c9f5.html
50,http://www.ozarksfirst.com/news/nate-downgraded-to-tropical-depression/830398983
51,http://www.kplctv.com/story/36546895/the-latest-nate-brings-flooding-to-mississippi-alabama
52,http://cw39.com/2017/10/08/hurricane-nate-weakens-to-a-tropical-storm-after-making-us-landfall-twice/
53,http://www.ivpressonline.com/news/nation/the-latest-fema-chief-says-storms-have-strained-resources/article_7062318d-3c08-505e-bf78-b5f496fd9a9c.html
54,http://www.WLOX.com/story/36546399/power-outages-damage-caused-by-hurricane-nate
