,COMPANY,date,SDG_2
396405,valero energy corp,2017-08-07,-0.29585798816568
396964,valero energy corp,2017-08-08,-0.2641631555883825
397443,valero energy corp,2017-08-09,0.5561309446925531
397945,valero energy corp,2017-08-10,-2.562497637041115
398515,valero energy corp,2017-08-11,2.4910391116421247
399106,valero energy corp,2017-08-12,
399366,valero energy corp,2017-08-13,2.11416490486258
399860,valero energy corp,2017-08-14,4.05366883481611
400371,valero energy corp,2017-08-15,0.09000900090009
400898,valero energy corp,2017-08-16,1.13452188006483
401327,valero energy corp,2017-08-17,0.40614159607819994
401778,valero energy corp,2017-08-18,-2.842257287061183
402269,valero energy corp,2017-08-19,-2.990208683933844
402721,valero energy corp,2017-08-20,
403111,valero energy corp,2017-08-21,-0.352923124136875
403572,valero energy corp,2017-08-22,-0.32880656855954854
404093,valero energy corp,2017-08-23,-2.154529438734638
404475,valero energy corp,2017-08-24,-1.8523502272235413
404969,valero energy corp,2017-08-25,-5.287393654725482
405476,valero energy corp,2017-08-26,-4.972853306940478
405903,valero energy corp,2017-08-27,-5.075273128328786
406286,valero energy corp,2017-08-28,-4.00292952338891
406793,valero energy corp,2017-08-29,-2.9571870506292592
407304,valero energy corp,2017-08-30,-3.5539325809952302
407807,valero energy corp,2017-08-31,-3.6793677026989866
408324,valero energy corp,2017-09-01,-2.9320664977915585
408839,valero energy corp,2017-09-02,-2.758455038535536
409162,valero energy corp,2017-09-03,-2.5457782330852177
409642,valero energy corp,2017-09-04,-2.2366657554125324
410196,valero energy corp,2017-09-05,-2.3475121375210546
410654,valero energy corp,2017-09-06,-2.80581171295062
411080,valero energy corp,2017-09-07,-3.8040847792865002
411672,valero energy corp,2017-09-08,-3.5810723061852796
412096,valero energy corp,2017-09-09,-3.8542235010571018
412623,valero energy corp,2017-09-10,-4.630362550034186
413182,valero energy corp,2017-09-11,-0.5486109187471775
413462,valero energy corp,2017-09-12,-3.5020260941642976
414112,valero energy corp,2017-09-13,-2.5354788825320234
414701,valero energy corp,2017-09-14,-1.1039317493161853
414953,valero energy corp,2017-09-15,-1.6167888777167636
415610,valero energy corp,2017-09-16,-1.8066192242940102
