,COMPANY,date,SDG_2
42821,verizon communications inc,2015-06-04,-0.33725233678677735
43270,verizon communications inc,2015-06-05,1.6835499490316002
43762,verizon communications inc,2015-06-06,0.8693941890433748
44118,verizon communications inc,2015-06-07,0.05620163183332751
44449,verizon communications inc,2015-06-08,-0.9891967971592708
44824,verizon communications inc,2015-06-09,0.9369681003310201
45240,verizon communications inc,2015-06-10,-0.8558390060017016
45778,verizon communications inc,2015-06-11,0.2469237260311729
46186,verizon communications inc,2015-06-12,0.6083672362366682
46682,verizon communications inc,2015-06-13,4.98154981549815
47010,verizon communications inc,2015-06-14,-0.4021706456091512
47230,verizon communications inc,2015-06-15,-0.9510847547670778
47727,verizon communications inc,2015-06-16,-0.17991603589586888
48219,verizon communications inc,2015-06-17,0.9671797194302868
48616,verizon communications inc,2015-06-18,0.4421196414641823
49075,verizon communications inc,2015-06-19,-0.01277679940904555
49563,verizon communications inc,2015-06-20,2.67416484807789
49909,verizon communications inc,2015-06-21,0.8733314571111903
50169,verizon communications inc,2015-06-22,-0.37084494436703497
50601,verizon communications inc,2015-06-23,0.13706499987577284
51122,verizon communications inc,2015-06-24,-6.225770329490421
51589,verizon communications inc,2015-06-25,-0.9015245747570776
52013,verizon communications inc,2015-06-26,-1.164101935290636
52554,verizon communications inc,2015-06-27,-2.7653560489881497
52826,verizon communications inc,2015-06-28,0.411861614497529
53110,verizon communications inc,2015-06-29,-1.1940073883223878
53529,verizon communications inc,2015-06-30,-0.15139821562057204
54062,verizon communications inc,2015-07-01,0.18179617704158021
54530,verizon communications inc,2015-07-02,-0.3816611409511465
54992,verizon communications inc,2015-07-03,-0.20512733076336565
55326,verizon communications inc,2015-07-04,-0.5157199497125943
55788,verizon communications inc,2015-07-05,-1.3353512742727613
56090,verizon communications inc,2015-07-06,1.9160631386115508
56582,verizon communications inc,2015-07-07,0.8117661403665622
57101,verizon communications inc,2015-07-08,-1.4818735628620723
57597,verizon communications inc,2015-07-09,1.0542234183738455
58056,verizon communications inc,2015-07-10,-0.672265559414345
58611,verizon communications inc,2015-07-11,0.632630205291288
58948,verizon communications inc,2015-07-12,-1.390814197774055
59310,verizon communications inc,2015-07-13,-1.3709825300206995
59864,verizon communications inc,2015-07-14,1.2251386535425914
