,COMPANY,date,SDG_3
163842,american airlines group,2016-03-02,-1.5817156652824433
164299,american airlines group,2016-03-03,-2.9273133101034308
164769,american airlines group,2016-03-04,-1.4812955711853928
165377,american airlines group,2016-03-05,-1.2911400815107559
165642,american airlines group,2016-03-06,-2.400646889169124
166016,american airlines group,2016-03-07,-1.0524002201795588
166525,american airlines group,2016-03-08,-1.1090916565686553
166933,american airlines group,2016-03-09,-0.7956258888275841
167499,american airlines group,2016-03-10,-1.3583754440251425
167892,american airlines group,2016-03-11,-0.502609222453341
168388,american airlines group,2016-03-12,-1.23214539305654
168834,american airlines group,2016-03-13,-1.6741407893194602
169124,american airlines group,2016-03-14,-2.1935292287890444
169597,american airlines group,2016-03-15,-0.8955169507289256
170142,american airlines group,2016-03-16,-2.7508414812057755
170561,american airlines group,2016-03-17,-1.0488991243677521
171077,american airlines group,2016-03-18,-1.5722056282545194
171484,american airlines group,2016-03-19,-1.6675061171888936
171851,american airlines group,2016-03-20,-1.0999097888626106
172151,american airlines group,2016-03-21,-0.18452875729697285
172655,american airlines group,2016-03-22,-6.218915922343776
173081,american airlines group,2016-03-23,-5.138356468007541
173539,american airlines group,2016-03-24,-3.8858060783615076
173995,american airlines group,2016-03-25,-3.9300690359703423
174485,american airlines group,2016-03-26,-3.205841846414346
174788,american airlines group,2016-03-27,-3.5513348419411197
175140,american airlines group,2016-03-28,-4.4246601538205
175588,american airlines group,2016-03-29,-3.210449336756389
176096,american airlines group,2016-03-30,-2.9551822068637748
176520,american airlines group,2016-03-31,-4.488225676449163
176993,american airlines group,2016-04-01,-3.0147764178094234
177505,american airlines group,2016-04-02,-3.2166979535707716
177846,american airlines group,2016-04-03,-3.9129337653067515
178152,american airlines group,2016-04-04,-1.3821563334323197
178620,american airlines group,2016-04-05,-1.5532095927708747
179090,american airlines group,2016-04-06,-0.781500439600802
179558,american airlines group,2016-04-07,-2.0994014673900696
180070,american airlines group,2016-04-08,-1.4949429312772218
180476,american airlines group,2016-04-09,-0.5791902112749936
180815,american airlines group,2016-04-10,-0.20830994942850775
181195,american airlines group,2016-04-11,-1.5824985334925397
