,COMPANY,date,SDG_3
314991,garmin ltd,2017-02-04,-0.09954321287088486
315492,garmin ltd,2017-02-05,2.99500831946755
315717,garmin ltd,2017-02-06,-0.15588975364110863
316262,garmin ltd,2017-02-07,1.0089233115019187
316789,garmin ltd,2017-02-08,1.9813647326391226
317501,garmin ltd,2017-02-09,0.0
317829,garmin ltd,2017-02-10,0.3361850833547187
318271,garmin ltd,2017-02-11,-2.928604546854012
318824,garmin ltd,2017-02-12,-0.3784627918050743
319221,garmin ltd,2017-02-13,1.17578866304816
319722,garmin ltd,2017-02-14,1.8688237570885988
320239,garmin ltd,2017-02-15,1.4753875531650604
320695,garmin ltd,2017-02-16,1.5595726721549517
321261,garmin ltd,2017-02-17,1.3891418530164295
321662,garmin ltd,2017-02-18,2.1735002758527537
322164,garmin ltd,2017-02-19,1.911509174203482
322489,garmin ltd,2017-02-20,1.4412117718763875
323125,garmin ltd,2017-02-21,1.6937273776507016
323591,garmin ltd,2017-02-22,0.46227943975732827
323988,garmin ltd,2017-02-23,-1.1095148751736197
324461,garmin ltd,2017-02-24,-5.737480541877664
324973,garmin ltd,2017-02-25,-4.3326885290427395
325446,garmin ltd,2017-02-26,-5.818241791580238
325792,garmin ltd,2017-02-27,-4.259056076548394
326316,garmin ltd,2017-02-28,-4.901863102852865
326801,garmin ltd,2017-03-01,-5.693568540612999
327342,garmin ltd,2017-03-02,-2.2893747737470282
327883,garmin ltd,2017-03-03,-3.2380734991181015
328434,garmin ltd,2017-03-04,-4.176970392474028
328894,garmin ltd,2017-03-05,0.5755677995477108
329174,garmin ltd,2017-03-06,-4.317515561424762
329677,garmin ltd,2017-03-07,-4.167197762833798
330139,garmin ltd,2017-03-08,-2.0755684909587
330677,garmin ltd,2017-03-09,-2.4240457694414004
331246,garmin ltd,2017-03-10,-3.608162781493217
331623,garmin ltd,2017-03-11,-3.3012744635074767
332113,garmin ltd,2017-03-12,-4.695325445048712
332441,garmin ltd,2017-03-13,-1.1591627714576194
