,0
0,https://www.lmtonline.com/news/article/Closest-person-we-have-to-Martin-Luther-King-Jr-13282952.php
1,https://www.kvrr.com/2018/10/04/child-of-man-charged-in-deadly-fargo-shooting-turns-himself-into-police/
2,https://www.godanriver.com/news/national/wire/jurors-deliberating-in-murder-trial-of-chicago-officer/article_9876873f-6ee8-5c99-b6c9-c3d0518e721f.html
3,http://www.dailyjournal.net/2018/10/04/us-macarthur-fellows/
4,http://www.dailyjournal.net/2018/10/04/us-chicago-police-laquan-mcdonald-the-latest-16/
5,https://chicago.suntimes.com/news/wife-is-prepared-jason-van-dyke-verdict/
6,https://hpherald.com/2018/10/04/u-of-c-experts-examine-societal-causes-behind-laquan-mcdonald-shooting/
7,http://www.wsiltv.com/story/39234130/women-at-work-hirelevel-ceo
8,http://www.600wsom.com/news/jury-deliberations-begin-in-chicago-officers-trial-in-laquan-mcdonald-killing/
9,https://www.nbcnews.com/tech/tech-news/rent-maybe-steak-how-amazon-workers-will-spend-15-hour-n916046?cid=public-rss_20181005
10,http://www.1590walg.com/news/jury-deliberations-begin-in-chicago-officers-trial-in-laquan-mcdonald-killing/
11,https://www.kget.com/news/national/closing-arguments-set-in-chicago-officers-murder-trial/1496409325
12,https://www.rochesterfirst.com/entertainment/violinist-professor-pastor-among-25-genius-grant-winners/1497667651
13,http://www.wcoapensacola.com/news/chicago-police-activists-and-businesses-prepare-for-verdict-in-officers-trial-in-laquan-mcdonald-killing/
14,https://www.njherald.com/article/20181004/AP/310049674
15,https://www.princegeorgecitizen.com/news/world/jurors-deliberating-in-murder-trial-of-chicago-officer-1.23452219
16,https://herald-review.com/news/national/the-latest-alternates-say-they-would-ve-convicted-officer/article_3b2e8ca2-98d7-5dd0-a0f2-13e418d34a05.html
17,https://www.newscentermaine.com/article/news/nation-now/jury-gets-murder-case-against-chicago-police-officer-jason-van-dyke-in-shooting-death-of-laquan-mcdonald/465-8c4f4341-fc90-481e-abf1-3de43964dd71
18,http://www.kxxv.com/story/39227086/jurors-deliberating-in-murder-trial-of-chicago-officer
19,http://www.wbur.org/npr/654505775/this-is-not-the-wild-west-lawyers-make-closing-arguments-in-chicago-police-offic
20,https://www.omaha.com/news/nation/the-latest-alternates-say-they-would-ve-convicted-officer/article_77efcea7-7195-5e38-89b9-c14accac7b3b.html
21,http://lifestyle.inquirer.net/308577/violinist-professor-pastor-among-25-genius-grant-winners/
22,https://www.wxxv25.com/2018/10/05/violinist-among-25-genius-grant-winners/
23,http://www.ktva.com/story/39234865/deliberations-resuming-in-chicago-police-shooting-case
24,https://www.cadillacnews.com/news/national/jury-can-choose-second-degree-murder-for-chicago-officer/article_ba7411f7-4391-5083-8c44-84f526a8e434.html
25,https://www.recorderonline.com/news/national_news/deliberations-resuming-in-chicago-police-shooting-case/article_ba542216-095c-5ef9-b6fc-fabf98af3f11.html
26,http://accesswdun.com/article/2018/10/720534
27,https://www.newmilfordspectrum.com/news/crime/article/A-timeline-of-the-Chicago-police-shooting-of-13283369.php
28,https://www.newmilfordspectrum.com/news/crime/article/Jury-can-choose-second-degree-murder-for-Chicago-13283349.php
29,https://www.kob.com/us-news/closing-arguments-set-in-chicago-officers-murder-trial/5095859/?cat=649
30,https://newyork.cbslocal.com/2018/10/04/bronx-mob-hit-bonanno-crime-family-mcdonalds/
31,https://www.wthr.com/article/violinist-professor-pastor-among-25-genius-grant-winners
32,https://www.washingtonpost.com/national/jurors-deliberating-in-murder-trial-of-chicago-officer/2018/10/04/29d74e4e-c837-11e8-9c0f-2ffaf6d422aa_story.html
33,https://www.columbiamissourian.com/news/nation_world/jurors-deliberating-in-murder-trial-of-chicago-officer/article_a35d5d15-fc47-5b57-8f14-575708a0830c.html
34,https://herald-review.com/shelby-county-crash-leaves-one-man-dead/article_d31b07f6-7f24-5532-9af8-e3f43121f6d8.html
35,https://www.aljazeera.com/news/2018/10/chicago-braces-verdict-trial-cop-killed-black-teen-181005020619938.html
36,https://www.stokesentinel.co.uk/news/stoke-on-trent-news/man-went-rampage-knife-across-2070711
37,http://590kid.com/reputed-mobster-gunned-down-at-mcdonalds-drive-thru/
38,http://am1380theanswer.com/news/national/jury-can-choose-second-degree-murder-for-chicago-officer
39,https://www.decaturdaily.com/news/other_news/national/a-timeline-of-the-chicago-police-shooting-of-laquan-mcdonald/article_4e863648-6782-5ea0-a1a5-24ab071416d5.html
40,https://www.derbytelegraph.co.uk/news/derby-news/black-mamba-dealer-busted-after-2071151
41,https://www.ktbs.com/news/national/deliberations-resuming-in-chicago-police-shooting-case/article_d38b8421-8dca-5d90-a28d-2f250fd8cc57.html
42,https://www.fox23.com/news/national/deliberations-resuming-in-chicago-police-shooting-case/847006195
43,http://www.dailyjournal.net/2018/10/05/us-chicago-police-laquan-mcdonald-charges-2/
44,http://www.vindy.com/news/2018/oct/05/hilbun-theft-probe-initiated-at-start-of/
45,https://www.greenwichtime.com/news/crime/article/Deliberations-resuming-in-Chicago-police-shooting-13283321.php
46,https://www.thedailybeast.com/reputed-mobster-gunned-down-in-mcdonalds-drive-thru
47,http://www.keyc.com/story/39227085/jurors-deliberating-in-murder-trial-of-chicago-officer
48,https://www.kob.com/us-news/a-timeline-of-the-chicago-police-shooting-of-laquan-mcdonald/5097027/?cat=600
49,https://www.dailyherald.com/article/20181005/news/310059993/
50,https://www.dailyherald.com/article/20181005/news/310059997/
51,https://www.news-herald.com/news/nation-world/violinist-professor-pastor-among-genius-grant-winners/article_c35f81ed-588f-55f6-8170-73370480adf1.html
52,https://journalstar.com/news/national/a-timeline-of-the-chicago-police-shooting-of-laquan-mcdonald/article_c122821a-94f4-50d4-b197-51ed26227ea7.html
53,http://www.ktvu.com/news/jury-can-choose-second-degree-murder-for-chicago-officer
54,https://www.journalnow.com/news/state_region/civil-rights-leader-gets-macarthur-genius-grant/article_b343e648-950e-5af2-a2a2-68de63235920.html
55,https://thestarphoenix.com/pmn/news-pmn/deliberations-resuming-in-chicago-police-shooting-case/wcm/5d013984-7354-44c4-a4b0-b2bc0e451991
56,https://www.mymotherlode.com/news/national/464103/a-timeline-of-the-chicago-police-shooting-of-laquan-mcdonald-3.html
57,https://www.washingtonpost.com/national/a-timeline-of-the-chicago-police-shooting-of-laquan-mcdonald/2018/10/05/72708752-c859-11e8-9c0f-2ffaf6d422aa_story.html
58,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12137746
59,https://www.mymotherlode.com/news/national/464097/jury-can-choose-second-degree-murder-for-chicago-officer.html
60,https://www.washingtonpost.com/national/jury-can-choose-second-degree-murder-for-chicago-officer/2018/10/05/f1d7e920-c856-11e8-9c0f-2ffaf6d422aa_story.html
61,http://www.blueridgenow.com/news/20181005/north-carolina-civil-rights-leader-receives-genius-grant
62,http://www.santafenewmexican.com/news/fate-of-officer-in-chicago-police-shooting-case-in-jurors/article_a534bf49-10b6-5b9e-968e-6a11cdc934dc.html
63,http://www.daily-chronicle.com/2018/10/04/jurors-deliberating-in-murder-trial-of-chicago-police-officer/agkzwj5/
64,http://www.saukvalley.com/2018/10/04/jury-can-choose-second-degree-murder-for-chicago-officer/a85dxxr/
65,http://www.timesenterprise.com/news/ga_fl_news/mayor-attorney-will-be-held-accountable/article_f972066a-c82f-11e8-a413-4ff384f93f27.html
66,https://www.centexproud.com/news/national/closing-arguments-set-in-chicago-officers-murder-trial/1496405030
67,https://www.omaha.com/news/nation/jurors-deliberating-in-murder-trial-of-chicago-officer/article_c07241ac-3baa-5c22-9d68-fd65b3d4c8e8.html
