,COMPANY,date,SDG_3
213731,mckesson corp,2016-06-21,0.7731402054299774
214313,mckesson corp,2016-06-22,1.6191122171965309
214817,mckesson corp,2016-06-23,-0.23483620197916996
215249,mckesson corp,2016-06-24,1.7263325048869231
215817,mckesson corp,2016-06-25,-3.67783086986078
216096,mckesson corp,2016-06-26,0.7450234246762776
216608,mckesson corp,2016-06-27,3.859390650485745
217026,mckesson corp,2016-06-28,0.8879491843338851
217425,mckesson corp,2016-06-29,0.7448551100546237
217852,mckesson corp,2016-06-30,0.30177697987611807
218324,mckesson corp,2016-07-01,-0.12896910448342008
218946,mckesson corp,2016-07-02,0.20055013373351285
219276,mckesson corp,2016-07-03,-0.35762052201641154
219618,mckesson corp,2016-07-04,1.8800251651583453
220088,mckesson corp,2016-07-05,1.0053015810022492
220507,mckesson corp,2016-07-06,0.11401727614872162
220909,mckesson corp,2016-07-07,-1.0669356562823684
221309,mckesson corp,2016-07-08,-3.98113014831288
221892,mckesson corp,2016-07-09,-1.629413089715321
222132,mckesson corp,2016-07-10,-6.081849840088015
222485,mckesson corp,2016-07-11,-6.271844567502896
222978,mckesson corp,2016-07-12,-5.331684539451051
223492,mckesson corp,2016-07-13,-3.536429846229524
223987,mckesson corp,2016-07-14,-2.016800327694556
224653,mckesson corp,2016-07-15,-1.6822309466949255
224997,mckesson corp,2016-07-16,-3.1143447198167253
225372,mckesson corp,2016-07-17,-4.95789997642722
225712,mckesson corp,2016-07-18,-2.584066894726406
226193,mckesson corp,2016-07-19,-1.7442717439308006
226804,mckesson corp,2016-07-20,-2.2197932465433903
227251,mckesson corp,2016-07-21,0.8272155641696695
227650,mckesson corp,2016-07-22,-0.44838813380133025
228314,mckesson corp,2016-07-23,-0.3406992654427348
228649,mckesson corp,2016-07-24,-0.5864841292786827
228928,mckesson corp,2016-07-25,-0.6215463561320753
229531,mckesson corp,2016-07-26,0.40956271088173957
230009,mckesson corp,2016-07-27,-1.0691689905566617
230413,mckesson corp,2016-07-28,-3.387875551545937
231146,mckesson corp,2016-07-29,0.29025892494360933
