,COMPANY,date,SDG_3
643006,suntrust banks inc,2019-01-04,0.8768076241583064
643551,suntrust banks inc,2019-01-05,0.25122250611306
643983,suntrust banks inc,2019-01-06,0.2850587117438997
644275,suntrust banks inc,2019-01-07,1.2176784756591141
644794,suntrust banks inc,2019-01-08,0.9970537631713193
645186,suntrust banks inc,2019-01-09,1.3240958587548843
645666,suntrust banks inc,2019-01-10,1.245049311454539
646237,suntrust banks inc,2019-01-11,0.7918618146641854
646688,suntrust banks inc,2019-01-12,1.6790092533912355
647044,suntrust banks inc,2019-01-13,0.5361469478334158
647434,suntrust banks inc,2019-01-14,0.6267340821316055
647860,suntrust banks inc,2019-01-15,0.9567438155361069
648413,suntrust banks inc,2019-01-16,0.46377161814627077
648847,suntrust banks inc,2019-01-17,1.5449322731713953
649376,suntrust banks inc,2019-01-18,0.7285252513654978
649887,suntrust banks inc,2019-01-19,0.6797424458624506
650312,suntrust banks inc,2019-01-20,1.120623683979186
650745,suntrust banks inc,2019-01-21,1.0383192897212399
651195,suntrust banks inc,2019-01-22,1.0216323314462632
651728,suntrust banks inc,2019-01-23,-4.175447088329127
652166,suntrust banks inc,2019-01-24,-5.40466265697406
652706,suntrust banks inc,2019-01-25,-2.677359314100559
653184,suntrust banks inc,2019-01-26,-0.598654371391847
653620,suntrust banks inc,2019-01-27,-0.8713532765122702
654060,suntrust banks inc,2019-01-28,-0.25726603523560665
654580,suntrust banks inc,2019-01-29,0.7083560989019164
655035,suntrust banks inc,2019-01-30,0.5149602494036761
655675,suntrust banks inc,2019-01-31,1.0269360638614926
656106,suntrust banks inc,2019-02-01,1.0335661387751771
656684,suntrust banks inc,2019-02-02,0.9872024929462196
657090,suntrust banks inc,2019-02-03,1.0376243947881132
657638,suntrust banks inc,2019-02-04,0.39480664456363984
658115,suntrust banks inc,2019-02-05,1.3552633511832894
658686,suntrust banks inc,2019-02-06,1.0841988440034
659128,suntrust banks inc,2019-02-07,0.6912811431635748
659657,suntrust banks inc,2019-02-08,-0.9804780936784505
660134,suntrust banks inc,2019-02-09,-0.8507665351421272
660680,suntrust banks inc,2019-02-10,0.989413957064224
661035,suntrust banks inc,2019-02-11,0.6130950192719883
661666,suntrust banks inc,2019-02-12,1.2071323519599904
662177,suntrust banks inc,2019-02-13,1.167682412885734
