,COMPANY,date,SDG_4
469377,eaton corp plc,2018-01-04,-4.09205462272069
469915,eaton corp plc,2018-01-05,0.45327030382660194
470382,eaton corp plc,2018-01-06,0.8481795189104726
470941,eaton corp plc,2018-01-07,1.766332292142949
471280,eaton corp plc,2018-01-08,0.027656429124782552
471745,eaton corp plc,2018-01-09,0.8659721523468025
472232,eaton corp plc,2018-01-10,-2.590945027229539
472732,eaton corp plc,2018-01-11,-2.1338779432965946
473316,eaton corp plc,2018-01-12,-2.777161042026325
473709,eaton corp plc,2018-01-13,-2.0621820391826478
474150,eaton corp plc,2018-01-14,-1.1399912438075503
474637,eaton corp plc,2018-01-15,-0.2963404918688239
475203,eaton corp plc,2018-01-16,-4.133482782010647
475575,eaton corp plc,2018-01-17,-2.7069480176361176
476126,eaton corp plc,2018-01-18,-2.708600834464639
476791,eaton corp plc,2018-01-19,-3.6000256116418314
477101,eaton corp plc,2018-01-20,-2.1650333687254215
477604,eaton corp plc,2018-01-21,0.34454387412301746
478107,eaton corp plc,2018-01-22,-4.948704096695932
478496,eaton corp plc,2018-01-23,-3.4432219885989572
479002,eaton corp plc,2018-01-24,-5.673911296476545
479498,eaton corp plc,2018-01-25,-5.280246490226153
480115,eaton corp plc,2018-01-26,-4.0803054693083665
480536,eaton corp plc,2018-01-27,-3.743288741444562
480976,eaton corp plc,2018-01-28,-3.7837085869164033
481433,eaton corp plc,2018-01-29,-0.5092824886861635
481938,eaton corp plc,2018-01-30,-3.1796224746788773
482533,eaton corp plc,2018-01-31,-4.412195180692652
483019,eaton corp plc,2018-02-01,-4.5623552531134175
483525,eaton corp plc,2018-02-02,-6.000234679850093
484010,eaton corp plc,2018-02-03,-5.691150245405495
484513,eaton corp plc,2018-02-04,-0.5799406537362388
485013,eaton corp plc,2018-02-05,-5.740032832610681
485462,eaton corp plc,2018-02-06,-4.580560839640505
486054,eaton corp plc,2018-02-07,-2.752507525788809
486536,eaton corp plc,2018-02-08,-0.8502351126314805
487062,eaton corp plc,2018-02-09,-2.3461756296587355
487574,eaton corp plc,2018-02-10,-1.9512612677753471
488005,eaton corp plc,2018-02-11,-5.326335616328182
488511,eaton corp plc,2018-02-12,-1.9475454737861326
489097,eaton corp plc,2018-02-13,-0.8274971606953331
