,0
0,https://www.bostonglobe.com/metro/2019/01/23/shooter-kills-bank-florida/dfAF2gRX35o3ECWlcluG3H/story.html
1,http://radio.wpsu.org/post/least-5-dead-shooting-central-florida-bank-suspect-custody
2,https://www.japantimes.co.jp/news/2019/01/24/world/crime-legal-world/least-five-killed-central-florida-bank-shooting-gunman-21-arrested-police/
3,https://indianexpress.com/article/world/i-have-shot-five-people-21-year-old-held-in-florida-bank-shooting-5553228/
4,https://www.independent.co.uk/news/world/americas/florida-shooting-bank-sebring-hostage-situation-shooter-latest-update-a8743511.html
5,https://in.reuters.com/article/florida-shooting/gunman-surrenders-after-killing-five-in-central-florida-bank-police-idINKCN1PH2TG
6,https://news.yahoo.com/gunman-surrenders-killing-five-central-florida-bank-police-032130945--finance.html
7,https://www.newcanaannewsonline.com/news/crime/article/Police-Former-prison-guard-trainee-kills-5-in-13557124.php
8,https://zeenews.india.com/world/gunman-surrenders-after-killing-five-in-central-florida-bank-2173559.html
9,https://journalstar.com/news/national/police-former-prison-guard-trainee-kills-in-florida-bank/article_275304c5-b770-586b-a86b-dcb2b4854866.html
10,https://www.theindependent.com/news/national/police-former-prison-guard-trainee-kills-in-florida-bank/article_11fe3873-8705-5e49-a136-dd8c48a1dae4.html
11,http://www.wboc.com/story/39843113/police-former-prison-guard-trainee-kills-5-in-florida-bank
12,https://zeenews.india.com/world/gunman-surrenders-after-killing-five-in-central-florida-bank-police-2173585.html
13,https://www.yourbasin.com/news/national/police-former-prison-guard-trainee-kills-5-in-florida-bank/1721369286
14,https://www.dailyherald.com/article/20190124/news/301249993/
15,https://www.morganton.com/news/us/ap/police-former-prison-guard-trainee-kills-in-florida-bank/article_f65b2911-a082-5b2f-8574-668954477b39.html
16,https://news.yahoo.com/apos-senseless-criminal-doing-senseless-200031708.html
17,https://www.bozemandailychronicle.com/ap_news/us/police-former-prison-guard-trainee-kills-in-florida-bank/article_8560c0fc-8a5f-50ce-bb61-96ef0025c069.html
18,https://www.nytimes.com/aponline/2019/01/24/us/ap-us-bank-shooting-florida.html
19,https://www.nbcbayarea.com/news/national-international/Armed-Person-At-Bank-in-Sebring-Florida-504761712.html
20,https://www.krem.com/article/news/at-least-5-people-killed-in-shooting-at-suntrust-bank-in-sebring/293-4922cf10-6fdc-416e-9492-829fc6ba3bec
21,https://www.adn.com/nation-world/2019/01/23/several-people-shot-after-gunman-barricades-himself-in-florida-bank-authorities-say/
22,https://kxic.iheart.com/content/2019-01-23-several-down-in-florida-bank-robbery-authorities-say/
23,http://www.klkntv.com/story/39843113/police-former-prison-guard-trainee-kills-5-in-florida-bank
24,https://www.miamiherald.com/news/article224999305.html
25,https://www.kcur.org/post/least-5-dead-shooting-central-florida-bank-suspect-custody
26,https://whatsnew2day.com/police-former-imprisonment-ceases-5-in-florida/
27,https://q13fox.com/2019/01/23/police-former-prison-guard-trainee-kills-5-in-florida-bank/
28,https://theanswersarasota.com/news/national/police-former-prison-guard-trainee-kills-5-in-florida-bank
29,https://www.thehindu.com/news/international/gunman-surrenders-after-killing-five-in-central-florida-bank-police/article26076535.ece
30,https://www.bangkokpost.com/news/world/1616982/gunman-kills-5-inside-florida-bank-then-calls-police
31,https://www.channelnewsasia.com/news/world/gunman-surrenders-after-killing-five-in-central-florida-bank-11160138
32,http://www.ncnewsonline.com/news/national/police-former-prison-guard-trainee-kills-in-florida-bank/article_1b918ffb-440b-50bd-b1f1-be8b88241ce3.html
33,https://www.stl.news/former-prison-guard-trainee/249998/
34,https://www.fox30jax.com/news/florida/police-former-prison-guard-trainee-kills-5-in-florida-bank/909071218
35,http://scallywagandvagabond.com/2019/01/zephen-xaver-suntrust-sebring-bank-mass-shooter/
36,https://www.ksl.com/article/46474923/police-former-prison-guard-trainee-kills-5-in-florida-bank
37,https://www.expressnews.com/news/crime/article/Police-Former-prison-guard-trainee-kills-5-in-13557124.php
38,https://www.kvue.com/article/news/crime/at-least-5-people-killed-in-shooting-at-suntrust-bank-in-florida/269-4922cf10-6fdc-416e-9492-829fc6ba3bec
39,https://kfyi.iheart.com/content/2019-01-23-several-down-in-florida-bank-robbery-authorities-say/
40,https://kfyi.iheart.com/content/2019-01-23-several-down-in-florida-bank-robbery-authorities-say/
41,https://www.northcountrypublicradio.org/news/npr/688012593/at-least-5-dead-in-shooting-at-central-florida-bank-suspect-in-custody
42,https://www.registercitizen.com/news/crime/article/Police-Man-arrested-after-opening-fire-inside-13555811.php
43,https://www.cbsnews.com/news/sebring-florida-shooting-gunman-suspect-zephen-xaver-florida-bank-surrenders-police-today-2019-01-23-live-updates/
