,0
0,http://www.abplive.in/india-news/mission-staff-in-touch-with-wife-of-indian-killed-in-us-sushma-swaraj-497793
1,https://www.dailyexaminer.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
2,http://m.indiatvnews.com/news/world-he-did-not-deserve-a-death-like-this-says-kansas-shooting-victim-s-wife-370239
3,http://www.hindustantimes.com/india-news/kansas-murder-of-indian-techie-from-funds-to-prayers-here-s-how-us-reacted/story-3JpnCxCV0c2RuRf3UaK2EM.html
4,http://newstodaynet.com/index.php/2017/02/25/hate-crime-is-unacceptable-us-lawmakers/
5,http://newstodaynet.com/index.php/2017/02/25/do-we-belong-here-asks-wife-of-indian-shot-dead/
6,https://www.coolum-news.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
7,https://www.warwickdailynews.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
8,http://www.livemint.com/Politics/w8vLGAW5cE9hDACuExtaBM/Kansas-shooting-Wife-of-killed-Indian-engineer-Srinivas-ask.html
9,http://www.newsnation.in/world-news/kansas-shooting-us-lawmakers-say-hate-crime-unacceptable-in-country-article-162595.html
10,https://www.thechronicle.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
11,https://www.whitsundaytimes.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
12,http://nation.com.pk/international/25-Feb-2017/american-kills-indian-engineer-shouting-get-out-of-my-country
13,http://www.dayafterindia.com/2017/02/25/mission-staff-in-touch-with-wife-of-indian-killed-in-us-sushma/
14,http://www.newindianexpress.com/world/2017/feb/25/us-lawmakers-denounce-murder-of-indian-engineer-by-american-in-kansas-shooting-incident-1574609.html
15,http://www.prokerala.com/news/articles/a721397.html
16,http://www.dailymail.co.uk/wires/ap/article-4258900/BC-AP-News-Digest-3-am.html
17,http://www.deccanchronicle.com/world/america/250217/i-need-an-answer-from-us-govt-says-wife-of-hyderabad-engineer-killed-in-kansas.html
18,http://www.deccanchronicle.com/world/america/250217/i-need-an-answer-from-us-govt-says-wife-of-hyderabad-engineer-killed-in-kansas.html
19,http://newsworldindia.in/world/wife-of-indian-techie-shot-dead-in-kansas-asks-us-govt-do-we-belong-here/247547/
20,http://www.wsws.org/en/articles/2017/02/25/kans-f25.html
21,http://www.prokerala.com/news/articles/a721396.html
22,http://www.deccanchronicle.com/world/america/250217/us-lawmakers-say-hate-crime-unacceptable-after-kansas-shooting.html
23,http://www.business-standard.com/article/pti-stories/un-chief-denounces-xenophobia-islamophobia-official-117022500292_1.html
24,http://www.heart.co.uk/news/uk-world/donations-top-500000-for-indian-man-shot-dead/
25,http://www.dnaindia.com/world/report-no-place-for-senseless-violence-bigotry-in-society-nadella-2334411
26,http://www.dnaindia.com/world/report-un-chief-denounces-xenophobia-islamophobia-official-2334408
27,http://www.business-standard.com/article/pti-stories/no-place-for-senseless-violence-bigotry-in-society-nadella-117022500288_1.html
28,http://www.business-standard.com/article/news-ians/slain-indian-techie-s-wife-seeks-answers-on-rising-hate-crimes-117022500295_1.html
29,http://www.business-standard.com/article/news-ians/satya-nadella-condemns-indian-engineer-s-killing-in-kansas-117022500298_1.html
30,http://www.news18.com/news/india/no-place-for-senseless-violence-bigotry-in-society-microsoft-ceo-satya-nadella-1353124.html
31,http://www.abplive.in/india-news/mission-staff-in-touch-with-wife-of-indian-killed-in-us-sushma-497793
32,https://www.northernstar.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
33,http://www.kansascity.com/news/local/crime/article134903774.html
34,http://english.sakshi.com/news/2017/02/25/wife-of-indian-shot-dead-by-american-asks-do-we-belong-here
35,https://www.byronnews.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
36,https://www.sunshinecoastdaily.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
37,https://www.gladstoneobserver.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
38,http://www.indiatvnews.com/news/world-us-lawmakers-say-hate-crime-unacceptable-after-kansas-shooting-370242
39,https://www.frasercoastchronicle.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
40,http://www.firstpost.com/india/kansas-shooting-good-things-happen-in-america-srinivas-kuchibhotlas-assurance-to-wife-3302120.html
41,http://www.dayafterindia.com/2017/02/25/hate-crime-unacceptable-us-lawmaker/
42,http://zeenews.india.com/americas/us-lawmakers-say-hate-crime-unacceptable-after-kansas-shooting_1981012.html
43,http://zeenews.india.com/companies/kansas-killing-no-place-for-senseless-violence-says-satya-nadella_1981069.html
44,http://www.ianslive.in/index.php?param=news/Mission_staff_in_touch_with_wife_of_Indian_killed_in_US_Sushma-543279/TopStory/
45,http://economictimes.indiatimes.com/news/politics-and-nation/no-place-for-senseless-violence-bigotry-in-society-satya-nadella/articleshow/57343337.cms
46,http://www.newsx.com/world/56974-indian-techie-shooting-in-us-a-hate-crime-newsx-speaks-exclusively-to-indian-consul-general
47,http://www.news18.com/news/india/kansas-shooting-mission-staff-in-touch-with-wife-of-indian-killed-in-us-says-sushma-swaraj-1352998.html
48,https://www.ipswichadvertiser.com.au/news/man-shouts-get-out-my-country-commiting-murder/3147935/
49,http://www.business-standard.com/article/pti-stories/us-lawmakers-say-hate-crime-unacceptable-after-kansas-shooting-117022500153_1.html
50,http://www.tribuneindia.com/news/nation/kansas-shooting-fbi-probing-hate-crime-angle/369305.html
51,http://www.deccanherald.com/content/598159/us-lawmakers-say-hate-crime.html
52,http://nation.com.pk/international/25-Feb-2017/kansas-man-charged-with-killing-indian-in-possible-hate-crime
53,http://indiatoday.intoday.in/story/kansas-kansas-shooting-srinivas-kuchibhotla-indian-olathe-united-states-hate-crime/1/891143.html
54,http://www.dnaindia.com/world/report-us-lawmakers-say-hate-crime-unacceptable-after-kansas-shooting-2334297
55,http://www.daijiworld.com/news/newsDisplay.aspx?newsID=439949
56,http://www.thestatesman.com/india/wife-of-indian-shot-dead-by-american-asks-do-we-belong-here-1487995310.html
57,http://www.lbc.co.uk/news/world/donations-top-500000-for-indian-man-shot-dead/
58,http://www.kmaj1440.com/news/widow-of-slain-olathe-man-wants-the-u-s-to-address-hate-crimes/
59,http://www.news18.com/news/india/kansas-man-charged-with-killing-indian-in-possible-hate-crime-1353079.html
60,http://news.sky.com/story/donations-top-500000-for-indian-man-shot-dead-in-kansas-hate-crime-10780838
61,http://timesofindia.indiatimes.com/articleshow/57340141.cms
62,http://timesofindia.indiatimes.com/world/us/kansas-man-charged-with-killing-indian-in-possible-hate-crime/articleshow/57340491.cms
63,http://www.ghanaweb.com/GhanaHomePage/world/Olathe-shooting-India-shocked-after-national-killed-in-US-513354
64,http://www.hindustantimes.com/world-news/us-group-asks-sikhs-to-be-vigilant-after-kansas-shooting/story-rtRgeqgm09JKpNnjKhOuWK.html
65,http://www.hindustantimes.com/world-news/us-group-asks-sikhs-to-be-vigilant-after-kansas-shooting/story-rtRgeqgm09JKpNnjKhOuWK.html
66,http://www.outlookindia.com/newswire/story/do-we-belong-here-asks-wife-of-indian-techie-who-was-shot-dead-in-us/966219
67,http://in.newshub.org/do-we-belong-here-asks-wife-hyderabad-techie-shot-dead-american-25547777.html
68,http://www.tribuneindia.com/news/nation/wife-of-indian-techie-shot-dead-by-american-asks-do-we-belong-here/369299.html
69,http://www.hindustantimes.com/india-news/indian-engineer-s-killing-in-kansas-fbi-probing-hate-crime-angle-india-asks-for-speedy-action/story-ZgtRZlQiphSRy9waz7q67I.html
70,http://indianexpress.com/article/world/kansas-shooting-us-lawmakers-say-hate-crime-unacceptable-4542714/
71,http://indianexpress.com/article/world/us-lawmakers-say-hate-crime-unacceptable-after-kansas-shooting-4542725/
72,http://tuoitrenews.vn/international/39738/kansas-man-charged-with-killing-indian-in-possible-hate-crime
73,http://zeenews.india.com/hyderabad/kansas-shooting-us-navy-veteran-charged-with-killing-indian-engineer-srinivas-kuchibhotla-in-possible-hate-crime_1980995.html
