,0
0,http://herald-zeitung.com/news/ap_news/article_8f24d050-0837-55f2-a2ac-bf2904615394.html
1,http://www.ncnewsonline.com/news/national/kevin-spacey-to-appear-in-court-on-sexual-assault-charge/article_ca4732f5-e36a-57d1-935d-df12dfb01a9a.html
2,http://time.com/5495456/kevin-spacey-court-sexual-assault/
3,https://www.deccanchronicle.com/entertainment/hollywood/070119/kevin-spacey-to-appear-in-court-on-sexual-assault-charge.html
4,https://www.michigansthumb.com/news/crime/article/Kevin-Spacey-to-appear-in-court-on-sexual-assault-13513130.php
5,http://www.klkntv.com/story/39741356/kevin-spacey-to-appear-in-court-on-sexual-assault-charge
6,https://www.statesville.com/news/us/ap/kevin-spacey-to-appear-in-court-on-sexual-assault-charge/article_1f51933c-0df1-5382-89bb-40aaf1f97474.html
7,https://www.wisconsin106.com/2019/01/06/kevin-spacey-media-to-descend-on-nantucket-for-actors-sexual-assault-arraignment/
8,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12186836
9,https://www.actionnewsjax.com/entertainment/kevin-spacey-to-appear-in-court-on-sexual-assault-charge/900271760
10,http://wjtn.com/news-and-closings/national-headlines/90be95978634d1d758975c1ff8e9bf09
11,http://xtra99.com/kevin-spacey-media-to-descend-on-nantucket-for-actors-sexual-assault-arraignment/
12,http://www.myklgr.com/2019/01/06/kevin-spacey-media-to-descend-on-nantucket-for-actors-sexual-assault-arraignment/
13,https://www.metro.us/news/the-big-stories/kevin-spacey-due-court-monday
14,http://midutahradio.com/news/national-news/kevin-spacey-media-to-descend-on-nantucket-for-actors-sexual-assault-arraignment/
15,https://www.greensboro.com/ap/us_world/kevin-spacey-to-appear-in-court-on-sexual-assault-charge/article_4c7fed17-e6f0-5aef-a87b-a60beeb77a1d.html
16,https://www.whfbradio.com/2019/01/06/kevin-spacey-media-to-descend-on-nantucket-for-actors-sexual-assault-arraignment/
17,https://www.mynews13.com/fl/orlando/ap-top-news/2019/01/07/kevin-spacey-to-appear-in-court-on-sexual-assault-charge
18,https://www.siouxlandproud.com/entertainment/kevin-spacey-to-appear-in-court-on-sexual-assault-charge/1689817421
19,https://entertainment.inquirer.net/312689/kevin-spacey-to-appear-in-court-on-sexual-assault-charge
20,https://chippewa.com/entertainment/kevin-spacey-plans-not-guilty-plea-in-sexual-assault-case/article_2c67c2ae-9343-58ec-bef6-f6964ceabfa2.html
21,https://www.13newsnow.com/article/news/nation-world/kevin-spacey-in-court-monday-on-sexual-assault-charge/291-626705203
22,https://wdsm710.com/news/articles/2019/jan/07/actor-kevin-spacey-to-face-sex-assault-case-in-nantucket-courtroom/
23,https://www.oann.com/actor-kevin-spacey-to-face-sex-assault-case-in-nantucket-courtroom/
24,https://www.channelnewsasia.com/news/world/actor-kevin-spacey-to-face-sex-assault-case-in-nantucket-courtroom-11094828
25,http://www.ncnewsonline.com/news/national/kevin-spacey-plans-not-guilty-plea-in-sexual-assault-case/article_ca4732f5-e36a-57d1-935d-df12dfb01a9a.html
