,0
0,http://www.thesundaily.my/news/2018/07/13/jj-ordered-pay-us469b-damages-talc-cancer-case
1,http://www.coastaldigest.com/world/johnson-johnson-ordered-pay-469-bn-damages-talc-cancer-case
2,http://www.bssnews.net/?p=52623
3,https://www.ndtv.com/world-news/latest-lawsuit-filed-against-johnson-johnson-ordered-to-pay-4-69-billion-to-22-women-1882618
4,https://medicalxpress.com/news/2018-07-jj-bn-talc-cancer-case.html
5,https://tucson.com/news/national/nearly-billion-awarded-in-baby-powder-lawsuit/article_66c6c92d-214a-5b9d-ab07-5ae1859c3af6.html
6,https://www.upi.com/Top_News/US/2018/07/12/Johnson-Johnson-hit-with-47B-verdict-in-baby-powder-lawsuit/4281531438759/
7,https://www.prnewswire.com/news-releases/johnson--johnsons-official-statement-in-response-to-todays-verdict-in-st-louis-trial-300680519.html
8,http://www.abc.net.au/news/2018-07-13/johnson-and-johnson-ordered-to-pay-over-talcum-ovarian-cancer/9992078
9,https://www.ecr.co.za/news/news/jj-ordered-pay-469-bn-damages-talc-cancer-case/
10,https://www.theday.com/nationworld-news/20180712/nearly-47-billion-awarded-in-baby-powder-lawsuit
11,https://www.wfaa.com/article/news/nation-now/nearly-47-billion-awarded-in-johnson-johnson-baby-powder-lawsuit/465-8cbd229c-3847-4cb7-9d1c-4d9ca0827134
12,https://finance.nine.com.au/2018/07/13/08/07/johnson-and-johnson-talcum-powder-ovarian-cancer-case-court-orders-to-pay-billions-in-damages
13,http://www.rttnews.com/2913400/j-j-ordered-to-pay-4-69-bln-in-baby-powder-case.aspx
14,https://www.cincinnati.com/story/money/legal/2018/07/12/nearly-4-7-billion-awarded-j-j-baby-powder-lawsuit/781525002/
15,https://www.cp24.com/world/nearly-4-7-billion-awarded-in-baby-powder-lawsuit-1.4011110
16,http://travel.asiaone.com/world/johnson-johnson-ordered-pay-639b-damages-talc-cancer-case
17,https://www.firstpost.com/business/johnson-firm-says-talc-does-not-contain-asbestos-4731131.html
18,https://www.dailymaverick.co.za/article/2018-07-13-jj-ordered-to-pay-4-69-bn-damages-in-talc-cancer-case/
19,http://www.freemalaysiatoday.com/category/world/2018/07/13/jj-jury-awards-us4-14-billion-punitive-damages-over-talc-cancer/
20,https://www.nj.com/news/index.ssf/2018/07/nearly_47_billion_awarded_in_baby_powder_lawsuit_a.html
21,http://www.foxnews.com/health/2018/07/13/johnson-johnson-ordered-to-pay-nearly-4-7b-to-22-plaintiffs-in-talcum-powder-lawsuit.html
22,https://www.wusa9.com/article/news/johnson-johnson-ordered-to-pay-469-billion-in-talcum-powder-lawsuit/63-573269127
23,https://www.ktrs.com/nearly-4-7-billion-awarded-in-baby-powder-lawsuit/
24,https://www.cbsnews.com/news/jury-slams-johnson-johnson-almost-4-7b-tab-in-talcum-powder-suit-asbestos-baby-powder/
25,https://english.sakshi.com/business/2018/07/13/johnson-johnson-to-pay-496-bn-in-damages-in-baby-powder-lawsuit
26,https://www.bangkokpost.com/news/world/1502742/jj-ordered-to-pay-4-69-bn-damages-in-talc-cancer-case
27,https://www.msn.com/en-us/news/us/nearly-2447-billion-awarded-in-johnson-26-johnson-baby-powder-lawsuit/ar-AAzZPCB
28,http://www.ktsa.com/nearly-4-7-billion-awarded-in-baby-powder-lawsuit/
29,https://www.whec.com/news/baby-powder-lawsuit/4987168/?cat=565
30,http://www.ivpressonline.com/news/nation/nearly-billion-awarded-in-baby-powder-lawsuit/article_6bbe0cf7-0f14-556c-8326-20e1ba93a119.html
31,https://nypost.com/2018/07/12/nearly-4-7b-awarded-in-suit-linking-cancer-johnson-johnson-baby-powder/
32,http://kdhnews.com/news/nation/nearly-billion-awarded-in-baby-powder-lawsuit/article_38b49ff8-ca48-56bc-bb91-6e0079878449.html
33,http://www.nationmultimedia.com/detail/asean-plus/30349996
34,http://www.france24.com/en/20180713-jj-ordered-pay-469-bn-damages-talc-cancer-case
35,http://www.france24.com/en/20180713-johnson-johnson-ordered-pay-469bn-damages-cancer-talcum-powder-lawsuit
36,http://www.sandiegouniontribune.com/ny-news-johnson-baby-powder-cancer-lawsuit-20180712-story.html
37,https://www.mycentraljersey.com/story/money/business/2018/07/12/johnson-johnson-baby-powder/36829743/
38,https://www.wacotrib.com/news/ap_nation/nearly-billion-awarded-in-baby-powder-lawsuit/article_2d65b8ba-c68a-5f9d-afcd-0ec7bd308401.html
39,http://myrepublica.nagariknetwork.com/news/johnson-johnson-told-to-pay-4-7-billion-in-baby-powder-lawsuit/
40,https://kplr11.com/2018/07/12/550-million-awarded-in-lawsuit-linking-cancer-baby-powder/
41,https://www.canberratimes.com.au/business/companies/johnson-and-johnson-ordered-to-pay-742m-in-talcum-powder-asbestos-cancer-case-20180713-p4zr84.html
42,http://www.tewkesburyadmag.co.uk/news/national/16352511.johnson-johnson-ordered-to-pay-out-36-billion-in-landmark-cancer-case/
43,https://www.belfasttelegraph.co.uk/news/uk/johnson-johnson-ordered-to-pay-out-36-billion-in-landmark-cancer-case-37114128.html
