,COMPANY,date,SDG_5
551573,johnson & johnson,2018-06-23,0.7040215145331067
551923,johnson & johnson,2018-06-24,0.698215671062839
552457,johnson & johnson,2018-06-25,0.7205504305335471
552863,johnson & johnson,2018-06-26,0.760035889309381
553315,johnson & johnson,2018-06-27,0.15939114611038516
553937,johnson & johnson,2018-06-28,-0.18755118496739792
554410,johnson & johnson,2018-06-29,-0.1758270002868377
554856,johnson & johnson,2018-06-30,1.5597382545401066
555304,johnson & johnson,2018-07-01,1.451467750669239
555670,johnson & johnson,2018-07-02,1.339696681054905
556239,johnson & johnson,2018-07-03,-1.632167832167834
556650,johnson & johnson,2018-07-04,-1.124111693984241
557171,johnson & johnson,2018-07-05,0.682372619035224
557632,johnson & johnson,2018-07-06,1.139559682435601
558149,johnson & johnson,2018-07-07,0.051453514052772764
558525,johnson & johnson,2018-07-08,0.8679812682933495
558904,johnson & johnson,2018-07-09,2.3040184431559907
559226,johnson & johnson,2018-07-10,3.199886905979552
559688,johnson & johnson,2018-07-11,0.3512831409480572
560291,johnson & johnson,2018-07-12,-2.182379508562557
560695,johnson & johnson,2018-07-13,-6.605462638844545
561174,johnson & johnson,2018-07-14,-5.593191508989285
561615,johnson & johnson,2018-07-15,-6.159429222692451
561990,johnson & johnson,2018-07-16,-4.283617672146833
562551,johnson & johnson,2018-07-17,-1.8034114437734083
562938,johnson & johnson,2018-07-18,-1.875363937754503
563531,johnson & johnson,2018-07-19,2.7720057720057727
563948,johnson & johnson,2018-07-20,-1.447232076846126
564542,johnson & johnson,2018-07-21,0.634920634920635
564910,johnson & johnson,2018-07-22,0.634920634920635
565279,johnson & johnson,2018-07-23,0.7044913278778328
565768,johnson & johnson,2018-07-24,0.3096028847528103
566323,johnson & johnson,2018-07-25,1.3966425844725852
566877,johnson & johnson,2018-07-26,-2.202882301412557
567389,johnson & johnson,2018-07-27,-0.33652065202917436
567975,johnson & johnson,2018-07-28,
568286,johnson & johnson,2018-07-29,-0.70635721493441
568823,johnson & johnson,2018-07-30,0.634920634920635
569190,johnson & johnson,2018-07-31,0.3717491339641175
569722,johnson & johnson,2018-08-01,2.3871832937337945
570351,johnson & johnson,2018-08-02,-0.4568759657255225
